,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X600547.SH,X601898.SH,X600352.SH,X601991.SH,X600660.SH,X600688.SH,X600362.SH,X600886.SH,X600188.SH,X600795.SH,X601992.SH,X600516.SH,X000723.SZ,X600027.SH,X600111.SH,X002466.SZ,X000898.SZ,X600176.SH,X002460.SZ,X600801.SH,X000709.SZ,X000786.SZ,X600299.SH,X600219.SH,X000990.SZ,X002271.SZ,X000629.SZ,X600808.SH,X000553.SZ,X600489.SH,X000825.SZ,X002110.SZ,X601158.SH,X600157.SH,X600583.SH,X000630.SZ,X000883.SZ,X600985.SH,X600339.SH,X600426.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14896835822546,0,0,0,0,0.00138369110891157,-0.000587144617023817,0,0.0553083859485138,0,0,0,0,0,0,0.0808968532443449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0818424574710942,0,0,0,0,-0.0047371623996518,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279803208932415,0,0,0,0,0,0,0.0593673246391147,0.0362768744102742,0,0,0,0,0,0.0528998294491988,0,0,0.00753470522177856,-0.0721489542597174,0,-0.0526730926059366,0.288033928396557,0.0220670826886262,0,0.0530075737128421,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462334492384665,0.000430042853904299,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.224102925280241,0,0.0738367779804922,0,0,0,-0.14123031284711,0,0,0,0,0,0,0,0,0,0,0,0.0456982226627715,0,0,0,0,0.185364544539932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573197296306353,0,0,0,0,0,0,0,0,0.0207386895034974,0,0,0,0,-0.0859380235220715,0,0
X600585.SH,0,0,0,0,0,0.0431651539295372,-0.0280100560461021,0,0,0,0,-0.00318027399309464,0,0,0,0,0,0,0,0,-0.00217764832911823,0,0,0,0,0,0,0,0.504181618659212,0,0,0,0,0,0,0,0,-0.00497232425024439,0,0,0.104173212704061,0,0,0,0,0,0,0,0,0,0,-0.0157073253642149,0,0,0,0,0,0,0
X600019.SH,0,0,0.0763579138002457,0,0,-4.33680868994202e-19,0,0.0323976091393319,0.0642407724635924,0,0,0,0,0,0,0,0,0,0,0,0,0.0116774752956539,0,0.0307019487598085,0,0.105787881624712,0.0688797983373264,0,0,0,0.031624278683872,0,0,0,0,0,0,0,0,0,0.162143008431417,0,0.0362848066353004,0,0.0301458263359742,0,0,0,0.0299130877003407,0.0245238077981602,0,0,-0.00206770295959373,0,0,0,0,0,0
X600309.SH,0,0,0,0.168212193264998,0,0,0,0,0,0,0,0.0899878636461607,0,0,0,0,0,0,0,0,0.0897486786716453,0.101079092725094,0,0,0,0,0,0,0.144592310160664,0,0,0,0,0,0,0,0,0,0,0,0.0488642164128424,0,0.0232808886407705,0,-0.0430359148972569,0,0,0,0.222257910726004,0,0,-0.0218648932316414,0.0545995399081495,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.462571069944838,0,-0.126128314815332,0.0664040710779431,0.574907265337773,0,0,0,0,0,-0.0132411186086623,0,0.0682294011884213,0,0,0,0,0,0,0,0,-0.0936602052884465,0,0,-0.00592233323227743,0,0,0,0,0,0,0,0,0.00452775346914721,0.0278991365040423,0,0,0,-0.0143990280439384,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0.000893811457884035,0,0,0,0.0453171412403211,0,0,0,0.059660633416861,0.0489059277666111,0,0.0496803278760181,0.342069071079254,0,0,0,0,0,0,0,0,0.269591208447868,-0.0688100627536777,-4.33680868994202e-19,0.169119933907842,0,0,0,0,0,0,0.0192290145579665,0,0,0,0,0,0,0,0,0.00840556647676905,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224816918209785,0,0,0,0,0,0.0195097188260973,0,0.0217721075219412,0,0,0,0.103356923924969,0,0,0,0,0.263167913690425,0,0,0.0289959903426415,0,0,0,0,0,0,0,0,0,0,0,0,0.155692107292539,0.0462963118279857,0,-0.0186019213081626,-0.0133841187209876,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,-0.0546649565552048,0,0,0,0,0,0,0,0,0,0,0,0,-0.0114348638337324,0.00697397578545713,0,-0.0426041135457363,0,0,0,0,0,0,0,0.0865221945709887,0,0,0,0,0,0,0.941134404530868,0,0,0,0.0347579374515507,0,0,0,-0.0270232939446527,0,0,0,-0.0986212392966735,-0.00289097565902952,-0.014010501177289,0,0,0,0.00963926836298505,0,0
