,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X000786.SZ,X600176.SH,X600111.SH,X600010.SH,X601600.SH,X600426.SH,X000301.SZ,X002466.SZ,X601898.SH,X600011.SH,X600886.SH,X600352.SH,X600188.SH,X600219.SH,X600801.SH,X600489.SH,X601991.SH,X600803.SH,X600486.SH,X600795.SH,X002353.SZ,X600688.SH,X002080.SZ,X600299.SH,X601168.SH,X000932.SZ,X300037.SZ,X000830.SZ,X600027.SH,X000898.SZ,X600315.SH,X600516.SH,X000630.SZ,X000723.SZ,X601992.SH,X600157.SH,X000807.SZ,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0548910317201153,0,0,0,0,0,0,0,-0.0605607362289528,0,0.0699589703037888,0,0,0,0,0,0.0153623868010621,0,-0.00805711011570614,0,0,0,0,0,0,0,0,0,0,0,0,0.0947197475300266,0,0,0,0,0,0,0,0,0,0,0,0.0453859932059906,0,0,0,0.00376337005733769,0,0,-0.00439088389240663,0,0,0,0,-0.00116866135879941,0,0
X600028.SH,0,0,0,0,0,0.0248496094281278,0.0829697878292501,0,0,0,0,0,0,0.0211783438137714,0,0,0.0424671493701172,0.0242740453972157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222423404299819,0,0,0,0,0,0,0.0418725987723042,0,0,0,0.0152470435212635,0,0,0,0.00197845552691502,0,-0.0163488197264389,-0.00556611338155282,0,0,0,0.0532190555828874,0,0
X600309.SH,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.118506098941199,0.039662623318259,0,0,0,0,0,0,-0.0548308530759443,0,0,0,0,0.191818607171203,0,0.0609595049580385,0,0,0,0,0,0,0,0,0,0,0,0,0.0775281864978924,0,0,0,0.11425762995596,0,0.000461403710506797,0,0,0,0,0.0254640610244431,0,0
X601088.SH,0,0,0,0,0,0,0.0580673483814817,-0.0219027948539957,0,0,0,0,0,0,0.0295260700707559,0,0,-0.121714390532795,0,0,0.241152908611051,0,0,0,0.192747371923182,0.0856534725142228,0,0,0,0,0,0,0,0,0,0,0.125536732711396,0.159609686979895,-0.152797479200218,0,0,0,0,0,0,0,0,0,0,0,0,0.00608044672939382,0,0,0,0,-0.0151011144114609,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.097960797603704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122675955428152,0,-0.0345061249414693,0,0,0,0,0,0,0.0191415187887849,0,0,0,0,-0.0061659941911111,0.00149131417487972,0,0,0,0,0.00646765767049317,0,0
X600019.SH,0,0,0,0,0,0,0,-0.0913281149044523,0,0,0,6.93889390390723e-18,0,0,0.296689473489503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0642166320686636,0.415056075041329,0,0,0,0.286961533862785,0,0,0,0,0,0,0,0,-0.11808481629334,-0.00482196424236371,0.00156851754532865,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.697242184939362,0,0.37829839706002,-0.271266862466808,0,0,0,0,0,0,0,-0.246422580557082,0,-0.0459621115928132,0,0,0,0,0.22635557776869,0,0,0,0,0.028782884840397,0.0460246967058194,0,0,-0.0165012399081994,0,0,0,0,0,-0.0434529094342729,0,0,0,0,0,-0.0301022685398367,0,0,0,0,1.73472347597681e-18,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.352800140744848,0.0421132200288285,0,0,0.200931295539109,0,0.151123507332743,0,0,0,0.0338593160783126,0.0988975061650082,0,0,0,0,0,0,-0.645309268575762,0,0,0,0,0,0,0,0,0,0.406606005352051,0,0.040089024890627,0.147495718586047,0,-0.0346984728631578,0,0.0567173135575632,0,0,0,0,0,0,-0.29361752005888,-0.0284407565885876,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.0408039478049693,0,0,0.116373169505668,0,0.172609112762552,0,0,0,0,0,0,0,0,0.0684639709400775,-3.46944695195361e-18,0,0,0,0,0,0.090972136776304,0,-0.193772233911621,0,0.128999928565885,0,0,0,0,0.0270809708309713,0,0,0,0.137186804401996,0,0,0,0,0,0,-0.018563042562344,0,0,0,0,0,-0.0193534265111626,-0.0003534848975247,0,0,0,0,0,0
X002271.SZ,0,0,0.0513600978274672,0,0,0,0,0,0.197060608422119,0,0,0,0,0.0188566798697426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140521285849791,0,0,0,0,0,0,0,0,0,0,-0.02470606638389,0,0,0,0,0,0,0,0,0,-0.0273340635754647,-0.0641919172495501,0,0,0,0.0634913695011183,0,0
