,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X600795.SH,X601600.SH,X600886.SH,X600188.SH,X600010.SH,X600111.SH,X600362.SH,X600027.SH,X600309.SH,X600688.SH,X600583.SH,X601992.SH,X601158.SH,X000898.SZ,X600352.SH,X000709.SZ,X000792.SZ,X000883.SZ,X600489.SH,X002353.SZ,X000539.SZ,X600547.SH,X000629.SZ,X000831.SZ,X000027.SZ,X000630.SZ,X000825.SZ,X600578.SH,X600660.SH,X600549.SH,X600808.SH,X601699.SH,X000983.SZ,X600008.SH,X600315.SH,X600307.SH,X600863.SH,X002470.SZ,X600098.SH,X000937.SZ,X600348.SH,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.573042353480414,0,0,0,0,0,0,0,0,0,0.0856425725415865,0,0,0,0,0,0,0,0.043969178014762,0,0,-0.113820192874253,0,0,0,0,0,0,0,0,0.00713481203724585,0,0.0709702230196458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050350491143639,-0.0108244330483959,0,0,0,0,0,0
X600028.SH,0.469447882082435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344464741279742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141050861043842,0,0,0,0,0,0,-0.00834364365043772,0,0,0,0,0,0,-0.0418405304946098,-0.0163525500359026,0,0,0,0,0,0
X601088.SH,0,0.0765873539781497,0,0,0,0.0541404080371793,0.0633446117554865,0,0,0,0.0153737539386983,0.155754435650725,0,0,0,0,0,0,0,0.0628192447679501,-0.00579253012194902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130157928589206,0.0189252566044692,0.315264675680525,0,0,0,0,0,0,0,0,0,0,0,-0.0043882360206454,0,0,0,0,0,0
X600011.SH,0,0.0744527075012442,0,0,0,0.163119432227029,0,0.0341396731224946,0,0,0.311702246652359,0.107173959815057,0,0,0,0.0596541544580729,0,0,0,0,0,0,0,0,0,-0.143619857364611,0.0539453466491397,0,0,0,0,0,0.00332881349615168,0,0,0,-0.0249030178650192,0,0,0,0,0,0,0,0,0,0.054622860873842,0,0,0,0,2.16840434497101e-19,-0.0059821047169046,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.0099981447009671,0,0,0.0946642326327773,0,0,0,0,0,0,0,-0.0280650048263233,0,0.230725138614237,0,0,0,0,0,0,0,0,0.0137045870319921,0,0,0,0,0,0,0,0,0.0403656035469551,-0.0669212151998901,0,0,0,0,0,0,0,0.0888683910068454,0,-0.0571813861958343,-0.0120935362999891,0,0,0,0,0,0
X600019.SH,0,0,0,0.138505739155523,0,0,0,0,0,0,0.0323894440836058,0,0,0,0,0.0435223238283849,0,0,0,0,0,0.501438777198126,0,0.0533211105676385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110070675130859,0,0,0,0,0,0,0,0,0,0,0,-0.044269587368603,-0.0141626531487708,-0.0520595385238856,0,0,0,0,0
X601898.SH,0,0,0.0969153096216989,0,0,0,0,0.11542876422546,0,0.0451380915932957,0,0.079275976040426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159221785932709,0.107466831210757,-0.00777042705943417,0,0,0,0,0,0,0,0.419414256258125,0,0,0,0,0,0,0,0,0,0,0,-0.00800784997463089,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.0783039799679079,0.120365634565511,0,0,0,0,0,0,0,0.121187572643596,0,0,0,0,-0.00590559022062612,0,0,0,0,0,0,0,0.0987691124452193,0,0,0,0,0.122973825619306,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-0.0117664066459253,-0.0224549633618919,0,0,0,0,0,0
X600795.SH,0,0.0614576383694922,0,0,0,0,0,0,0,0.0454018410589786,0.248463427491016,0,0,0,0,0.0698915263665569,0,0,0,0,0,0,0,0.101780209534518,0,0,0.00600618100771762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02489155283989,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.199832096270132,0,0.0811201705937012,0,0,0,0,0,0,0,0,0,0,0,0,0.207299629846547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281494931760769,0,0,-0.0362314507936224,0,0,0,0,0,0
X600886.SH,0,0,0.0371385545245402,0.398613259907217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355324853297014,0,0,0,0,0,-0.0728264988520518,0,0.0173074678338014,0,0.0253184309076364,0,0,0,0,0.0534762401122181,0,0,0,0,0,0.160949175462905,0,0,0,0,0,0,-0.0374855203274643,-0.00791838615454517,0,0,0,0,0,0
X600188.SH,0.399236396276494,0,0,0,0,0.0426702934775443,0,0,0,0,0,0,0,0.109936511006612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0.194219475809798,0,0,0,0,0,0.111940043944774,0.022055131055248,0.168306975873768,0,0,0,0,0,0,0,0,0,-0.0579539759266038,-0.012902936656618,0,0,0,0,0,0
