,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601600.SH,X601898.SH,X600660.SH,X601991.SH,X600688.SH,X600886.SH,X600362.SH,X600795.SH,X600188.SH,X600027.SH,X002466.SZ,X601992.SH,X000898.SZ,X600111.SH,X600516.SH,X600176.SH,X002460.SZ,X000709.SZ,X600352.SH,X000629.SZ,X600808.SH,X600489.SH,X600219.SH,X000825.SZ,X000786.SZ,X600299.SH,X601158.SH,X600801.SH,X002271.SZ,X000553.SZ,X600157.SH,X000883.SZ,X600583.SH,X002470.SZ,X002110.SZ,X000027.SZ,X000630.SZ,X600985.SH,X601699.SH,X600339.SH,X000408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.179114808597778,0,0,0,1.73472347597681e-18,0,0,0,0.0713241913709125,0,0,0,0.084897897066805,0,0,0,0,0,0.00416001658058127,0,0,0,0,0,0,0,0,-0.0136408318717031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109189175773516,0,0.0640262460508541,0,0,-0.00255768840358939,0.0141802714162351,0,0,0,0.0102160474039958,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0.0581191876920267,0,0,0,0,0,0,0,0,0,-0.0277172819709487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280054270075497,0,-0.099479706009323,0,0,0,0,0,0,0,0,0.223501908487739,0,0,0.0295101462627828,0.069539878256512,0,0,0,0.017637510708417,0,0
X601088.SH,0,0,0,0,0,0.133127519711872,0,0,0,0,0,0,0,0,0,0,0,0.0948707043265235,0,0,0,0,0,0,0.0551891434409719,0,0,0,0,0,0,0,0.0551753977055729,0,0.0414443501556702,0,0,0.110515011138615,0,0.0062548443078974,0,0,0,0,0,0,-0.130628428424155,0.125024238164617,0,0,0,0.00711752721855003,0.0014225393408351,0,0,0,0.0624549438819447,0,0
X600585.SH,0,0.0958873832049174,0,0,0,0,-0.0196325840274617,0,0,0,0,0,0,0,0,0,0,0,-0.0284058479365683,0,0.0110245994308713,0,0,0,0,0,0,0.00878719061042102,0,0,0,0,0,0.157460794995404,0,0,0.426311705643696,0,0,0.0481621956040211,0,0,0,0,0,0,0,0,0,0,0,0.00108793819383859,0.00513501869186535,0,0,0,0.0267373842162761,0,0
X600019.SH,0,0,0,1.73472347597681e-18,0,0.0523320680585782,0,0,0,0.0158512674873001,0,0,0,0,0,0,0,0,0,0,0,0.348280490358882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125881117386728,0,0,0,0.212991334448858,0.0231149877879388,0,0,0,0,0,0,0.00517551384928895,0.0192780805422872,0,0,0,0.038373013590643,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114212188667453,0,0,0,0,0,0,0,0.0100966840005939,0,0.651686110048028,0,0,0,0,0,0,0.175773250610428,0,0,0.0275300602101511,0,0,0,0.0107731415741748,0,0,0,0,3.46944695195361e-18,0,0,-0.0182977255029831,0.0378931140184528,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502690844989355,0,0.632789971999307,0,0,0,0,-0.219487399702543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472330275505823,0,0,0.0624518216486859,0,0.0364551634864784,0,0,0,-0.111367404330088,0,0,0.00594431598453063,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.150832061180439,0.0902584409401963,0,0.269673688905277,0,0,0,0,0,0,0,0,0.129119939756541,0.0613563722394131,0,0,0,0,0.0855761066532017,0,0,0,0,0,0.135985693141131,0.0299411830023035,0,0,0,0.0130649918140908,0,0,0.0281490652800532,8.67361737988404e-19,0,0,0,0.0137827642082682,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0790138090124521,0,0,0,0.00876963237195633,-0.00710519258126671,0,6.93889390390723e-18,0,0,0.0710876960851515,0,0.801686866357173,0,0,0,0.150186047562086,0,0,0,0.17762509501902,0,0,0,-0.100207847501826,0,0,0,0,0,0,0.0399526834271964,0,-0.0205287421608487,0.0247703483183835,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061325784125486,0,0,0,0,0,0.0190604527170633,0,0.212130937767643,0,0,0.168453871169287,0,0.0358371211504977,0,0,0,0,0,0,0,0,0,0,0,-0.0202136242917425,0,0,0,0.0657064145296272,0,0,0,0,0.0783604659079422,0,0,-0.0267360522849484,-1.0842021724855e-19,0,0,0,0.00466929117682226,0,0
