,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X600019.SH,X000792.SZ,X002466.SZ,X600011.SH,X601898.SH,X000301.SZ,X600111.SH,X000708.SZ,X600660.SH,X601600.SH,X002271.SZ,X600010.SH,X000877.SZ,X600547.SH,X600886.SH,X600426.SH,X600362.SH,X600795.SH,X000983.SZ,X601699.SH,X600176.SH,X600803.SH,X600027.SH,X601991.SH,X000786.SZ,X600995.SH,X000807.SZ,X000629.SZ,X600160.SH,X600378.SH,X000408.SZ,X600219.SH,X000933.SZ,X000723.SZ,X600096.SH,X600489.SH,X000831.SZ,X002080.SZ,X600348.SH,X000932.SZ,X600801.SH,X000630.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.308988562554441,0,0,0,0,0,0,0,0,0,0,-0.0220655371457706,0,0,0,0.0987926318354052,0.0327106901382734,0.00647785079487039,0.0583204677021386,0,0,0,0,0,0.0375207555627946,0.0141579945249298,0,0,0,0,0,0,0,0,-0.0847966969758875,0,0,0,0,0,-0.0201419428597247,0,0,0,0,0,0,0,0,0,-0.00770989793681734,0.0143590174101544,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0.212273167644897,0,0,0,0,0.0119504157823913,0.0511730105845503,0,0,0,0,0,0,0,0,0,0.0100937786982988,0,0,0.0234927999598215,0,0,0,0,0,0,0,0,0,0,0,0,0.0163465940093503,0,0.0191475924969945,0,0,0,0.0578642114023623,0,0.00319166320173315,0.0104103582257843,-0.0319670083131034,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0707694328983468,0,0,0,0,0.0267739681111191,0,0,0,0,0,0,0,0,0,0,0,0.037829712889704,0,0,0,0.11677233054645,0,0.0840058348132346,0.0715948864303712,0,0,0,0,0,0,-0.0666398978698973,0,0,0,0,0,0,-0.00541703457683093,0,0.0384926917875567,0,0,0,0,0,0,0.0151249383894811,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,-0.181826855983558,0,0.159091688711654,0,0,0.12520847064994,0,0,0.0181057579139081,0.101557209450014,0.128891524541928,0,0,0,0,0,0,0,0,0,0,0.168885791708922,0,-0.0939454959918649,0,0,0,0,0,0,0,0,0,0,-0.0869721945485969,0,0.32522908739312,0,-0.0245985139764513,0,0,0.054715839516439,-0.0489685161232292,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0797032897509331,0,0,0,0,0,0,0.32432562177484,0,0,0,0,0,0.0658268944445198,0.0245814196227072,0,0,-0.0141259570945214,0,0.13694268541408,0,0,0,0,0,0,0,0.102025298811052,0,-0.0517181433323875,0,0,0,0,0,0.168395153456571,0.00498855742387182,0,0,0,0.00447012531021127,0,0,0,0,0,0
X600188.SH,0,0,0.0584393081003881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180734795625937,0,0,0.258854017141334,0,0.147304115469456,0,0.126013479528073,0,0,0,0,0,0,0,0,0,0,0.258386128046024,-0.232817043934365,0.0564755936573063,0,-0.105542098327331,0,0.0304404677877568,0,0,0,0,0,-0.00281942151766808,-0.0149749437677056,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.00458550137135959,0,0,0,0.612237632744433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,1.73472347597681e-18,0,0,-0.0348521243770986,0,-0.0683202647027171,0,0,0,-0.0435632866573502,0,0.133560957407197,0,1.73472347597681e-18,0,0,0.0159469312512879,0,0.0470020223439595,0.0770077319803089,0,0,0,0,0,0.00823369783871117,0,0,0,0,0,0,0
X600019.SH,0,0.236616183852464,0,0,0,0,0,0,0,0,0,0.0500403527934088,0,0,0,0,0.221082742000655,0.149257831707846,0,0.0888330196009941,0,0,0,0,0,0,0,0.0629280425433793,0,0,0,0,0,0,-0.0558881304383206,0,0.0372652576674204,0,0,0,0,0,0,0,0,0,0.237026200453391,0.0270928302327561,0.0166397577648174,0,0,0.0146755048847013,-0.0245115951556926,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.325860451361037,0,0,0.178576336327944,0.0375535887592731,0,0,0,0,0,0,0,0,0.14967599466364,0,0,0,0,0,0,-0.0123499722152238,0,0,0,0,0,0,0,0.0599052840535352,0,0,0,0,-0.0747085767070072,0,0,0,0,0,0.0174079824122613,0,0,0,0,0.00297128907301742,-0.00566756061866801,-0.00687720778022107,-0.226153131650977,0,0,0,0,0
X002466.SZ,0,0,0,0,0,-0.00709283802111591,0.542717532509698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0869421320082815,0,0,0,0.14032065676063,0,0,0.0181214602883472,0,0,0,0,0,0,0,0.156093806812018,0,0,-0.10517579085529,0,0,-0.0118207743681198,0.001864329713594,0.0128213092372933,0,0,0,0,0,0
