,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X600010.SH,X601898.SH,X600795.SH,X601600.SH,X601991.SH,X600188.SH,X600886.SH,X600362.SH,X600111.SH,X600027.SH,X600688.SH,X600583.SH,X601992.SH,X600309.SH,X600352.SH,X000792.SZ,X000709.SZ,X601158.SH,X000898.SZ,X600157.SH,X600660.SH,X600547.SH,X600489.SH,X002353.SZ,X600008.SH,X000027.SZ,X000539.SZ,X000629.SZ,X600021.SH,X600808.SH,X000831.SZ,X000630.SZ,X000825.SZ,X600549.SH,X600219.SH,X600578.SH,X600307.SH,X002470.SZ,X600315.SH,X000060.SZ,X601699.SH,X600098.SH,X002075.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.487591827613543,0,0,0,0,0,0,0,0.00902526533146992,0,0.0446558528213572,0.206673564281515,0,0,0,0,0,0,0.0580650338258787,0,0,0,0,0,-0.0104023155675263,0,0.0413416814844779,0,0,-0.0278823513850476,0,0,0,0,0,0.017260110660282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318349623430652,0,0,0,0,0,0
X600028.SH,0.526181547784436,0,0,0,0,0,0,0,0,0.0210061508245433,0,0,0,0,0,0,0,0.121250024377464,0,0,0,0,0,0,0,0,0,0,0.110594513372373,0,0,-1.73472347597681e-18,0.0781529959997835,0,0,0,0,0,0,0,0,0.0141718955141545,0,0,0,0,0,0.166677105767313,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.345705657188782,0,0,0,0.170176172714814,0,0,0,0,0,0,0.0638081033253147,0.0802588110608507,0,0.0175934443681315,5.42101086242752e-20,-0.068120444093965,0,0,0,0,0,0,0,0.0300633794050864,0,0,0,0,0.00789176269046014,0,0,0,0,0,0,0,0,0.0219024736450102,0.286503582136338,0,0,0,0,0.0207838235749195,0,0,0,0,0,0
X600585.SH,0,-3.46944695195361e-18,0.0252920846156578,0,0,0,0,0,0,0,0,0,0,0,0,0.104051247487728,0,0.283408835757639,0,0.087413090227867,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.057200285173292,0,0,0,0,0,0.0816655711246394,0,0,0,0,0,0.0269844988918331,0,0,0,0.0790342728527686,0.062634535451964,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.142473874608529,0,0,0,0,0,0.0965408707001268,0,0,0.389827410755521,0,0.032413961389374,0,0,0,0,0,0,0.16940813385543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457657628718102,0.0396280628070996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0.0169512058605563,0,0.0684190075721488,0,0,0,0.0995050010550328,0,0.0876947533801973,0,0,0,0.20378701688627,0,0.212830336828596,0,0,0,0,0,0,0,0.0363125021341407,0,0.0549389240921933,0,0,0,0,0,0,0,0,0,0,0,0.0498898104607461,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.476946065794953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0947557590080739,0,0,0,0,0,0,0.170258568415358,0,0,-2.77555756156289e-17,0,0,0,-0.0631204446199039,0,0.112787428754934,0.24254497156602,0,0,0,0,0,0,0.266644202756645,0,0,0,0,0,0,0.105646828588699,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.00972891119885153,0,0,0,0.0458349234167993,0,0.0312941242918985,0,0,0,0,0.0839956752537776,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108157174315357,0,0.263624306996604,0,0,0,0,0,0,0.00947934430329599,0.0578201793180132,0,0,0,0,0.051175991077495,0,0,0,0,0.00986275885744694,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.214791257313386,0.23245804417293,0,0.0860635775268632,0,0,0.073967692550945,0,0,0,0,0,0,0,0.077225106193426,0,0,0.00374900061986694,0,0,0,0,0,0.072786382471562,0,0.0247461550042709,0.048284635865982,0,0,0.172919100121195,0,0.01469271385086,0,0,0,0,0,0,0,0,0,0.0234956721487518,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0.0261939764504537,0,0.0725919498455984,0,0.401388069211774,0.175771787866815,0,0.00798370364761413,0.0706607932350588,0,0,0,0,0,0,0,0,0,0,0,0,0.0181850390470708,0,0.218600688509215,0,0,0,0,0,0,0.0241465651186366,0,0,0,0,0,0,0.0863352727236136,0,0,0,0.0642504722627121,0,0,0,0,0,0
