,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X601600.SH,X600585.SH,X600547.SH,X600660.SH,X600886.SH,X600795.SH,X000792.SZ,X002466.SZ,X600362.SH,X002460.SZ,X000708.SZ,X600010.SH,X600111.SH,X601699.SH,X000301.SZ,X600027.SH,X600160.SH,X000983.SZ,X600803.SH,X000877.SZ,X600489.SH,X601991.SH,X600426.SH,X000630.SZ,X000786.SZ,X000408.SZ,X000807.SZ,X000933.SZ,X601168.SH,X600985.SH,X002271.SZ,X600176.SH,X600219.SH,X600612.SH,X000932.SZ,X002128.SZ,X600348.SH,X600096.SH,X000027.SZ,X000883.SZ,X600995.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.022141575088801,0.189485262222189,0,0,0,0,0.117191555318172,0.0743979935243255,0,0.0197643613122244,0,0,0,0,0,0,0,0,0,0,0.138421305836598,0,0,0,0,0,0,0,0,0,0,0,0.0635786122852817,0,0,0,0,-0.0831702505374931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0758167706301429,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.166242350831051,0,0,0,0,0,0,0,0,0,-0.118604562609061,0,0,0,0,0,0.0442563245829681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241768322179336,0,-0.07844690829951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0.113277143213925,0,0,0,0.208799587418942,0,0,0.169757077358186,0,0,0,0,0,0,0,0,0,-0.0144432331903565,0,0,0,0,0,0,0,0.0995423140203866,0,0,0,0,-0.028254040842454,0,0,0,0,0,0,0.164380994357892,0,-0.170029446294878,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229712788466369,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535065216606628,0.152616939440678,0,6.93889390390723e-18,0.0641394597202265,0.190277555951108,0,0,0,0,0,0.121106684474942,0,0,0,0,0,0,0.0127405516497461,0,0.0422271060237213,0,-0.119375225910427,0,0,0,0,0,0,0,0.0269972770437115,0,-0.0171533625346699,-0.0646465279456704,0,0,0,0,0,0
X600188.SH,0,0,0.0332460304890753,0,0,0.144727233169073,0,0,0,0,0,0,0,0.0793657087258723,0,0,0,0,0,0,0,0.236075997084492,0,0,0.0261163557128304,0.237613675001926,0,0,0.0472988057997144,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181080566819779,0.12037573729533,0,0,0,0,0,0,0,0,-0.0237765988540128,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.291189837375999,0,0,0.445797728032701,0,0,0,0,0,0,0,-0.0256554989466594,0,0,0,0.179881151836273,0,0,0,0.135010208267007,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,-0.14075813912056,0,-0.00614090462042502,-8.67361737988404e-19,0.0172683467335577,0,0,0,0,0
X600019.SH,0,0,0,0,0.142263191473987,0,0,0,0,0,0,0,0,0,0,0,0,-0.0247581796019874,0,-0.00503250546825486,0,0,0,0,0.00444570782347017,0,0,0,0.0918042815810616,0,0,0,0,0,0,0,0.104876324267297,0,0,0,0,-0.0360863128160149,0.0878701437172024,0,0,0,0,0,-0.0557525507711289,0,0.0136789624917489,0,-0.00366484263347624,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.16745922370269,0,0,0,0,0,0,0,0.11966320192906,0,0,0,0,0,0,0,0,0,0.247140246318606,0,0,0,0,-0.0144436740821568,0.206623226562578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121184031686037,0,0,0,0,0,0,2.71050543121376e-20,-0.021064660412541,0.0291431132773737,0,0,0,0,0
X601600.SH,0.0757673576326165,0.0280011341670682,0,0,0.0648170818094012,0,0,0,0,0,0,0.0132470993106583,0,0.142485777596342,0.0511906007010333,0,0,0,0.0344817484458574,0,0,0,0,0,0,0,0,0,0.0257666713346316,0,0,0.226515480274183,0,0,0.230681471493148,0.0401643806999665,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.0699665061437197,0,0,-0.0134198713387099,0,0.136780294582004,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0683057317296922,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0961782177916985,0,0,0.122188411991178,0,0,-0.0659738085210822,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.066851339147289,0.182380520284706,0,0,0.0268630480618133,0,0,0,0,-0.121673933551156,0,0,0,-0.0815568208838114,0.084195097185633,-0.0381216948010954,0,0,0,0,0
