,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600886.SH,X600010.SH,X601600.SH,X600660.SH,X600362.SH,X600188.SH,X601991.SH,X600801.SH,X600795.SH,X600352.SH,X600688.SH,X000786.SZ,X002460.SZ,X600027.SH,X600111.SH,X002271.SZ,X601992.SH,X002466.SZ,X000723.SZ,X600176.SH,X600583.SH,X600516.SH,X002353.SZ,X000898.SZ,X600299.SH,X600489.SH,X600426.SH,X000883.SZ,X000709.SZ,X601158.SH,X600219.SH,X600612.SH,X000629.SZ,X000027.SZ,X000553.SZ,X000792.SZ,X000825.SZ,X000630.SZ,X000539.SZ,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0617595566025118,0,0.037813504185779,0.143799741424635,0,0,0,0,0,0,0,0,0,0.100818936445608,0,0,0,0.0455353607305193,0,0,0.0167405930066169,0,0.0148922535168601,0,0.0760339727723867,0.0606975032713877,0.0151303406589248,0,0,0,0.00913095022647961,0,0,0,0,0,0,0,0,-0.0487194777062334,0,0,0,0,0,-0.00876200985446979,0.0044652484458426,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.025884953194194,0.0098883931602343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134803887390539,0,0,0,0.0315092342037809,0,0,0,0.111786893159553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00615555071555737,0.018607253356528,0,0,0,0.0210756288100791,0,0
X601088.SH,0,0,0,0,0,0.39612824028651,0,0,0.00838404221309134,0.037891540937396,0.0397639372083264,0,0,0,0,0,0,0.0899605964220919,0,0,0,0,0,0,0,0,0,0.0594729430668814,0,0,0,0,-0.10865814947455,0,-4.33680868994202e-19,0.0106418536140242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01725668643753,-0.011745705672826,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.156588702375782,0,-0.0284598757086883,0,0,-0.0437382478975179,0.0215195360746695,0,0,0,0,0,0,0.398217369655119,0,0,0,0.0938511060496067,0,0,0,0,0,0,-0.0353547778244599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164001296619143,-0.0227645661856448,0,0,0,0,0,0
X600309.SH,0,0,0,0.0883624218792073,0,0,0,0,-0.0974465983178509,0,0,-0.0641343203117697,0,0,0,0.0208762148716535,0,0.123778887605866,0,0.0143223697142088,0,0.00775879552093373,0,0,0,0.217217941712325,0,0,0,0,0,0.0931580545332462,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0909338509400154,0,0,0,0,0,-0.0365391036753169,0.0153424445106672,0,0,0,0,0,0
X600019.SH,0,0,0.249070500374115,0,0,0,0,0,0.0397231916056612,0,-1.73472347597681e-18,0.117349109968145,0,-0.0278114217062538,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.126380537849768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00914012231302144,0,0,0,0.0483884819911953,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0867854238725093,0,0,0,0,0.0872768870588884,0,0,1.26580487106098,0,0,0,0,0,0,0,0,0,0.176651097268358,0,-0.189564135032258,0,0,0,-0.0316644453610242,0.00341513888831613,0,0,0,-0.0311865733485237,0,0
X600011.SH,0,0,0,0,0,0,-0.0496822882010135,0,-0.168662239885517,0,0,0,0,0,0,0,0,0.0786061102506397,0,0,0,0.0646836953310939,0,0.0254225811722334,-0.0456651368236431,0.103168403834358,0,0,0,0,0.123797984429014,0,0.0477205734027569,0,0,0,0,0,0,0,0,0,0,0,0.0585450584541131,0.136510244090627,0,0,0,0,0,-0.0165979866244917,0.001747603780289,0,0,0,0,0,0
X000708.SZ,0,0,0.671275706938375,0,0,0,0,0,0,0,0,0.40717182386285,0,0,0,0,0,0.0906168588955337,0,0.0920254219642494,0,0,0,0,0,0,0,0.101309895411643,0.0468634821998143,0,0,0,0,0,0.312052247015556,0.092552791909436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0265219060830798,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469334876956018,0,0,0,0,0,0,0,0,-0.305195123984024,0,0,0.250844429280813,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.0095006061765712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0809615581032609,0.0705810936310883,0,0,0,0.0499251506008348,0,0
