,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600010.SH,X600585.SH,X600011.SH,X601600.SH,X600309.SH,X601898.SH,X600688.SH,X601992.SH,X600795.SH,X600362.SH,X600188.SH,X002466.SZ,X600111.SH,X601991.SH,X600547.SH,X600660.SH,X600516.SH,X000709.SZ,X600886.SH,X300072.SZ,X000898.SZ,X600157.SH,X002460.SZ,X600027.SH,X000959.SZ,X600808.SH,X600489.SH,X002092.SZ,X600339.SH,X600352.SH,X000553.SZ,X600219.SH,X601158.SH,X000630.SZ,X600549.SH,X000983.SZ,X000792.SZ,X000883.SZ,X000723.SZ,X600176.SH,X002271.SZ,X600299.SH,X601699.SH,X600578.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.00941519338719201,0,0,0,-0.0668731081254256,0,0,-0.015750893087981,0,0.0289269253412656,-0.00946812457963709,0,0,0,0,0.0123602435992959,0,0,0,0,0,0,0,-0.0423887131489051,-0.0583519213184057,0,0,0,0,0,0.0315138484059704,0.00716554316279917,0,0,-0.102221634927809,0,0,0,0,0,0,0,-0.00891578595068093,4.33680868994202e-19,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.147435722268337,0,0,0,0,0,0,0,0,0,0,0,0,-0.0410973093556507,0,-0.0413961944605724,0,0,0,0,0,0.00422073244718836,-0.316728432368276,0,0,0,0,-0.0444952381992729,0,0,0,0,0,0,0,0,0,0,0,0,-0.0634694099007601,0.0281690745222684,0,0,0,0.00337057234337785,0,-0.0517378594381125,0,0,0,0,0
X601088.SH,0,0,0,0.0201928476377251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180842367714709,0,0,0,0,0.0010117996310774,0,0,0.00930585357072431,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.00223768632176864,0,0,0,0,0,0,0,0,0,-0.00701584850551708,0,0,0,0,0.0991350480611859,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.314102672972297,0,0,0,0,0,0,0,0,0,0.00564826028666128,-0.028545871188147,0,0,0,0,0,0,0,0,0.332498889007968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109515303213317,0.014899014808963,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0982065872352534,0,0,0,0.0240360257830013,0.0238840806997233,0,0,0,0,-0.00254792117400035,0,0,0.155531876067704,0,0,0,0,0,0,0,0,0.0189134461046162,0.057673031714051,0,0,0,0,0,0,0,0,0,0,0.00295044978427162,0.00506402601186762,0,0,0,0,0,0
X600585.SH,0,0.136171773440439,0,0,0,0,0,-0.0227975644838114,0.27378273935524,0,0.0928979535479496,0,0,0.165970973871697,0,0,0,-0.0405532586758942,0,0.198790262100973,-0.0416584533948181,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.0511660076388008,0,0,0,0,0,-0.0132581785626701,0,0,0,0.166387928617441,0,0,0,0,0,-0.00078239994643811,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.077215574663711,0.0518325665814828,0,0,0,0,0,0,0,0,0,0,0,0.506953554145795,0.043991557825963,0,-0.0217400059410895,0,0,0,0,0,0,0,0,-0.00239450666775687,0,0,0,0,0.0939095439727269,0,0,0,0,0,0,0,0,0.185368886925785,-0.0402447940030114,0,0,0,0,0,0.0318208825671954,-0.0637696707307475,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233770436529402,0.0159334145818598,0.0523358224796876,0,0,0,0,0,0,0,0,0.233638410994978,0,0,0,0,0,0,0,0,0.100083169885596,0.127238485827409,0,0,0,0,0.0217637737475318,0,0.0584391033131427,0,0,0,-0.0201841271478037,0.0116304829084845,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269761420853228,3.46944695195361e-18,0,0,0.128037575920805,0,0,0.114501172276534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00316007987418445,0,0.285212442842964,0,0,0,-0.00998111560418163,0,0,0,0,0,0,0
X601898.SH,0,-0.0976927908827562,0,0.244889338388904,0,0,0,0.17674345221663,0,0,0,0,0,7.98846057138645e-05,0,0,0,0,0,0,-1.0842021724855e-19,0.0131044266442697,0,0,0.134002544138484,0,0,0,0,0,0,0.0266019322119624,0,0,0,0,0,0,0,0.0991395190486644,0,0,-3.3881317890172e-21,0,0,0,0,0,0,0,-0.00257911128142005,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0.0166253465183664,0,0,0,0,0,0,0,0,-0.0676144855722615,0,0,0,-0.0281124789609605,0,0,0,0,0,0,0,-0.0784367572489432,0,0,0,0,0,0,0,-0.0208444215415911,0,0,0,0,0,0,0,0,0.0415368517074768,0.108995266469496,0,0,0,0,0,-0.00876863095151465,-0.0388665504743232,0,0,0,0,0,0
