,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X002466.SZ,X000792.SZ,X600019.SH,X600660.SH,X600010.SH,X600188.SH,X000877.SZ,X000301.SZ,X600011.SH,X002271.SZ,X601600.SH,X000708.SZ,X600547.SH,X601898.SH,X600362.SH,X600176.SH,X600886.SH,X600426.SH,X002326.SZ,X002080.SZ,X000408.SZ,X300037.SZ,X600803.SH,X000723.SZ,X600219.SH,X601991.SH,X600096.SH,X600399.SH,X600141.SH,X000786.SZ,X600795.SH,X300073.SZ,X002407.SZ,X600489.SH,X000825.SZ,X600352.SH,X000831.SZ,X600688.SH,X002353.SZ,X600295.SH,X600516.SH,X600486.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0400952809732314,0.0875983769231275,0,0.0447151295054636,0,0,0,0,0,0,0,0,0,0,0.00113623409775923,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0865232665912517,0,0,0,0,0.0910120210365199,0.103049212645352,0.118399912197779,0.0275287728228357,0,0,0,-0.00341616955797177,0,0,0,0,-0.0626461295448067,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0568470426126809,0,0.068964709312047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00400505527032664,0,0,0,0,0,0,0,0,0,0,0,0.121202814107374,0.119183155062501,0,0,0.0975031485957198,0,0,-0.0226038116398082,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0567555881420732,0,0,0.0358089013068997,0.150325821054026,0,0,0.00697482698569229,0,0,0,0,0.338692931508081,0,0,0.0840256657461874,0,-0.0143947616906979,0,0,0,0.12363956875893,0.0282510293828583,0,0,0,0,0,0,0,0,-0.0435675491003231,0,0,0,0,0,0,0.0861792527018106,0,0,0,0,0,0.03419385965913,0,0,0,-0.00697274214808053,0,0
X600309.SH,0,0,0,0,0,0,0,0.00088335092958668,0,0,0,0,0,0,0,0,0.0604492886270517,0,0,0,0,0,0.0941177167312748,0,0.208818063568352,0,0,0.00538493309262733,0,-0.0341278474815115,8.67361737988404e-19,0,0,1.73472347597681e-18,0,-0.00443826165142458,0,0,0,-0.0100390485029143,0,0,0,-0.0844843744356752,0,0,-0.04290045491104,0,0,0,0,0,0.00669176218002639,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.425640324893363,0,0,0,0,-0.0340356436430327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0163493454248724,0,0,0,0,0.0581793265677253,0.0838601095459525,0,0,0,0,0.336282805016824,0,-0.00143711010511695,0,0,0,0,0.0168897087706623,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0210905069802775,0.513706183353479,0,0,0.197604591687416,0,0,0,0,0,0,0.0420118140555382,0,0,-0.148053106600305,0,0,0,0,0,0,0.0258024033671325,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,-0.0207495723231127,0,0
X600111.SH,0,0,0,0,0.0427007625677615,0,0,0.179399748122284,0,0,0,0.246759400333616,0.0262836804708761,0,0.0725448730899105,0,0,0,0,0,0,0,0,0,0,0.0788570030277297,0,0,0,-0.0387970509270575,0,0,0,0,0.0984464276773942,-0.162260894685383,0,0,0.313301280176256,0.0831588039717932,0,0,0,0.130868055587115,0,0,0,0,0,0,0,0,0.0188983560277696,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.384316139241124,0,0.147196520758442,0,0.0557705421949414,0,0,0,0,0,0.0599532967086778,0,0,0,-0.0396806207986119,0,0,0,0,0,0,0.00363662075409155,0,0.165540074757386,0,0,0,0.0863205866789956,0,-0.0235424984289701,0,0,0,0,0,0,0,0,0,0,0,0,0.0446290393876147,0.0141727802437644,0,0,0,0,-0.00905269226203751,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0.192407510515276,0,0,0,0,-0.279631073805529,-0.141831215146775,0,0,-0.201143068246009,0,0,0,0,0,0,0.384592764442125,0,0,0,0,0,0,0,0,0,0,0.0523989201232217,0,0,-0.0764140778682383,0,0,0.21875419871155,0,0.15654886561465,0,0,-0.0524771684353242,0,0,0.0508637207903646,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0904517184030962,0.0432297835930345,0,0,0,0,0,0,0.149651180654552,0,0,0,0,0.0681175046753627,0,0,0,0,0,0,0.0792776491423051,0,0.0450880486984535,0,0,0.176780085588845,0.0922514637789248,0,-0.0476394198986285,0,-0.00381627555322642,0,0,0,0,0,0.223067148461694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
