,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X600111.SH,X601600.SH,X600795.SH,X600886.SH,X600362.SH,X600010.SH,X600188.SH,X600688.SH,X600309.SH,X600027.SH,X600583.SH,X601992.SH,X002353.SZ,X000883.SZ,X000792.SZ,X000898.SZ,X601158.SH,X000709.SZ,X000629.SZ,X000825.SZ,X600489.SH,X000539.SZ,X600315.SH,X000831.SZ,X600808.SH,X600490.SH,X600352.SH,X000027.SZ,X601699.SH,X600660.SH,X600307.SH,X600549.SH,X000983.SZ,X000630.SZ,X600578.SH,X000937.SZ,X002470.SZ,X600863.SH,X000959.SZ,X000960.SZ,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0.0215554151688144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654455146040654,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.011977541310949,0,0,0,0,0,0,0.075542462260073,0.0769479475170838,0,0,0.0957108649921923,0,0,0.0333115093317697,0,-0.00228657882712549,0,0,-0.00404817238632911,-0.0131085355122334,0,0,0,0,0,0
X600028.SH,0,0,0,0.0825763406659123,0,0,0,0,0,0,0,0,0.164621760024239,0,0,0,0.023511956668582,0,0,0,0.0974849231863039,0,0,0,0,0,-0.00224533615834195,0,0,0,0,0,0,0,0,0,0,0.0808909010373483,0,0.00741917828351265,0,0,0.0703646515448553,0,0,0,-0.00738230922806599,0.0171074911397733,0.0202988680800405,0,-0.0122741570614169,0.00611136979786663,0,0,0,0,0,0
X601088.SH,0,0,0,1.38777878078145e-17,0.0821939993451571,0,-3.46944695195361e-18,0,0,0.107965036427452,0,0,0,0,0.144604974503328,0,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,0,4.33680868994202e-19,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0514682569789441,0,0,0,-0.0445360718651287,0,0,0,-0.013918594874303,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.179456367729032,0,0,0,0,0.0828396586722344,0,0,0,0,0,0.264469217874077,0,0,0,-0.0335029641698678,0,0,0,0,0,-0.0173019890388205,0,0,0,0.156608084916082,0,-0.0360927024608385,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,8.67361737988404e-19,0.0207404497176435,0,0,0,-0.0824494041595254,0,0
X600585.SH,0,0,0.137742632211609,0,0,0,0.0280946702961893,0,0,0.0238390911037524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336243970172312,0,0,0.0374559963670511,0,0,0.0427904612720309,0,0,0,0,0,0,0,0.0326046143064877,0,0,0,0,0,0,0,0,0.0142053473909257,0,-0.0126351153231895,0.000819472884318991,0,0,0,0,0,0
X600019.SH,0,0,0.33535974298679,0,0,0,0.111702167051608,0,0,0,0,-0.113739115037982,0,0,0,0,0,0,0,0,-0.0663370061342419,0,0,0,0,0,0.173311187034786,-0.0188553583638558,0,0,0.120665333544884,0,0.165270470269755,0,0,0,0.000711880931805461,0,0,0,0,0,0,0,0,0.0580380820277767,0.128422038595093,0,0,0,-0.00398761116816729,0.0171757023268739,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0608213693877885,0.0511555501669024,0,0,0,0,0,0.165895731186281,0,0,0,0,0,0,0.0799870913701549,0,0.0150228096328738,0,0,0.171070439936985,0,0.0192223819307632,0,-0.0594357854035421,0.0243186040655965,0,0,0,0,0,0,0,0,0.0953888184346764,0,0,0,0,0.0153305717031464,-0.0307960510063643,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00326255685760991,0,0,0.064409871781462,0,0,0,0,0,0,0,0,0.150178340727568,0,0,0,0,0,0,0.0298502526110781,0,0,0.00741605169784384,0,0,0,0,0,0.260599629274981,0,0,0,0,0,0,0,0,-0.0110151820844427,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.018158668363915,0,0,0,0,0.0218735618412483,0,0,0,0,0.0474976088325399,0,0.0178758755360796,0,0,0,0,0.035034263146453,0.0815927868762282,0,0,0,0,0,0,0,0,0,0,0.00553651991811223,0.274664146392727,0.0505656950457234,0,0,0,0,0,0.00745678991330898,0.0840194431086524,0,0,-0.0123442602800803,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.0391026507747958,0,0,0,0,0.261771951905646,0.0944833792466632,0,0,0,0,0,0,0,0,0,0.249210682357802,0,0.224538943538645,0,0,0,0,0,0.171615170053423,0,0,0.013835390170102,0,0,0,0,0,0,0,0,0,0,0,-0.0168057786662464,0,0,0,-0.0482810010588521,0,0,0,0,0,-0.130573704466989
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324923938177852,0,-0.0478357139932247,0,0,0,0.0410655617191171,0,0,0,0,0,0,0.05053837072182,0,0,0,0,0,0,0,0,0,0,0,0.126838740723428,0,0.0249516411060529,0.0090000969623764,0.0575853676139189,0,0.0171927618342541,0,0,0,0,0,0,0
X600886.SH,0,0,0,0.201299140722775,0,0,0,0,0,0,0,0,0,0,0.0944879204159911,0.0305398027694364,0,0,0,-0.0843300771597884,0,0,0,0,0,0,0,0,-0.0154151699159391,0,0,0.240316863970302,0,-0.0204521775838524,0.0966487465931582,0,0,0.258962913565875,0,-0.115868938033683,0,0,0,0,0,0.0760784206083045,0,0.0358961219668412,0,0,-0.00558410446986234,0.0446866492181024,0,0,0,0,0,0
