,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600886.SH,X601600.SH,X600547.SH,X600585.SH,X600660.SH,X600795.SH,X000792.SZ,X600362.SH,X000708.SZ,X600027.SH,X600489.SH,X601699.SH,X600010.SH,X600111.SH,X002460.SZ,X600803.SH,X000983.SZ,X600160.SH,X600426.SH,X601991.SH,X002466.SZ,X000301.SZ,X000786.SZ,X000807.SZ,X000933.SZ,X002128.SZ,X000877.SZ,X600985.SH,X000630.SZ,X600176.SH,X600219.SH,X601168.SH,X000883.SZ,X000408.SZ,X600348.SH,X600096.SH,X600612.SH,X002271.SZ,X000932.SZ,X000027.SZ,X002353.SZ,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.4324021543511,0,0,0,0,0.0397909909070082,0,0.142313147047745,0,0,0,0,-0.172733486378814,0,0,0,0.0433566156821224,0,0,0,0,0,0,0,-0.0600444515461476,0,0,0,0,0,0.0896916030742047,0,0,0,0,-0.0293296168491261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0
X601088.SH,0.150546660071826,0,0.0643160320223973,0,0.0409526569841564,0,0,0,0,0.100931391453653,0,0,0,0,0,0,0,0,0,0.213697810564504,0,0,0,0,0,0,0,0,0,0,0,0,0.0211857491290736,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.00476224620782658,0,0,0,0,0,0,0,0,0,0,0,0,0.0244741136554477,0,0
X600028.SH,0.459433515976346,0,0,0,0,0,0,0,0,0,0,0,0.0577882168384035,0,0,0,0.00299457342130923,0,0,0,-0.0235818151764975,0,-0.0830494329701181,0,0,0,0,0,0,0,0,0.0454270071538855,0,0,0,-0.0149842744962444,0,0,0,0,0,0,0,0.0957914040277231,0,-0.102924028000115,0,0.0545523668817909,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242959422147048,0.0296479449624725,0,0,0,0.0714345418234153,0,0,0,0,0,0,0,0,0.108687961374266,0.0578777755220344,0,0,0,0,0,0.0203996264173822,0,0,0,0,0,0,0,0,0,0,-0.0858580041240142,0.0867668601507136,0,0.00928161645950532,0.00477812100376945,0,0,0,0.0347244551727908,0,0
X600188.SH,1.73472347597681e-18,0.165876019425273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285161245326632,0,0,0,0,0,-0.0906677223204684,0,0,0,0,-0.0796411435152207,0,0,0,0,0.0434345195349676,0,0,0,0,-0.0140669265965233,0,0.110641683142926,0,0,-0.118824946297024,0,0,0,0,0,-0.132740084135202,-0.0134895113031829,0,0,0,0.0209647417760293,0,0
X601898.SH,0,0,0,0,0.105064744133448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27289641035688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603977282584508,0,0,0,0,0,0.0826381662902118,0,0.0467048765719835,0,0,0,0,0.0701288285326931,0,0,0.144209793054165,0,0,0,0,0.013183046480572,0,0
X600019.SH,0.0395512727949861,0,0,0,0,0,0,0,0,0,0,0,0.0533283543459872,0,0,0,0.208462714934171,0,0,-2.16840434497101e-19,-0.0474209026930865,0,0,0,0,0,0.145433257922607,0,0,0,0,0,0,0,0,0.0454615935342513,0,0.0241837372730321,0,0,0,0,0,0,0,0,0.31368689016165,0,0,0,0,-1.73472347597681e-18,0.0224513438488106,0,0,0,-0.0227022345451959,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312946642126233,0,0,0,0.399212680543927,-0.00927690953844579,0,0,0,0,0,0,0,0,0.0864467063287235,0,0,0,0,0,0.085504481057551,0,0,0,0,0,0,0,0,-0.0652747772330766,0,0,0,0,0,0,0,0,0,0.0686020450960487,-0.0171657035483818,0,0,-0.0212445746265488,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140074700142486,0,0,0,0,0,0.00749408925329793,0,0,0,0,0,0,0,0.0289026815164694,0,0,-0.0443783836716033,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.073629980936299,0,0,0,0,-0.0839415222233609,0.0957542510436283,0,0,0,-0.141410766787417,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,-0.0399910052841314,0,0,0,0,0,0.0207739950686381,0,0,0,0,0,-0.0417864804017598,0.236725848726789,0,0.107851283630031,0,0,0,0,0,0.160458786462924,0.239191617969576,0,0,0,0,0,0.0848259601269731,0.158238269280592,0,0,0,0,0.177236416760366,0,0.175326063391623,0,0,0,0,0,0,0,0,0,0.0189480937683178,0,0
