,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X601992.SH,X600795.SH,X600688.SH,X600309.SH,X300072.SZ,X601600.SH,X600660.SH,X601991.SH,X600188.SH,X600362.SH,X600547.SH,X600886.SH,X002466.SZ,X600027.SH,X000709.SZ,X600157.SH,X600111.SH,X600339.SH,X000898.SZ,X000959.SZ,X601158.SH,X600489.SH,X600008.SH,X002460.SZ,X000723.SZ,X600299.SH,X000883.SZ,X002271.SZ,X600176.SH,X600352.SH,X600219.SH,X000630.SZ,X600578.SH,X000408.SZ,X000539.SZ,X600583.SH,X000792.SZ,X000027.SZ,X600021.SH,X000786.SZ,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.159207177287157,0,0,0,0,0,0,0.0317520423105992,0,0,-0.00855179788733286,0,0.207577130071724,0,0.00250635157848361,0,0,-0.059494765965049,0.0835210977390618,0.0117847608266477,0,0,0,0,-0.0279678302340319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0132417356117124,0,0,-0.000521546677889334,0.00344558186832653,0,0,0,0,0,0
X600028.SH,0,0,0.0165215151655503,0.0482301402317085,0,0,0,0,-0.00493691438697323,0,0.0663271293661938,0,0,0,0,0,0.00302473022719123,0,-0.139598734453935,0,0,0,0,0,0,-0.0518259354172782,0,0,0,-0.0751812283259715,0,-0.0254427052138081,0,0,0,0.0390078809169713,0.0451123702181103,0,0,0,0,-0.0147511145225515,0,0,0,0,0,0,0.083084927864825,0,0,0.00783434491554027,0,0,0,0,0,0
X601088.SH,0,0,0,0.15563968469958,0,0,0,0,-0.014434434301056,0,0,0,0,0,0,-0.0317313621830593,0,0,0,0,0,0,0,0,0,-0.0303892975038699,0.142981654582634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419144697177666,-0.00389122321696331,-0.025863766311426,0,0,0,0,0,0,-0.000851813979706412,-0.0216311120205644,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119762466932616,0,0,0,0,0,-0.0143087951176145,0,0,0.123173755559838,0.306312124039775,-0.0356573707788532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0184749457860396,0.00227250645236936,0,0,0,0,0,0
X600011.SH,0,0,0.138857520031695,0,0,-0.0965245166635177,0,0,0,0.167130053738336,0,0,0,0,0,0.277470486381848,0,0,0,-1.38777878078145e-17,0,0.252611554112664,0,0,0,0.0687715046832468,0,0,0,0,0.0614584517382484,2.16840434497101e-19,0,0,0,-0.0547248064990553,0,0,0,0,0.0546388091208646,-0.00504875451208132,0,-0.000617495265809131,0,0,0,0,0,0,0.0383227841729137,-0.0385698201546025,0,0,0,0,0,0
X600585.SH,0,0,0.116099764264871,0,-0.0789110933187041,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0300415165202721,-0.0482585573931178,0,0,0,0.0864890268948688,0.164269962454831,0,0,0,0,0,0,0,0,0,-0.0296707866769476,0,0,0,0,0.118131508711264,0,0,0,0,0,0.132424862502425,0,0,0,0,0,-0.0554320354424203,0,0,0.0395020614952499,0.00112273425192163,0,0,0,-0.291176780385092,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0250426709494848,0,0.0614689912847706,0,-0.013725593746453,0,0.0569434670490737,0,0,0,0,1.73472347597681e-18,0,0,0,0.13596449815552,0,0,0.0875935152557384,0.115129906351303,-0.0305458605725426,0,0,0,0,0,0,0,0,-0.0587049895340682,0,0,0.0412415355799458,0,0.0245424512278291,0,0,0,0,-0.0208193509914736,0,0,0,0,0,0,0
X601898.SH,0,0,0.13803154107953,0,0,0,0,0,0,0,0,0.0410602121785571,0.00492842937838977,0,0,0,0.0265396287835247,0.281287932721787,0,0,0.0470284034804531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0620545665710918,0,0,0,0.147433196480209,0,0,0.14014831444947,0,0,0,-0.0201378876329845,0,0,0,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0804935897321648,-0.143754454279153,0.186540047365998,0,0,0,0,0,0,-0.30143297641643,0,0.524942646589054,0,0,0,0,0,0,0.169687134116328,0.454300636947664,0,0,0,0,0,0,0,0,0,0,0,0,0.0560514188727839,0,0,0,0.173521835709154,0,0,-0.0326154239927142,0.0473216336957828,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.0624986509926951,0,0,0,-0.00831875219703102,0,0,7.79180434110904e-05,0,0,0,0.0183178106790582,0,0,0.0451898644162265,0,0,0,0.0497827228426138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403253052986339,-0.0817320490766071,0.16182858146487,0,0,0,0,0,0,0,-0.0157339956500697,0.00204230523355969,0,0,0,0,0,0
