,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X600585.SH,X601600.SH,X600886.SH,X600547.SH,X600011.SH,X000792.SZ,X600010.SH,X002460.SZ,X600111.SH,X600795.SH,X600362.SH,X002466.SZ,X600489.SH,X000708.SZ,X000301.SZ,X600803.SH,X600160.SH,X600027.SH,X601991.SH,X000786.SZ,X000983.SZ,X000807.SZ,X600426.SH,X600219.SH,X002128.SZ,X000877.SZ,X000408.SZ,X601699.SH,X600176.SH,X000630.SZ,X600096.SH,X601168.SH,X600985.SH,X002353.SZ,X000933.SZ,X600157.SH,X600378.SH,X300037.SZ,X600352.SH,X000831.SZ,X600995.SH,X002271.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.700558935752516,0,0.0154819176110599,0,0,0,0,0,0,0,0,0,0.0528939071775785,0,0,0,0.45720998304992,0,0,0,0,0,-0.0509606005491205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0425510459912357,0,0,0,-0.0612892736118009,0,0,0,0,-0.0722886788034571,0,0,-0.0380370842629983,0,0
X601088.SH,0,0,0,0,0.49851615754685,0,0,0,0,0,0,0,0,0,0,0,-0.0384245257001399,0,0,0,0,0,0,0,0.0367103828824196,0,0,0,0,0,0.0690583384366008,0,0,0,0,0,0,0,0,0,0.0947079709839753,0.0415263039375734,0,0,0,-0.0619648756560672,0,0,0,0,0,0,0,0,0,0,-0.0183636488946863,0,0
X600028.SH,0.522676035694467,0,0,0,0.163130229770592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00659720746963623,0,0,0,0,0.108262253854243,0,0,0,0,0,0,0,0,0.0807407570087997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0362154792680136,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792003583642571,0,0,0,0,0,0.181665947734705,0,0.0130509858764252,0,0,0,0,0,0,0.0331353356957384,0,0,0.130060234641468,0,0.0223815047419184,0.0215245200705827,0.134858747831143,0,0,0,0,0,0,0,0,0,0.104700416017696,0,0,0,-0.00113492837980881,0,0,0,0,0,0,0
X601898.SH,0,0.148656241201829,0.128242423845365,0,0,-8.67361737988404e-19,0.109974282090634,0,0.0238255760190842,0,0,0,0,0,0,0,0,0,0,0,0,0.122291006790902,0,0.112753822986915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00857710589180365,0,-0.0271610669993178,0,0
X600188.SH,0,0,0,0,0.0899178569589848,0,0,0,0,0,0,0,0,-0.0477821876921866,0,-4.33680868994202e-19,0,0,0,0.017920005927979,0,0,0,0,0,0.272799486831844,0,0,0,0,0,0,0,0,0,0.337057102207748,0,0,0,0,0.225634896023659,0,0,3.46944695195361e-18,0.137661965083102,0,0,0,0,0,0,0,0,0.275257923597398,0,0,-0.032125507678052,0,0
X600019.SH,0.283290828718028,0,0,0,0,0,0,0,0,0.18646126399631,0,0,0,0,0.0419100969176023,0,0,0,0,0,0,0,0.0846153931547888,0.136468462959164,0,0,0,0,0,0,0,0,0,0.0726385505281321,0,0,0,0,0,0,0,0,0,0.032674384000747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0708172176962564,0.0742299669920561,0,0,0,0.0357525894060282,-0.0310812217797584,0,0,0.164038148425834,0,0,0,0,0,0,0.0742754794272384,0,-1.73472347597681e-18,0,0,-0.0383292242935918,0,0,0,0,0,-0.110614203587822,0,0,0.242609059561224,0,0,0,-0.10126122972039,-0.00333154938041266,1.73472347597681e-18,-0.0967583933749621,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.194269997636098,0,0,0,0,0,0,0,0,0.045789868721664,0,0,0,0,0,0,0,0,0.0948976207965454,0.0422534440442737,0,0,0.0951627519907731,0.0181494178952425,0,0,0,0,0,0.241421279222621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025697179879831,0,0,0,0,0,0,0,-0.031718552347983,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643168323152265,0,0,0,0,0,0,0,0,0,0,0.145024968764287,0,0.562176201826863,0,-0.146729563244332,0.177753766987952,0,0,0,0,0,0,0,0.00285096330820644,0,0,0,0,0,0,-0.137415760810303,0,0,0,0,0,0,0,0,0
X600886.SH,0,0.0776874428274329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538950920219048,0,-0.0221763152117668,0,0,0,0.0452066858285608,0,0,0.0891892173224531,0,0,0,0,0,0.0207766280969062,0,0,0,0,0,0,0,0,0,0,0,0,-0.0528213768482819,0,0,0,-0.105875813278122,0,0,0.0455865147591069,0,0,0,0.0100790282020595,0,0
X600547.SH,0,0,0,0,0,0.0696787797714661,0,0,0,0,0,0,0,0,0,0.0857483807100779,0,0,0,0,0.588217773523861,0,0,0.00364563285352713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347212227690123,0,0,0,0,0,0,0,0,0,0,0,-0.0237199389056922,0,0
X600011.SH,0,0,0,0,0,0,0.00515165385082992,0,0,0.069750028429799,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854279682734005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166681494332679,0,0,0,0,0.158546775585488,0,0,0,0,0.0180542422684892,0,0,-0.0130648341574008,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0.195687251300205,0,0,0.166106782634036,0.184266498979487,0,0,0,0.0609317938464573,0,0.0992304943276771,0,0,0,0,0,0.0412354130811456,0,0,0,0,0,0,0.164546595005637,0,0,0,0,0,0,0,0,0,0,0,0,0.0655353961967711,0,0,0,0,0.0211461723705708,0,0.0618115939140679,0,0,0,0
