,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600019.SH,X600011.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600547.SH,X601898.SH,X601600.SH,X600111.SH,X600660.SH,X002271.SZ,X000301.SZ,X000708.SZ,X600010.SH,X600886.SH,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600803.SH,X600176.SH,X600027.SH,X601699.SH,X600489.SH,X601991.SH,X000983.SZ,X600160.SH,X000807.SZ,X000786.SZ,X600995.SH,X000629.SZ,X002080.SZ,X600219.SH,X300037.SZ,X000932.SZ,X600378.SH,X000933.SZ,X000723.SZ,X000408.SZ,X600688.SH,X600096.SH,X000831.SZ,X600157.SH,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.159832132657736,0,0,0,0,0,-0.0782289765954404,0,0,0,0,0,0.0967306674892341,0,0,0.050719168994199,0,0,0,0,0,0.0115960132018885,0,0,0,0.0119200832483892,0,0.0751474271042634,0,0,0,0,0,0.0636620816441009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503727153831311,-0.050620294304657,0,0,0,0,0,0
X600028.SH,0.377486848356608,0,0.201202854961036,0,-0.084783051758441,0,0,0,0,0,0,0,0.13999942402132,0.160294710042079,0,0,-0.00073900044451502,0,0,0,0,0,0.140829784849499,0,0,0,0,0,0,0,0,0,-0.103417430272767,0,-0.0379726491893703,0,-0.0733616043532329,0,0,0,0.0190385114492894,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0121602613994516,-0.039172895013233,0,0,0,0,0,0
X601088.SH,0,0.213001608343277,0,0,-0.147160373315136,0,0,0,0,0,0,0.0248779586335783,0,0,0,-0.0971889454917468,0.0508390420587291,0,0,0,0,0,0,0,0,0,0,0,0.150548909288499,0,0.0682858643012081,0,0,0,0.189169185784243,0,0,0,0,0,0.0067464685390719,0.0606278897093706,0.0533440517870173,0,0,0,0,0,0,0,0,0.00943496896217664,0,0,0,0,0,0,0
X600309.SH,0.0753444252798152,0,0,0,0.0691397932648948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110966886266266,0,0,0.21020057700466,0,0,0,0,0,0,0,0.127110900114265,0,0,-0.0143200083202283,0,0,0.162874735457973,0,0,-2.16840434497101e-19,0,0,0,0,-0.101589224542815,0,0,0,0,0,-0.092837197456023,-0.0381833068914639,0.0461584449006159,0,0,0,0,0,0
X600188.SH,0,0,0.243945776722179,0,0,0,0,0,0,0,0,0,0,0,0,-0.441774304329076,0.158624402813154,0,0,0,0,0,0,0,0,0.0139745263060857,0,0,0.148799599277498,0,-0.13983700793456,0,0,0.00548586377019554,0,0,0,0,0,0,0,0,0.256593329710115,0,-0.003209986075912,0,0,0,0,0,0,-0.0310569427810907,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0516816542489072,0,0,0,0,0,0.0246036653983418,0,0,0.114667533714607,0,0,0,0,0.287111681231678,0,0,0,0.0341223427601904,0,4.33680868994202e-19,0.0217536997997501,0,0,0,0,0,0.048230523675822,0,0.0824400987536721,0,0,0,0,0,0,0,0,0,0.0331021203098161,0,0,0.203088617392035,0,0,0.00658151886798614,0,0,0,0,0,0
X600019.SH,0.0785967182748681,0.2295511249805,0,0,0.109054054132301,0,0,0,0,0,0,0,0,0.123346063441124,0,0,0.0286234222232437,0.0848110026674035,0,0,0,0.207677815944112,0,0,0,0,0.0789701583186104,0,0,0,0,0,0,0,0,0,0,-0.073598197115539,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00953170614583276,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0564150205578827,0,0,0,0,-0.0109482424228998,0,-0.0879980961944964,0,0,0,0.426188892430507,0,0,0,-3.46944695195361e-18,0,0,0,0,-0.176639780920623,0,0,-0.0115054846571756,0,0.0616780563869725,-0.047847342301076,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0
X002460.SZ,-0.0749614903608038,0,0,0,0,0,0,0,0,0.718012326543847,0,-0.0264716109688973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888644973500004,-0.0594068069244676,0,0,0,0,0,0,0,0,0,0.0329782197449381,0,0,0,0,0,0,0,-0.00442343684912183,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.529228864376611,0,0,0,0,0,0.0164563085046012,0,0,0,0,0,0,0,-0.0137435620584237,0.10695371575986,0,0,0,0,0,0,0,0,0,0,0,0,0.0674856761543233,0.0324959492646736,0,0,0,0.0501531280926764,0,0,0,0,0,0,0,0,-0.0297014907520071,-0.0125962801274314,0.0042858575648689,0,0,0,0,0,0
