,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600688.SH,X601991.SH,X600547.SH,X600660.SH,X601600.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X000898.SZ,X600027.SH,X601992.SH,X000629.SZ,X600176.SH,X600111.SH,X600299.SH,X600516.SH,X002466.SZ,X600808.SH,X000709.SZ,X002460.SZ,X600352.SH,X600801.SH,X002110.SZ,X300072.SZ,X600489.SH,X000825.SZ,X600339.SH,X601158.SH,X600426.SH,X000553.SZ,X600219.SH,X600583.SH,X000786.SZ,X601699.SH,X000883.SZ,X000932.SZ,X000408.SZ,X000301.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.177710808255568,0,-0.0154454974035375,0,0,0,0.0644180785454967,0.0685488161789043,0,0.136741960464908,0.0520801832605071,0,0,0,0,0,0,0,0,0,-0.0555827969544697,0,0,-0.0358962351729005,0,0,0,0,-0.0462090771397855,0,0,0,-0.00607784942231027,0,0,0.206218659190674,0,0,0,0,0,0,0,0,0,0,0.341974519653492,0,0.00938096849344369,0.0250357750214464,0,0,0,0,-0.0338287807124898,0
X600028.SH,0,0,0,0.101891669389524,0.177072052449838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208397703379228,0,0,0.151533273508614,0,0,0,0,0,0,0,0.0196920896244204,0,0,0.156911242943393,0,0,0.0447211049863586,0,0,0,0,0.0256991391239457,-0.108059127704671,0,0.00194164316168815,0,0,0,0,0,0
X601088.SH,0.0994777776191121,0,0,0,0,0,0,0,0.156634656673665,0,0,0.0442573169552085,0,0.05375536849797,0.182796403708215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260808338803292,0.0449829892518126,0,0,0,0,0,0,0,0,0,0,0.131175146937468,0,0,0,0.034072377867,0,-0.0109752971769535,0,0,0,0,0,0,0
X600585.SH,0,0.0118065687638514,0,0,0.0513683718238062,0.0151125841844977,0.0338787181867162,0,0,0,0,0,0,0,0,0,0,0,0.142888108683667,0.0301792085184656,0,0,0,0,0,0,0,0,0,0,0,0.475587223124404,0,0,0,0,0,0,0.0457185367084435,0,0,0.17609429791565,0,0,0,0,0,0,0,0.0111829232387313,0,0,0,0,0,0,0
X600019.SH,0,0.0367456653727155,0,0.0659447034259338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629968953936499,0,0,0,0,0,0,0,0.0209869076425866,0,0,0,0,0.0677242731199149,0,0.00247277850108217,0,0,0,0,0,0,0,0,0,0,0,0.0630270315977544,0,0,0,-0.00381743389548697,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0713216445855419,0,0,0,0,0,0,0,0,0.0303718665387928,0,0,0,0.768475182269438,0,-0.0258780507973025,0,0,0,0,0.0306348227319675,0,0,0,0.0646007230260329,0,0,0,-0.102510117330539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107580463220114,0.0275762526945165,0,-0.00380481355391196,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274279171003612,-0.32857444995476,0,0,0,0,0,-0.221794056244158,0,0,0,0,0,0,-0.0128805316872591,0.0150786035070858,0,0,0.430195659643499,0,0,0,0,0,0,0,0,0,0,0.0337069541265586,0.0530347630681699,0,0.180099632078516,0,0,-0.806773025016595,0
X600010.SH,0.124311616752945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134202518594026,0,0,0,0,0,0.126829650294154,0.0282535675509283,0,0,0,0.162396163703256,0.047898279498012,0,0,0,0,0,0,-0.08241676966143,0,0.027600193195519,0,0,0,0,0,0.0275911935267267,0,0,0,0,0,0,0,0,-0.0354982389386713,0,0,0,0,0,0
X601898.SH,0.0305268641074314,0,0.241595196820271,0,0,0,0,0,0,0,0.257648493108559,0,0,0.0745541589358261,0.334196348196391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00348978927152993,0.0283466505008315,0,0,0,0,0.0389940287367138,0,0,0,0,0,0,0,0.0842774702218506,0,0,0,0,0,0,0,0,0
X600688.SH,0.149613535201105,0.0310899507695888,0,0,0,0,0,0,0.074758596246155,0,0,0,0,0.0500393412727601,0,0,0,0,0,0,0,0,0,0,0,0,0.0349411048816185,0.101751509199079,0,0.0165445825555411,0,0,0,0.0179207369255867,0,0,0.0251338130796544,0,0,0.104615978722413,0,0,0,0,0,0,0,0,0,-0.00138048625269255,0,0,0,0,0,0,0
