,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X600547.SH,X601898.SH,X601991.SH,X600352.SH,X600660.SH,X600688.SH,X000723.SZ,X600188.SH,X600362.SH,X600886.SH,X600795.SH,X600111.SH,X600801.SH,X601992.SH,X600027.SH,X000898.SZ,X600176.SH,X000786.SZ,X600516.SH,X002466.SZ,X002460.SZ,X000709.SZ,X002271.SZ,X600299.SH,X002110.SZ,X000629.SZ,X600219.SH,X601158.SH,X600489.SH,X000553.SZ,X600808.SH,X000883.SZ,X000630.SZ,X000990.SZ,X600426.SH,X600583.SH,X600985.SH,X000027.SZ,X000825.SZ,X600339.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0341673465767694,0,0,0,0,0,0.0475410145524256,0,0,0,-0.00160533796906961,0,0,0,0,0,0,0,0,0.062020853328702,0,0,0,0,0,0,0,0.0505155278031276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0954864667274124,0.0401927859416846,0,0.0393520073550283,0,0,0,-0.00660529844662109,0,0,0,0,0,0
X600028.SH,0,0,0.0781571952167625,0,0,0,0,0,0.0588129558848123,0,0,0.0694812179814144,0,0,0.10583365775926,-0.0202140342365825,0,0,0,0,8.67361737988404e-19,0.0526771602611773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240280281743751,0.00557924363750783,0.0495607014798128,0,0,0,0,0.0980573988556765,0,0,0,-0.0203943247951658,0,0,0,0,0,0
X601088.SH,0,0,0,0.061749831706063,0,0.0220143256886308,0,0,0,0,0,0,-0.100553124197401,0,0,0,0.225421970230108,0,0,0,0.0611032224797152,0.108471197904497,0,0,0,0,0.0742065473832892,0.00473912324050462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380895571029211,-0.0437595178759623,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.116501460438216,0,0,0,0,0,0,-0.0169192443999614,0,0,-0.00169864958522648,0,0,0,0,-0.0112729349620168,0.492642573641306,0,0,0,0,0,0,0,0,0,0,-0.029979200434137,0,0,0,0,0,0.00735881492599192,0,0,0,-0.00675045024404681,0,0,0,0,0,0,0,0,-0.0122929066169848,0,0,0,0,-0.0201351190719175,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110960930101512,0.0964194038567299,0.192068652806772,0,0,0,0.169386837252955,0,0,0,0,0,0,0,0,0,0,0.100612225641717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0129183832642519,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.148026975752471,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.00570050057371552,0,0,0,0,0,0,0.442689047601037,0,-0.11332599693014,0,0,0,0,0,-0.033262924852092,0.0715779698449378,0.17697843075608,0,0,0,0,0,0,0,0.0476199079820355,0,0,0,0,-0.0331105208977848,0,0
X600011.SH,0,0,0,0,0,0,0,0.0732038780193116,0,0,0,0,0.196939056177609,0,0,0,0,0,0,0,0,0,0,0.485748757881018,0,0,0.0139151685542057,-0.0853571334027107,0,-0.0164155469370019,0,0,0,0,0,0,0,0,0,0,0,0.0857427317456653,-0.0309542724139515,0,0,0.00967744761451024,0,0,0,0,0,0.0271056784254629,0,0,0,0,0.00256883045324847,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0963648842538318,0,0.148240748360084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183935321904508,0.330725760643346,0,0,0,0,0,0.122003596441695,0,0,0,0,0.0817439819491025,0,0,0,0,0.00261663479792237,0,0,0,0,-0.0338294913759188,0,0
X601600.SH,0,0,0,0,0,0,0,0.0206090341395057,0,0,0,0,0,0,0,0,0,0.11327717384619,0,0,0.224324350175741,0.0353825981398215,0,0,0,0,0,0.0126015983569646,0,0,0,0,0,0,0,0.300358851115821,0,0,0,0,0,0,0,0.0812086912701964,0,0,0,0,0,0,0,-0.0148076506147449,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0199663137703767,0,0,0,0,0,0,0,-0.0662663096421088,0,0,0,0,0,0,0,0,0,0,0,0.0506374451631459,0,0,0,0,0.846075559208527,0.0785804797383205,0,0,0,-4.33680868994202e-19,0,0,-0.0563518620865445,0,0,-0.000689083828831366,0,-0.0328262723259019,0.00456682812396774,0,0.0483988206332397,0,0,0.0154465326689701,0,0
