,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X600660.SH,X000708.SZ,X600547.SH,X002271.SZ,X600011.SH,X600176.SH,X600362.SH,X000786.SZ,X601600.SH,X600426.SH,X600886.SH,X601898.SH,X002466.SZ,X600010.SH,X600188.SH,X600111.SH,X000301.SZ,X600352.SH,X601991.SH,X600795.SH,X600801.SH,X600489.SH,X300037.SZ,X600486.SH,X002080.SZ,X600219.SH,X600688.SH,X600803.SH,X600027.SH,X002353.SZ,X601992.SH,X600299.SH,X600529.SH,X600157.SH,X601168.SH,X300073.SZ,X600399.SH,X000932.SZ,X000027.SZ,X000898.SZ,X002409.SZ,X000723.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,-0.00258415674199641,0,0,0,-0.00263982740109084,0,0,0,0,0,0.122207807987016,0,0,0,0,0,0,0,0.0762044915422356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0205838641530303,0,0.00473745114109162,0,0,0,0,0.00656918640820264,0,0,0,0,0,0,0,0,-0.00129903286649752,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,-0.0308013725295294,0,0,0,0,0,0,0,0,-0.0129935383033112,0,0,0.0411615715815021,0.0137074290904176,0,0,0,0,0,0,0,0.04433645483994,0,0,0,0.0528224410413985,0,0,0,-0.0133865935335589,0,0,0,-1.73472347597681e-18,0,0,0.15812815851032,0,0,0,0,0.0102162013428723,0,0,0,0,-0.00578067241415379,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.0152310299596755,0,0,0,0,0,0,0,0.553422501716589,0,0,0.214311552061857,0,0,0,0,0,0,0,0,0,0,0.0626572156803289,0,0,0,0,0,-0.0399539599463026,0,0,-1.73472347597681e-18,-0.00918443346370615,0,0,0,0,-0.0632857670962604,0,0,0,0,0,0,0,0,-0.00910245007813426,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,-0.0761591073941146,-0.0824654965799197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305148352358005,0,0,0,-0.129365292392307,0,0,0,0,-0.107575523455349,0,-3.46944695195361e-18,0,0,0.195980994241266,0,0,0.0811688279643807,0,0,0,0.0204518535962477,0,0,0,0,0.00147679170423853,0,0
X600585.SH,0,0,0,0.090991646296252,0,0,0,0,0,0.0604389595465289,-0.0687397099448352,0,-0.018511899566974,0,0,0.0379795949560233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0235985869809496,0,0,0,0,0.0419149006822482,0,0,0,0,0.0849051835747991,0,0,0,0,0.0318924282388786,0,0,0,0,0.00322778278732115,0,0
X002460.SZ,0,0,0,0,0,0,0,0.079410576996664,0,0,0.178621885375981,0,0,0,0,0,0,0,0,0.408498428529661,0,0,0,0,0,0,0,0,0,0.313794996828738,0,0,0,0,0,0,0.0443835072109784,0,0,0,0,0.0827293069988302,0,0,0,0.0847338983427742,0,0,0.109637863360849,0,0,-8.67361737988404e-19,-0.0692458674143906,0,0,0,-0.0124204343761626,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141209882933987,0,0.117509310703664,0,0,0.0855975502687644,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0.0594827841245587,0.0105499097854544,0,0,0,0,0,0,0,0,0,0,0.0512711495362143,0,0,0,0,0,0,0,0.0251954920217969,0.0668810244178113,0,0,0,0.00289235260249863,0,0
X600660.SH,0,0,0,0,0,0.172198798081628,-0.154825422198682,0,0,0,0,0,0,0,0,0,-0.0861967062221015,0,0,-0.021748147995756,0,0,0,0.0424685355085218,0.0505711457487464,0,0,0.171525838837084,0,0.13653442162822,0,0,0,0,0,0,0.0239751890047399,0,0,0,0,0,0,0,0,0,0,-0.0811462625464337,0,0,0,-0.00470525739110889,0.0197610911407812,0,0,0,0.0178120050090791,0,0
X000708.SZ,0,0,0.182401905365693,0,0,0,0,0,0,0,0,0.00314179194666611,0,0,0,0,0,0,0,0,0,0,0.126330115944176,0,0,0,0,0,0,-0.0119154879664915,0,0,0.0397217628084998,0,0.052759159956414,0,0,0,0.0946035576266231,0,0.106569037612369,0,0,0,0,0,0,0,0,0.250292080992371,0,-0.0312968114830862,0.0865389727951968,0,0,0,-0.00409864161147695,0,0
X600547.SH,0,0,0,0,0,0.0506560989209984,0.0276528352621575,-0.0401585522715997,0,0,0,0,-0.0454872241628901,0,0,0,0,0,0,-0.0330609788485925,0,0,0,0,0,0,0,0,0.590330907319812,0.018650629124165,0,0.0138893196248811,0,0,0,0,0,0,0,0,0,0.0294980566417935,0.0135176656244835,0.0400184362438779,0,0,0,0,0,0,0,0.0104236780667924,0,0,0,0,0.00460990392075255,0,0
