,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X002466.SZ,X000792.SZ,X600019.SH,X600660.SH,X600010.SH,X000877.SZ,X000301.SZ,X600188.SH,X002271.SZ,X000708.SZ,X600011.SH,X601600.SH,X600547.SH,X601898.SH,X600362.SH,X600176.SH,X600886.SH,X600426.SH,X002080.SZ,X600803.SH,X000723.SZ,X000408.SZ,X600688.SH,X600219.SH,X300037.SZ,X600399.SH,X002326.SZ,X000786.SZ,X601991.SH,X600795.SH,X600141.SH,X000825.SZ,X300073.SZ,X600352.SH,X600096.SH,X600489.SH,X600516.SH,X600157.SH,X002409.SZ,X000155.SZ,X002407.SZ,X600486.SH,X600295.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0661118554120176,0,0,0,0,0.00577097345111064,0,0,0,0,0,0,0.0665039159912232,0.0825382976671326,0,0,0,0,0,0,0,0,0,0.0567427362058436,0,0,0,0,0.169543389197871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152996265545567,0,0,0,0,0,0.114175794460113,0,-0.0152225966444597,0,0,0,0,-0.104382215706036,0,0
X600028.SH,0.1589247647946,0,0,0,0,0,0,-0.0182976558961864,0,0,0,0,0,0.0457640644922827,0.0383397456499163,0,0,0,0.0768493185839574,0,0,0,0,0,0.0369144661824742,0,0,0.00772069952716655,0,0.0365298576051244,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.0857321263182459,0,0,0,0,0.0997646074747491,0,0,-0.0269165718482495,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0.000951314911277551,0,0,0.18767776970347,0,0.106915906007872,0.0570901907854152,0,0,0.354391295411714,0,0,0.0811004198270093,0,0,0.118065355794727,0.0467300948828983,-0.00761692540056876,0,0,0,0,-0.0254301434952085,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00631348344230404,0,0.0743713141671222,0,0,0.026789487250316,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.106206733154242,0,0,0.0554884865042699,0.0133240280388226,0,0.107804257866886,0,0,0,0.0355737337849636,0,0.246931960747849,0.040428768117283,-0.0272016755701931,0,0,0,0,0,0,-0.0978400815273758,0,0,0,-0.0723132433670503,0,0,0,0.0366705374591427,0,0,0,0.0241350910324547,0,0,0,0,0,0,0.0232660927337355,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.382470538977504,0,0,0,0,-0.0114530317751959,0.0223049749346436,-0.0371527553361632,0,0,-0.0284727212343007,0,0.331171565523714,0,0,0,0,0,0,0,0,0,0,0,0.00985030844593198,0.154850795450199,0,0,0,0,0.0286891063077764,0,0,0,0,0,0,0,0,0,0.342908674960114,0,0.0217956013323073,0,0,0.0117189518059479,0,0,0,0,0,0
X600585.SH,-0.0163846418086068,0,0,0,0,0,0,0,0,0,0,0,0.474251922032543,0,0.107213631965237,0.295238802130644,0,-0.0200640361525969,0,0,0,0,0,0.0533384256074011,0,0,0,0,0.0640845135650567,0,0,-0.0510243907430131,0,0,0,0,0,-0.0739240629264607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600111.SH,-0.00619729357961097,0,0,-0.249175275734533,0,0,0,0.110648039054093,0,0,0,0.579224653036667,0,0,0.14605078362729,0,0,0,0,0,0,0,0.132460294897353,-0.0667402504445467,0,0,-0.0621713463404727,0,0.229974849197827,0,0,0.121100862558486,0.123361784397374,0,0,0,0.00619281583406184,0,0,0.198892240314523,-0.065517892585674,-0.032822902528493,0,0,0,0,0,0,0,-0.197517835237882,0,0,0.0235020885811682,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.501239082322168,0,0.0653146532524687,0,0,0,0,0.111885055429397,0,0.0218157916880362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149747870825613,0,0.0155421110815106,0,0.0487269555190395,0.000458521363218649,0,0,0,0,0,0,0,0,0,0,0,0,0.0193781197125521,0,0,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0.121655220611219,0,-0.0335211028744683,0,0.126908024583768,0,0,0,0,0,0,-0.182456445970704,0,0,0,0,-0.00869302336941361,0,0,0,0,0,0.301497414651437,0,0,0,0,0,0,0,0,-0.0326902273155922,0.0308535496362367,0,0.0369208889263868,0,0.0498627550131388,0,0,0.307221301236301,0,0,0,0,-0.015064934915953,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0752942914017836,0,0,0,0,0,0.181450245706651,0,0.0230227646049068,0,0.0389135303789214,0,0,0,0,0,0,0,0,0,0,0.0653477134911426,0.0984854114112677,0,0.103296726389727,0,0,0,0,0,0,-0.0283674663904478,0.261859095271199,0,0,0,0,0.0178793304555012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
