,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600362.SH,X600352.SH,X600886.SH,X600188.SH,X600795.SH,X000723.SZ,X600111.SH,X600801.SH,X601992.SH,X600027.SH,X000898.SZ,X600489.SH,X002271.SZ,X600176.SH,X600516.SH,X000709.SZ,X002460.SZ,X000786.SZ,X002466.SZ,X000629.SZ,X600299.SH,X000883.SZ,X600219.SH,X601158.SH,X000553.SZ,X600808.SH,X000630.SZ,X600985.SH,X600583.SH,X000401.SZ,X000027.SZ,X600426.SH,X601699.SH,X600339.SH,X000825.SZ,X600021.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600188.SH,0,0,0,0,0,0.043857098844302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0715583580842309,0,0,0,0,0,0,0.0205245259235827,0.0420791951369717,0.0472459465079884,0,0.0564323907213856,0,0,0,0.0539456046871892,0,0,0,0,0,0,0.0510434306370458,0,0,0,0.210760090158351,0.0385110626867529,0,0,0,0,-0.0169941351092951,0.0154380081967878,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.00396422979992847,0,0,0,0,0,0,0.00873392094336338,0,0,0,0.0220756996624448,0,0,0,0.252741294709483,0,0,0,0,0,0,0,0,0,0,0.0648498096021343,0,0,0,0,0,0,0.0520491331509909,0,0,0,0,0,0,0,0,0,-0.0122564702019663,-0.0138443394738761,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,-0.152313419196144,0,0,0,0,0,0,0.411473284295353,0,0,0,0,-0.223987069623646,0,-0.139473509073628,0,0,0.169813395345622,0.166925633017907,1.41435871900785,0.358800572493936,0,0,0,0.15556561159368,0,0.214464852612577,0,0,0,-6.93889390390723e-18,0,0,-0.131248601373229,0,0,0,0,0,0,0,0,0,0.0771760366156608,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,-0.0483377424160563,0.0176437471514088,1.23245419911996,0,0,0,0,0,0,0,0,0,0,-0.0375593100844834,0,-0.106683648291635,0,0,0,0,0,-0.150906423632547,0,0,0,0.108003176776709,0,0.0229794904426286,0,0,0,0,0,0,0,0,0,0,0,0.0117834825605422,0,0,0,0,0,-0.0304700946635022,-0.168775535742727,0,0.120892127839271,0,-0.122790949878035,0,0
X600801.SH,0,0,0,0.318068411156517,0,0,0,0,0.0635354673649517,0,0,0,0,0,0,0.145230693308124,0,0,0,0,0,0,0.0375657267142928,0,0,0,0.0365551660560301,0,0.299568842969442,0,0,0.0956254312689401,0,0,0,0,0,0,0,0,0,0.141907578128365,0,0.103036607043448,0,0,0,0,0,0,0,-0.0122278571775213,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102723636516679,0,0,0,0,0,0,0.048712497683608,0,0,0,0,0,0.0913918382724491,0,0,0,0,0,0,0,0.0692466157313438,0.26994388664033,0,0.0988359022652771,0,0,0,0,0,0,-0.0453568920465859,0,0,0,0.0210436054169932,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0.621125313113864,0,0,0,-8.67361737988404e-19,0,0,0,0.064038604929188,0.0691580771166086,0,0,0,0,0,-0.166981282736871,0.0358474984784859,-0.0983862597108983,0,0,0,0,0,0,0,0,0,0.0976953118548812,0.00244377316813223,0,0,0.124413763278615,0,0,0,0,0,0,0.218675633067885,0,-0.0194281007349744,0,0,0,0,0.00309421135126395,0,0
X000898.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238132674920233,0,0,0,0.0139310553171016,0.0406034285057813,0,0,0,0,0,0.103558631128575,0.201379955502689,-6.93889390390723e-18,0,0,0,0.201957440730986,0,0.0449254852679551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125391380502015,0,0,0,0,0.017575236969552,0,0
X600489.SH,0,0,0,0,0,0,0,0.793440498811172,0,0,0,0,0,0,0,0,0,0,0,0.00235635842120187,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125428897752759,0,0,0,0,0.0175795268401877,0.103577488182016,0.059380629855652,0,0,0,0,0,0,0,0,0,0.0132946315660265,0,0,0,0,0,-0.00501394338998572,0,0
X002271.SZ,0,0,0,0.219162031055534,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,-4.33680868994202e-19,0,0.103284522063664,0,0,0.700296382396942,0,0,0,0,0,0,0,0.0281941299938889,0.0811977571039632,0.00597830890792605,-0.0871941857257483,0,0,0.0459597269872735,0,0,0,8.67361737988404e-19,0,0,0.0178568493402866,0,0,0,0,0,0,0,0,0,0,0.0455763895180964,0,0
