,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X600011.SH,X002466.SZ,X000792.SZ,X601898.SH,X600547.SH,X601600.SH,X600111.SH,X000708.SZ,X600660.SH,X002271.SZ,X000301.SZ,X600010.SH,X600886.SH,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X601699.SH,X600803.SH,X600176.SH,X000983.SZ,X601991.SH,X600027.SH,X600489.SH,X000807.SZ,X000786.SZ,X600160.SH,X600995.SH,X000629.SZ,X002080.SZ,X000933.SZ,X000723.SZ,X600219.SH,X600378.SH,X000932.SZ,X000408.SZ,X600096.SH,X600688.SH,X300037.SZ,X000831.SZ,X600157.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.200384384502769,0,0,0,0,0,0,-0.0695446328986249,0,0,0,0,0.0902808330521743,0,0,0,0.0625988373707493,0,0,0,0,8.67361737988404e-19,0,0,0.0694548425351503,0,0.0504858756607441,0,0,-0.00748111953846349,0,0,0.0744081331896324,0,0,0,0,0,0,0,0,0,0,-0.0111370840301759,0.0750936601704496,0,0,0,0,0,0.039082526036936,-0.0387747219822587,0,0,0,0,0,0
X600028.SH,0.294030422159643,0,0.195657250477376,-1.73472347597681e-18,-0.107677719602325,0,0,0,0,0,0,0.154907008645436,0.0631871444126427,0.0280592597050853,0,0,0,0,0,0,0,0,0.0671800743162057,0,0,0,0.064979071700392,0,0,0,0.0294603585416649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115206484736645,0.0487569794201877,0,0,0,0,0.0256055883708711,-0.0323988467876078,0,0,0,0,0,0
X601088.SH,0,0.205388756115223,0,0,-0.0490488241507723,0,0,0,0.0246361462517012,0,0,0,0,0.0563991646619417,0,0,-0.095072252140894,0.045610384446213,0,0,0,0,0,0,0,0.132985394898925,0,0,0,0.128503713080207,0,0,0,0.0195065305382956,0,0,0,0,0.136988480627879,0,0,0.0198578924328841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0426970571323335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055599552641939,0.138748760857846,0,0,0.301258723200017,0,0,0,0,0,0.0055144411067866,0.0939796814774328,0,0,-0.0230654614562302,0,0,0,0,0,0,0,0,0,0,0,0,0.0052457734958674,0,0,0,0.00399430109647481,-0.175177568453953,-0.0118102798625095,0,0,0,0,0,0,0
X600188.SH,0,0,0.3754184505474,-0.100351618034409,0,0,0,0,0,0,0,0.0922245846978833,0.0757099431367088,0,0,0,-0.226387562066362,0.0694101559585092,0,0,0,0,0,0,0,0.074195595889817,0.048641281113704,0,0,0,0,0,0,0,0,0,0,0,0.080900977542164,-0.318171803198289,0,5.09426997850862e-05,0,0,0,0,0,0,0,0.552914381117606,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596675627291363,0.100993330025804,0,0,0.459774310997695,0,0,0,0,0,0,0,0,0.00404970593406666,0,0,0,0,0,0,0,0.0846694327745105,0,0,0,0,0,0.0574961901406758,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0
X600019.SH,0,0.257094031514633,0,0,0.106741565185726,0,0,0,0,0,0,0.139401415898776,0,0.0422773233611184,0,0.11736725720404,0,0,0.0913292479063009,0,0,0.308188417085343,0,0,0,0,0,0.0621969639427742,0,0,0,0,0,0,0,0,0,-0.0679307623880266,0,0,0,0,0,0,0,0,0.00533395637207867,0,0,0,0,0,0,0,0,0,0,0,0
X002460.SZ,-0.128465811506884,0,0,0,0,0,0,0,0,0.638635035349968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00800912865964162,0,0,0.0620805972427535,0,0,0,0,0,-0.0799032874696184,0,0,0.142697059972769,0,0,0,0,0,0.0849739527177091,0,0,0,0,0,0,0.0345374576063971,0.00464680256756598,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0807991143111658,0,0,0,-0.0320282546508684,0,-0.0993283937137398,0,0,0,0,0,0,0.441145802598163,0,0,0.0776495875107514,0,0,-0.149810056641934,0,-0.0448734850617856,0,0,0.0789778271270408,0,0,0,0,-0.0082717201811899,0,0,0,0,-0.00172603147839911,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.537827649621591,0,0,0,0,0,0,0.171735814611483,0,0,0,0,0,0,0,-0.0571939274230724,0.0710707458579445,0,0,0,0,0,0,0,-0.0235200518119336,0,0,0,0,0.0290837874091004,0.00383705784067558,0,0,0,0.061404303292988,0,0,0,0,0.0517117530003902,0,0,0,-0.0370150846345144,-0.0142686019981154,0.0109669040400226,0,0,0,0,0,0
