,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600010.SH,X600362.SH,X600795.SH,X600188.SH,X600111.SH,X600886.SH,X600027.SH,X600309.SH,X600688.SH,X601992.SH,X000898.SZ,X600583.SH,X601158.SH,X000792.SZ,X000709.SZ,X000883.SZ,X600489.SH,X002353.SZ,X000539.SZ,X600547.SH,X000630.SZ,X000825.SZ,X000629.SZ,X000027.SZ,X600660.SH,X601699.SH,X000831.SZ,X600352.SH,X600315.SH,X600578.SH,X000983.SZ,X600808.SH,X000937.SZ,X000959.SZ,X600549.SH,X002470.SZ,X600863.SH,X600008.SH,X000878.SZ,X600307.SH,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.756967011090044,0,0,0,0,0,0,0,0,0,0,0.0599278340372365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0133115356654168,0,0,0,0,-0.0558645400241853,0,0
X600028.SH,0.595947787072545,0,0,0,0,0,0,0,0,0,0,0,0.0237701109746777,0,-0.116921288675691,0,0,0.331113912749578,0,0,0,0,0,0,-0.0440545575097778,0,0.053577188195264,0,0,0,-0.0234805640720392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162932848748878,0,0,0,-0.0231691977831701,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0693976930740611,0.0986109843279814,0.00246662369030216,0.0609498020530674,0,0,0,0.153376372591157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125111685146326,0,0,0,0.15458112479977,0,0,0,0,0,0,0.124648178010328,0,0,0,0,-0.00914018382699294,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.20799806953926,0,0,0,0.019213729554323,0,0,0,0,0,0.310739567487694,0,0.121309788748804,0,0,0,0,0,0,-0.0629281620469992,0,0,0,0,0,-0.0411109246403949,0,0.10375642504375,0,0,0.0826553435562995,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0.0234167703768496,-0.0407656980584844,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.201678842294901,0.088911096460711,0,0,0,0,0,0.0121954065162583,0,0,0,0,0,0,0,0.0260137169233765,0,0.00277984603874145,0.0431687454115017,0,0,0,0,0.014784770268874,0,0,0,0.040944525772548,0,0,0,0,0,0.0716891978702572,0,0,0,0,0,0,0,0.0281889862140613,0,-0.0223668063411754,0,0,0,0,-0.0704481335845741,0,0
X600019.SH,0,0,0,0.107313282630373,0,0,0,0,0,0,0,0,0.128922533899805,0,0,0,0,0,0,0,0,0,0,0.333154423919848,0,0,0,0,0,0,0,0.11490743270618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157534910730202,0,0,0,0,0.0285555738968603,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.336221421846809,0.0431864171758846,0,0,0.05827638968082,0,0,0,0,0,0.0969379381328235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146661599039159,0.0825791318086731,0,0,0,0.109500266081329,0,0,0,0,0,0,0,0,0,0,0,-0.0162088971756728,-0.0194815707535026,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0113287289815707,0,0,0.0621546033797807,0,0,0.00994985237183794,0,0,0,0,0,0.0167115200628076,0,0,0,0,0,0,0.115750691972719,0,0.0519415567342164,0.0211311910908471,0,0,0,0.11958960544033,0,0,0,0,0,0,0,0.0972343987150847,0,0,0,0,0.0137711576478136,-0.0331025523067487,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.02548425955935,0,0,0,0.385832845246843,0,0,0,0,0,0,0,0,0.00686052481951963,0,0,0,0,0,0,0,0,0,0,0,0.10738384542818,0,0,0,0,0,0,0,0,0.0244861181899722,0,0.0454886110117566,0,0,0,0,0,0,0.158150226651575,0,0.00793879134491911,-0.0157181030595028,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.410079029526442,0,0,0,0,0,0,0,0.0998300269933828,-0.0357605369877082,0.118647883154626,0,0,0,0.0920736011208992,0,0,0,0,0,0,0.559553363679213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0839452835572461,0,0,0,0,0,0,0
X600362.SH,0,0.0446307175539759,0,0,0,0,0,0,0.22281119243486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0849658577861308,0,0,0,0.0775437532428411,0,0.0432050337930962,0,0,0,0,0,0.0394317505476238,0.11870443545288,0,0,0,0,-0.047921956303117,0,0,0,0,0,0
