,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X601600.SH,X600886.SH,X600547.SH,X600585.SH,X600660.SH,X600795.SH,X000792.SZ,X600362.SH,X000708.SZ,X600027.SH,X600489.SH,X002460.SZ,X601699.SH,X600111.SH,X600010.SH,X600160.SH,X000983.SZ,X600803.SH,X600426.SH,X002466.SZ,X601991.SH,X000301.SZ,X000786.SZ,X000933.SZ,X000807.SZ,X002128.SZ,X600985.SH,X000630.SZ,X000877.SZ,X600176.SH,X600219.SH,X601168.SH,X000408.SZ,X000883.SZ,X600348.SH,X600096.SH,X600612.SH,X002271.SZ,X002353.SZ,X000932.SZ,X000027.SZ,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.403649347699716,0,0,0,0,0,0.116271912487297,0,0,0,0,0,-0.156943411740283,0.0140057164510378,0,0,0.00880547138069527,0,0,0,0,0,0,0,-0.0664852405267853,0,0,0,8.67361737988404e-19,0.143593262537001,0,0,0,0,0,-0.0316088993859872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0.158021605542415,0,0.0427424002767699,0,0.0444822586961238,0,0,0,0.102824150899496,0,0,0,0,0,0,0,0,0,0,0,0.216496195176941,0,0,0,0,0,0,0,0,0,0,0.0232228027213087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214230468305546,0,0
X600028.SH,0.457994613098473,0.00608975364785976,0,0,0,0,0,0,0,0,0,0,0.0599972064064914,0,0,0,0,0,0,-0.0843604904953752,0,0,-0.0244560758250591,0,0,0,0,0,0,0,0,0,0.0434342042752102,0,-0.0204236065242962,0,0,0,0,0,0,0,0,0.119854857519524,0,-0.10305727269534,0,0,0.0325971455010701,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0089773412478323,-1.73472347597681e-18,0.0184641515855464,0.0378266631794313,0,0,0,0.0688858263099223,0,0,0,0,0,0,0,0,0.106357106136301,0,0.0555296087764635,0.00643277832565548,0,0,0,0.0497395695124267,0,0,0,0,0,0,0,0,-0.110724361421819,0,0,0.0738109183085487,0,0.0165345848730307,0,0,0,0,0.0424906867386129,0,0
X600188.SH,0,0.175276653822556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290357543727397,0,0,-0.0882088453565821,0,0,0,0,0,0,-0.082684091911231,-1.0842021724855e-19,0,0,0.0356896006687875,0,0,0,0,0,0,-0.0205183224833838,0.103809490918087,0,0,-0.114313566664907,0,0,0,0,0,-0.127476123493239,-0.0148837805201475,0,0,0,0.027074870852457,0,0
X601898.SH,0,0,0,0,0.174668852110083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403911317561739,0,0.0863325433608948,0,0,0,0,0,0,0,0,0,0,0,0.418038675050811,0,0,0,0,0,0,0,0,0.199282901927242,0,-0.0392020871357485,0.0163949237330602,0,0,0,0,0.165715120290406,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.120447268272557,0,0,0,0.114740517402793,0.0321578474903912,0,0,0,0,0,0,0,0.0819073979499183,0,0,0,0,0,0,0,0,0.143090331110344,0,0,0.0152401013286028,0,0,0,0,0,0,0,0,-0.0253032900449863,0.199392106278141,0,0,0,0.0501793115877587,0.0352173762710346,0,0,0,-0.0127766576223118,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35311562986505,0,0,0,0.364542119090449,0,0,0,0,0,0,0,0,0,0,0.0662833616721905,0,-0.00828245924927175,0,0,0.0901303062968785,0,0,0,0,0,0,0,0,-0.0828394588616531,0,0,0,0,0,0,0,0,0,0.0648640769325814,-0.0331361425473727,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,-0.0399910052841312,0,0,0,0,0,0.0207739950686371,0,0,-0.0417864804017598,0,0,0,0.107851283630031,0,0.236725848726789,0,0,0,0,0,0.239191617969576,0.160458786462923,0,0,0,0,0,0.0848259601269747,0.158238269280592,0,0,0,0,0.177236416760367,0,0,0.175326063391623,0,0,0,0,0,0,0,0,0.0189480937683178,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189639580992815,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02962938068707,0.0192922676292941,0,-0.0766334354445221,-0.0249520432067948,0,0,0.0375106529073612,0,0,0,0,0,0,0,0,0,0,-0.0368180428504562,0,0.122988467623183,0,0,-0.154519483948343,0,0,0,0,0,0,0,0
