,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600010.SH,X600886.SH,X601600.SH,X600660.SH,X600362.SH,X600188.SH,X601991.SH,X600795.SH,X600352.SH,X600801.SH,X600688.SH,X000786.SZ,X600027.SH,X600111.SH,X002271.SZ,X601992.SH,X000723.SZ,X002460.SZ,X600176.SH,X002466.SZ,X002353.SZ,X000898.SZ,X600516.SH,X600583.SH,X600299.SH,X600489.SH,X600426.SH,X601158.SH,X000883.SZ,X000709.SZ,X600219.SH,X600612.SH,X000792.SZ,X000553.SZ,X000027.SZ,X000629.SZ,X000825.SZ,X000630.SZ,X000539.SZ,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0229943181118932,0.117294521728598,0,0,0,0,0,0,0,0,0.0924564807739705,0,0,0,0.0682423804763875,0,0,0.0241996468011141,-1.73472347597681e-18,0,0,0,0.0497159907287715,0,0.00859662617500757,0.0727711038684379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0187103801204681,0,0,0.0202491593304869,0,0.010877703952676,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.048952805373233,0.0237807456733203,0,0,0,0,0,0,0,0,0.0376856704420915,-0.0151886023623028,0,0,0,0,0,0,0.117395216213489,-0.0338729397141701,0,0,0,0,0,0.0213061132592599,0,0,0.119574308519213,0,0,0,0,0,-0.014240680077666,0,0,0,0,0,0,0,0,0,0.0252298963639437,0,0,0,0.011995086860526,0,0
X601088.SH,0,0,0,0.363948320971387,0,0.316277935090418,0,0,0.00565877964694835,0,0,0,0,0,0,0,0,0,0,0.0106631045993546,0,0,0,-0.157228146845575,0,0,0,0,0,0.00619410627019915,-0.0773776696894683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0254079232422269,0,0,0,0,-0.0154141154871783,0,0
X600585.SH,0,0,0,0,0.0180595623997251,0,0,0,0.045339517201158,0,0,0.0814761614353748,0,0,0,0,0,0,0,0.313913725709299,0,0.0870995235260177,0,0,0.0498985200735602,0,-0.0673545656093265,-0.0762885560432793,0.0160950196509819,0.0861786510776556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00445064365244829,0,0,0,0,-0.0170761058513911,0,0
X600309.SH,0,0,0,0,0,0,0,0.0408266737130674,-0.0545064047345876,0,-0.0958305494480078,0,0,0,0,0,0,0,0.0306001836705415,0.108381280911529,0,0,0,0,0,0,0,0.117887299860129,0.0964368728548227,0.0284725317769121,0,0,0,0,0,0,0,0,0,0,0,0,-0.0407292724766427,0,0,0,0,0,0,0,0,-0.0345672069496955,0,0,0,0,0,0,0
X600019.SH,0,0,0.220196346248107,0,0,0,0,0.0184960210232188,0.0388922354399593,0,0,0,0,-0.0599751093888305,0,0,0,0,0.0258681543909681,0,0,0,0,0,0.012903222444936,0,0.0313369659262372,0,0,0,0,0,0,0.0230284078225803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0123038698664795,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0649700698933417,0.00956241575921915,-0.124990032083192,0,0,0,0,0,1.26814648464491,0.152393903218541,0,0,0,0,0.189393086113012,0.107971962105933,0,-0.0671386897504794,0,0,0,0,0,-0.159226445226515,-0.0473284576937466,0.0177526770506118,0,0,0,-0.0217748729733607,0,0
X600011.SH,0,0,0,0,0,0,0,0,-0.0357683599493337,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348708613279708,0,0.0546435273095251,0,-0.123586107062949,0,0.0616618222970631,0,0.0100374197492159,0,0,0.0823566352420413,0.0258886580247248,0,0,0,0,0,0,-0.0738797075261388,0.113010199688628,0,0,0,0,0,0,0.260493908382425,0,0,0,0.0346410853597728,0,0,-0.000476308667713426,0,0
X000708.SZ,0,0,0.592141628501426,0,0,0,0,0,0,0,0.320335630678334,0.0383176422734813,0,0,0,0.188855382557108,0,0,0,0.0781561037852255,0,0,0,0,0,0,0,0,0,0.0758114623609566,0,0,0,0,0.18461087584702,0.310179178819702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0232291662614418,-0.0237190993917806,0,0,0,0.0245385978780164,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.148799601349124,0,0.104254276086187,0,0.260393757119197,0,0,0,0,0,0,0.0519697884590062,-0.186047056559889,0,0,0,0,0,0,-0.0282896536535164,0,0,-0.010310261536704,0.0963749683998229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0888746889059882,0,0,0,0,0.0365982454727342,0,0
