,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X002466.SZ,X600188.SH,X600688.SH,X600660.SH,X601991.SH,X600362.SH,X600795.SH,X300072.SZ,X002460.SZ,X601992.SH,X600547.SH,X600176.SH,X600886.SH,X600516.SH,X600111.SH,X000898.SZ,X000786.SZ,X000709.SZ,X600352.SH,X002271.SZ,X600027.SH,X000792.SZ,X600299.SH,X000553.SZ,X000825.SZ,X000408.SZ,X601158.SH,X601699.SH,X600489.SH,X600219.SH,X600808.SH,X000883.SZ,X000630.SZ,X600583.SH,X000959.SZ,X600426.SH,X600160.SH,X002092.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.208345604142017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153000084931474,0.030169488401754,0,0,0,0,0,0,0,0.0520234608946904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185764448964856,0,0.023091339623895,0.0170571913301526,-6.93889390390723e-18,0,-0.0111215542331992,0,0,0,0,0,0,0
X600028.SH,0.366230414876262,0,0.127481227280514,0,0,0,0,0,0,0,-1.0842021724855e-19,0.235943055484568,0,0,0,0,0,0,0,0.286321578823475,0,0,0,0,0,0.0540565095435136,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,-0.0196949488533252,0.024872238039105,0,0,0,0,0,0
X601088.SH,0,0,0,0.00352939601877004,0.0490224052497825,0,0,0,0,-0.0698908143330879,0.154241724829922,0,0,0,0,0,0,0,0,0.0855195691447112,0,0,0,0,0,0,0,-0.0661529776708187,0,0,0,-0.044421289811425,0,0,0,0,0.382132325803966,0,0,0,0,0,0,0,0,-0.00639302132441221,0,0,0.0282137290790659,-0.0219481049698737,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.311104195686555,-0.121316581092896,0,-0.073436422558321,0,0,0.341091315788909,0,0,0,0,0,0,0,0,0,-0.0955568608382682,0,0,0,0.166981041009921,0,0,0,0,0,-0.00584312543037497,-0.084591712042012,0,0,0,0,0,0,0,0.0747521152577568,0,0,0,0,0,0,0,0,0.0319503468508051,-0.0268786144321408,0,0,0,0,0,0
X600585.SH,0,0,0.0585322131250596,0.419944348287893,0,0,0,0,0,0,0.212236545975699,0,0,0,0,0,0,0,0,0,0.180943786473241,0,0,0,0,0.0742457666421763,0,0,0,0,-0.238585835660364,0.104145681958625,0,0,0,0,0.00236430075182442,0,0,0,0,0,0,0,0.0688655406423749,0,0,0,-0.0552975349885943,0.0506805422275778,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.0813102963324889,0,0,0,0,0,0.0327913096415233,0,0,0,0,0,0.0814105496793806,0,0,0,0,0,0,0.0823590376389311,0.054361501034145,0,0.120475921492343,0,0,0,0.0532492967882563,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0209040384165718,-0.0294616517476233,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0622429053117719,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.148076131493579,0,0,0.0905318821680249,0,0.0886811882164579,0,0,0,0,0,0,0,0,0,0,0,0,0.0174141601088297,0.132674082404209,0,0,0.0712148717643842,0,0.0261558106587964,0,0,0,0,0,0,0
X601600.SH,0,0.177511127806381,0.185893264790198,0,0.00439611053975823,0,0,0,0,0,0.0299471149449603,0,0,0,0,0,0,0,0,0,0,0,0,-0.153600211351407,0,0,0,0,0.212060915287583,0,0,0,0,0,0,0,0.00337448122878019,0,0,0,0,0,0,0,0.134506793101797,-0.508923076642682,0,0,0.240572934955837,-0.359582599519633,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304963661477117,0,0,0,0.0310990985472062,0,0,0,0,0,0,0,0,0,0,0,0.0478750013525616,0,0,0,0,0,0.0981816952894453,0,0,0,0,0,0.0561158534820225,0.266192883731248,0,0,0.0711196700967959,0,0.0162822201675144,0.00195048443838829,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.0315798900709538,0,0,0,0,0,0,0,0,0,-0.0901503672440015,0,0,0.499295441046397,0,-0.159287677803695,0,0,0.277833900772881,0,0,0.00428202530936923,0,0,0,0,0,0,0.0805018789231332,0,0,0,0,0,0,0,0,0,0,-0.193412910658405,-0.00809770092015298,0,0,0,0,0.00107732654304225,0,0,0,0,0,0
