,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600011.SH,X600309.SH,X601898.SH,X002466.SZ,X600688.SH,X600660.SH,X600795.SH,X300072.SZ,X002460.SZ,X601992.SH,X600362.SH,X601991.SH,X600188.SH,X600547.SH,X600111.SH,X600516.SH,X600886.SH,X000898.SZ,X000709.SZ,X600157.SH,X000792.SZ,X600027.SH,X000786.SZ,X000408.SZ,X600176.SH,X600339.SH,X000723.SZ,X600219.SH,X002271.SZ,X000553.SZ,X000959.SZ,X600489.SH,X600352.SH,X601158.SH,X000883.SZ,X600808.SH,X000807.SZ,X000630.SZ,X600549.SH,X000983.SZ,X002092.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.196178394540205,0.0480688628226042,0,0,0,-0.0319864372852882,0.000834124508907564,0,0.0131058733015226,0,0,0,0,0,0,0,0,0,0,-0.0362712250897869,0,0,0,0,0.0579817022178965,0.00628809142402376,0,0,0.041417690562192,0,0,-0.0289837343142942,0,-8.67361737988404e-19,0,0,0,0,0,-4.33680868994202e-19,0.00278526932013762,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0460344493311069,0.0017988046673085,0,0,0,0,0,0,0,0,-0.0288089432540652,0,0,0,0,0.0277911596057302,0,0.000958837599912131,-0.0066195208679567,0,0,0,0,0,0,0,0,0,0,-0.0106229483736244,0,0.059797466128024,0.0244263682291907,0,0,0.016575136552519,0,0,-0.0136336977096821,0,0,0,0,0,0,0,0,-0.000365531452993719,0,0,0,0,0,0
X601088.SH,0,0,0,0.057475841645988,0,0.0330400012455713,0,0,-0.0695531346420357,0,0,0,0,0.921433197776108,0,-0.00424428489028215,0,0,0,0,0,0.00877673271517109,0,0,0,0,0,-0.0715137917838583,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0182772828075785,0,0,0,0.067569848731008,0.0875291780420134,0,0,0.0418092145331748,-0.0264648534042683,0,0,0,0,0,0
X600019.SH,0,0,0.0161574091605627,0,0,0,0,0,0.0923209200735889,0,-0.0672204182410674,0,0,0,0.00510814384241287,0,0,0,0,0,0,0,0,0,0.302035522429455,0,0,0,0,0,-0.0232484786636219,0,0,0,0,0,0,0,0,0,0,0,0.229935101043554,0,0,0,0.113017918952693,0,-0.0337795386412825,-0.146792237886587,-0.0364612500919833,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250029148423759,0,0,0,0,0.0293426284613402,-0.071039413139525,0,0,0,0,-0.0200559784970346,0,0.150839488196007,0,0.116074539917215,0,-0.0474934681249432,0,0,0.0364981325901089,0,0,0,0,0,0,0.11213917415661,0,0,0,0,0,0,0,0.0344354476615755,0,0,0,0,0,0
X601600.SH,0,0,0,0.104220025663973,0,0,0.536636291405377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693259565219339,0,0,0,0,0.0475578273269183,-0.0708313966548568,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0882997460482121,0,0.0919182544239932,0,0,0,0,-0.0327066088535249,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0640263800603158,0,0,0.0619723172005852,0,0,0,0,0,0,0,0,0.214736303210774,0,0,0,0,0,0,0,0.240177385710486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148225076228767,0,0,0.0188486087164673,0.109997956164129,0.00968593264083171,0,0,-0.010059257176493,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0606079587988052,0,0,-0.00292489065595228,0,0,0.0148860428802115,0.108089064863169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0392521196435278,0,0.122938153181783,0,0.0392696307995041,0.0442344984864285,0,0,0,0,0,-0.00655203649514434,0,0,0,0,-0.0081737150627645,0.00544451106900676,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.483585176448877,0,0,0,0,0,0.13208502826404,0,0,-0.0582465822100472,0,0,0,0,0.185522800619631,0,0.0423694128583064,0,0,0,0,0,0,-0.171922576156356,0,0,0,0,0,-0.402981273978661,0,0,0,0,0,0,-0.0210442708752764,0,0,0,0,0,0,0,0,0.0269665726700334,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.00344541821528154,0,0,-0.000497880876553577,0,0,0,0,0,0,0,0.0176687482509002,0.0598569790855783,0,0.443408934037943,0,0,-0.00367824565127929,0,0.154662533468325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0699029629029647,0,0.0194756972532524,0,0,0,4.33680868994202e-19,-0.00187234618612925,0,0,0,0,0,0
