,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600362.SH,X600111.SH,X600188.SH,X600299.SH,X601992.SH,X601158.SH,X000027.SZ,X600583.SH,X600352.SH,X000539.SZ,X002466.SZ,X600309.SH,X600623.SH,X000630.SZ,X000792.SZ,X600660.SH,X600098.SH,X000883.SZ,X000709.SZ,X000898.SZ,X600021.SH,X600160.SH,X002470.SZ,X600578.SH,X600863.SH,X600489.SH,X000060.SZ,X600315.SH,X600547.SH,X300072.SZ,X601918.SH,X600808.SH,X000629.SZ,X600307.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.528947677769584,0,0,0,0,0,0.0708742532599279,0,0,0,0,0,0,0,0,0,0,0.00987527430888269,0,0.041232012343156,0,0.0679749828703507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026141286072855,0,0,0,0,0,0,0,0,0,0.0367781087724327,0,0,0,-0.00707342463802759,0,0,0,0,0,0,0
X600028.SH,0.240432173801047,0,0.180717078772477,0,0,0,0,0,0,0,0,0,0,0,0.0303933827713584,0,0,0,0.0119330975165489,0,0.0871629811818155,0,0.110423000954065,0,0,0.01337758782798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0650102895400258,0,0,0,0,0,0,0,0,-0.0376860179530668,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.515353370532662,0,0,0.245902575276383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058613733217623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00874310506546909,0,0,0.0451120196707624,0,0,0,0
X600011.SH,0,0,0.142206735276831,0,0,0,0,0,0,0,0,0.418860651697373,0.124851851527321,0,0,0,0,0,-0.00726636669815438,0.0983382888003018,0,0,0,0,0,0,0,0,0,0,0,0,0.0662910640652475,0,0,0,0,0.113273257551698,0,0,0,0,0,0,0,-0.0603697348867959,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0443218055813316,0,0,0,0,0,0.205491748059062,0.236955961241227,0,0,0,0,0,0,0,0.132092975158059,0,0,0,0,0,0,0,0,0.126128184012693,0,-0.0389742767453207,0,0,0,0,0.0744737609269508,0,0,0.0245523203155056,0.0189414853185924,0,0,0.0740209740586908,0,-0.0187831138889044,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.124291497100423,0,0,0,0,0,0,0.189603954109374,0,0,0,0,0.0235599236147269,0,0,0.0769943052372549,0,0,0,0,0,0,0,0,0,0,0,0.0538641491987305,0,0,0,0,0,0,0,0,0,0,0.0939306391969097,0,-0.0550892135358006,0,0,0,0,0,0,0
X600585.SH,0,0,0.0354277069136958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221863873024728,0.0177285437750575,0,0,0.0780310282401839,0,0.194787786110076,0,0,0,0,0,0,0.0272464016749847,0,0,0,0,0,0,0,0,0,0,0,0.0627363378377407,0,0,0,-1.73472347597681e-18,0.0950441127493253,0,0,0,-0.0477216230453384,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.382160292400261,0,0,0,0,0.108258626821204,0,0,0,0,0,0.073778578813097,0.0969065801035828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275219089579709,0.0112777113567691,0,0,0,0,0,0,0,0,0.0426821931825952,0,0,0.00790354476248762,0,-0.01869478391784,0.00617400610976328,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0.0514945014419588,0,0,0,0,0,0,0.0719564020185518,-1.73472347597681e-18,0,0,0.0651487350193222,0,0,0,0,0,0,0.0941335570163362,0,0,0,0,0,0,0,0.194857787476865,0,0,0,0.00201173410182402,0,0,0,0.000763135852538253,0,0,0,0,-0.0682014221316545,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.078025189280804,0,0,0,0,0,0,0.285185993603701,0.0376072473071529,0,0,0.0664688853467204,0,0.05454041511165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168239009427809,0,0,0,0,0.0657819314353018,0,0,0.0609182037322191,0,-0.0211698894769117,0,0,0,0,0,0,0
