,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600660.SH,X601600.SH,X600547.SH,X600886.SH,X000792.SZ,X600795.SH,X002466.SZ,X002460.SZ,X000708.SZ,X601699.SH,X600111.SH,X600362.SH,X600010.SH,X000301.SZ,X600027.SH,X000983.SZ,X600803.SH,X000877.SZ,X600426.SH,X600489.SH,X600160.SH,X601991.SH,X000786.SZ,X000408.SZ,X000630.SZ,X002271.SZ,X000933.SZ,X000807.SZ,X601168.SH,X600985.SH,X600176.SH,X600612.SH,X600219.SH,X002128.SZ,X000932.SZ,X600348.SH,X600096.SH,X600995.SH,X000027.SZ,X000883.SZ,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.262586814227456,0.132813785064108,0,0,0,0,0,0,0,0.0348672827366963,0,0,0,0,0,0,0,0.0347393217732562,-0.0161829590714196,0,0,0,0,0.106414606785498,0,0,0,0,0,0,0,0.0500948555973325,0,0,0,0,0,0,-0.0135471199501683,0,0,0,0,0,0,0,0,0,0,0,0.00247887303614803,0,0.0551578480464144,0,0,0,0,0
X601088.SH,0,0,0,0,0.210824329595443,0.111845191473784,0,0.093281153678827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178123337651169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101613542820455,0,0,0,0,0.0551517919167663,0,0,0,0,0,0,0,0.000369129353156448,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0870229051189683,0,0,0,0,0,0.222535334445717,0,0,0,-0.0648032888881586,0,0,0,0,0,0,0,0.0594149257197028,0,0,0,0,0,0,0,0,0,0,-0.00782268035867411,0,0,0.087046298828352,0,0,0,0,0,0.156009424649269,0,0,0,0,0,0,0,0,0.017612987320794,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103952309509932,0.0233965098478387,0,0,0,0.215228536834492,0,0.252778264345886,0,0.109052310845003,0,0,3.46944695195361e-18,0,0.0224881153796703,0,0,0,-0.181972350526579,0,0,0,0,0,0,0,0,0.128940329989322,0,0.0146353355327582,-0.0240984149035882,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.131553082158829,0,0,0,0,0,0.0052973406345612,0,0,0.0222788270265623,0,0,0,0.35155253208343,0,0,0,0,0,0.0839638300331521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136714870068254,0.0554347369828064,0.081080125640092,0,0,0,0,0,0,-0.00526862695993586,0,0,0,0,0,0,0
X601898.SH,0,0.00390694388719615,0,0,0.16401070955447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335581767853985,0.35801695396127,0,0,0,0,-0.0621614861792153,0,0.0370831718020089,0,0,0,0,0,0,0,0,0,0,0,0,0.0737794781294323,0,0,0,0,0,0,-0.0192983222168976,0,0.0917376702819053,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.174060035130121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514206983212664,0,0,-0.0205430626907868,0,0,-0.00958898301709837,0,0,0.160433195331764,0,0,-0.0732862016359482,0,0,0.0568555983557644,0,0,-0.0269003719039389,0,0,-0.00850932175856193,0,0.0207385448984419,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.210981968765047,0,0,0,0,0,0,0,0,0.118156485445143,0,0,0,0,0,0,0,0,0.289343588229241,0,0,-0.0158704810691128,0,0,0,0.0557801619518652,0,0.0211836342199637,0,-0.0179062718583747,0,0,0,0,0,0,0,0,0,0,0,0,0.143572298304798,0,0,0,0.0312390573488521,-0.0402039615525204,0,0.109828090104482,0,0,0,0
X600585.SH,0.147627338955164,0,0,0.122496805317214,0.0178823379747893,0,0,0,0,0.0530612429902034,0,0,0,0,0,0,0.0452806335207684,0,0,0,0,0,0.0397114016564401,0,0,0,0,0.0731789382157617,0,0.0463928845438806,-0.0193814801231321,0.120077922422844,0,0,0,0,0,-0.0742180845103942,0,0.174089057471948,0,0,0,0,0,0,0,0,0,0,0.0604409921348883,-0.0283124835814224,0.0233699795894604,-0.054895925462988,0,0,0,0,0
X600660.SH,0.113353527927591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0973470551753954,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,0,0,-0.0825268452243933,0,-0.0533743562500068,0,0,0,-0.00240360028938748,0,0,0,0,0,0.214358001063975,0,0,0,0,-0.0276986620662814,0.0630704309400621,0.0553606744297064,0.0503165816312216,0,0,0,0
X601600.SH,0.114092865025018,0,0,0,0,0,0,0,0.0734314149757084,0,0,0.131657416078278,0,0,0,0,0,0,0,0,0,0,0,0.075200352831323,0,0,0,0,0,0,0,0,0,0.142352273483121,0,0.0965632019615962,0.123857903509824,0.150805061840515,0,0,0,0,0,0,0,0,0,0.0497855899039319,0,0,0,-7.10640959741403e-05,-0.000179637176385767,0.0872150025963539,0,0,0,0,0
X600547.SH,0,0,0,0.0261959853116686,-0.13356175008557,-0.0585063500106098,0,0,0,0.149083305727473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0498249705677424,0,0.0230065152837695,0.46786454088443,0,0,0,0,0,0,0.220321432400822,0,0,0,0,0,0,0,0,0,0,0.0369972759006,0,0,0,-0.0269390051430187,-0.0165798860664886,0.00768757504447398,-0.0197631167815902,0,0,0,0,0
X600886.SH,0,0,0,0,0.080225561388454,0,0,0,0,0,0,0,0,0,0.461815135730015,0,-0.0294077090815972,0,0,0,0,0,0,0,0,0,0,0,0,0.0149575312799217,0,-0.0307393220505412,0,0,-0.0127433525275977,0,0,0,0,0,0,0,0,0,0.0403101270960764,0,0,0,0,0,0.0687028004000447,-0.0058268209532132,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0892614225847411,0,0,0,0.220637769687876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155416327500888,0,-0.111131341586085,0.0677600442494506,0,0,0,0,0,0,0.146985988950507,0,0,0,0,0.00407764403628433,0,0,0,0,0,0,0
