,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600019.SH,X000792.SZ,X600111.SH,X002466.SZ,X600188.SH,X000301.SZ,X600010.SH,X600660.SH,X601600.SH,X600011.SH,X002271.SZ,X601898.SH,X000708.SZ,X600362.SH,X600547.SH,X600886.SH,X600176.SH,X600426.SH,X000408.SZ,X002080.SZ,X002326.SZ,X300037.SZ,X601991.SH,X600219.SH,X600795.SH,X000786.SZ,X600803.SH,X600141.SH,X600096.SH,X002353.SZ,X600688.SH,X000825.SZ,X000723.SZ,X000630.SZ,X002407.SZ,X000959.SZ,X600027.SH,X000898.SZ,X600399.SH,X000983.SZ,X000807.SZ,X600352.SH,X600489.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.240793444897766,0,0,0,0,0,0,0,0,0.0419190766442825,0,0.00624379852203194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400473228040529,0,0,0,0,0,0,0,0.0386270819972443,0.109339535192143,0,0,0,0,0.0214321835790457,0.0307124379306357,0,0.0198306393147855,0,0,0,0,0,0.0954900975095147,0,0,-0.0157895387979958,0,0,0,-0.0800547586149282,0,0
X600028.SH,0.344626054899784,0,0,0,0,0,0,0,0,-0.000487167249742863,0,0,0,0,0,0,0,0.0659024792669874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351040160448729,0.0383523099208571,0.0250821323600605,0,0,0,0,0,0.0658702984775812,0.139586935363953,0,0.0329615285818317,0,0,0,6.93889390390723e-18,0,-0.00155492787038665,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.0670227750736951,0,0.00773572805044479,0,0,0,0,0.235354017738728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072124990932343,0,0,0,0.0742488597780663,0,0.000260948323324781,0,-0.0612134365192466,0,0,0,0,0.247299094794404,0,0,0,0,0,0.0353608975172625,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,-0.0129112169385421,0,0,0,0,0,0,0,0,0,0,0,0,0.202909743357394,0,0,0,0.077483458162374,0,0,0,0.0334720322449912,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0393723577415451,0,0,0,0,0,-0.00705698545173259,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.18355477539144,0,0,0.605386069037205,0,0,0,0,0,0,0,0,-0.140721205988952,0,0,0,0,0,0,0,0.0379019110793569,0,0,0,0,0,0,0,-0.0298190838651736,0,0.11442198410672,0,0.00524525492082569,-0.0520483935974367,0.275500527788437,-0.0413623054806084,0,0,0.0371204198923032,-0.0805131075629272,0,0,0,0,0,0,-0.0447351265680644,0,0,0,0.0671921245975121,0,0
X600585.SH,0,0,0,0,-0.134431733772301,0,0,0,0,0,0.0545511864221699,0,0.0351218401486958,0,0,0,0,0,0,0,0,0.239823146268051,0,0,0.15772495060394,0,0.0225290729638585,-0.0133538901638242,0,0,0,0.26735337431917,0,0,0,0,0,0,0,0,0,0.0287011077261356,0,0,-0.0397449686341178,0,0,0.220678249689121,0,0,0,0.0446080949001035,0.0352321125735229,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0292059315831394,0,0,0,0,0,0,0,0,0,0,0,0.00241082182551672,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0571202893887192,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.584015811883389,0,0.0518064401707552,0,0.00594127910945727,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.0237655012236035,0,0,0,0,0,-0.0741878345227298,0.0504075689532585,0,0,0,0,0,-0.0038615962681374,0,0,0,0,0,0,0.311597139168152,0,0,0,0,0,0,0,0,0,0,0,0,-0.0866528024224687,-0.28422967268497,0,0,0,0,0,0,0.273160725804752,0,0,0,-0.112818648566703,0,0.0495062009654626,0.0631899103026179,0,0,0,-0.0287750365857614,0,0
X600111.SH,0,0,0,0,0.0135736869902205,0,0,0,0,0.188902184777162,0.0694513933864136,0,0.277449313300498,0,0,0,0,0,0,0,0,0,0,0,0.208349493241579,0,0.0691077151953219,0.0830106309811785,0,0,0,0,0,0,0,0,0,0,-0.0574912425780326,0,0.0791194544580589,0,0,0,0.188587428796288,0,0,-0.187716938329658,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.272714515069014,0,0,0.0131213234663893,0.294090892531706,0,0,0.0856077953557542,0,0,0,0.050022314907009,0.0147985132499421,0,0,0,0,0,0,0,0.155612195040414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322463893545437,0,0,0,0,0,0,0
