,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X601991.SH,X600795.SH,X601600.SH,X600886.SH,X600188.SH,X600362.SH,X600010.SH,X600111.SH,X600027.SH,X600309.SH,X601992.SH,X600688.SH,X600583.SH,X601158.SH,X000898.SZ,X000709.SZ,X000792.SZ,X000539.SZ,X000883.SZ,X600489.SH,X600352.SH,X000629.SZ,X000630.SZ,X002353.SZ,X600547.SH,X000831.SZ,X600808.SH,X000825.SZ,X000027.SZ,X600578.SH,X600008.SH,X600549.SH,X601699.SH,X000983.SZ,X600863.SH,X600307.SH,X600660.SH,X600315.SH,X000937.SZ,X600098.SH,X600348.SH,X601168.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.545831194269266,0.101972427102623,0,0,0,0,0,0,0,0,0.0398700943141493,0,0,0,0,0,0.0803071298352375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493171667919714,0,0,0,0,0,0,0,0,0.0508464386956601,0,0,0,0,0,-0.0370479578004369,-0.00353236872576536,0.0132057785384114,0,0,0,0,0
X600028.SH,0.523922274306688,0,0,0,0,0,0,-0.0121221158267988,0,0,0,0.0363327555856323,0,0,0,0,0,0,0.222454040880423,0,0,0,0,0,0,0,0,0,0,0.0431220012571657,0,0,0,0,-0.0220602239083744,0,0,0.0160785359884275,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0416789807129284,0.00344567056755864,0,0,0,0,0,0
X601088.SH,0,0.0490143862173344,0,0,0.0493432076670734,0,0,-0.0346058406590582,0,0,0,0.217077840879425,0.0163184661290234,0,0,0,0,0.12709131437108,0,0,-0.0612229704847259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184962415344366,0,0,0,0.0685030459697523,0,0,0,0,0.0393652939710122,0,0,0,0,0,-0.0304463048978757,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.0805381680569762,0,0,0,0,0,0.316166411896496,0.0922169618881993,0,0,0,0.0699412812467599,0,0,0,0,0,0,0,0,0,-0.221250933362707,0,0,0,0.0438878786124003,0,0,0,0,0,0.0483109922729116,0,0,0,0,0.0603361640941727,0,0,0,0,0.0790562546767559,0,0,0,0.00425252162323191,0,0,-0.00566817869864177,0,0,0,0,0,0
X600019.SH,0,0.0343564512027499,0.0471677582711046,0.103485101567904,0,0,0,0,0,0,0.103771872572118,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0.38691795908363,0.0946793644372019,0,0,0,0,0,0,0,0,0,0,0,0,0.0789804455423701,0,-0.084859465176357,0,0,0,0,0,0,0,0.0645195425815759,-0.00845314564141887,0,0,-6.93889390390723e-18,0,-0.018631885714033,-0.00212283877242899,-0.0781898533066344,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0643816102143717,0.115875924372569,0,0,0,0.00637604331904533,0,0,-0.0640607345511073,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0347006738672866,0,0,0,0.064846329959787,0,0,0,0,0.0648424462478005,0,0,0,0,0.0877709198109999,-0.0036787458104961,0,-0.0533118132234275,-0.00917636125763733,0,0,0,0,0,0
X601898.SH,0,0,0.169294742101722,0,0,0,0,0.0195249667267794,0,0.234555402853158,0,0,0.0292766638464524,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694872633120038,0.0210894634780559,0,-0.0304809212390455,0,0,0,0,0.356001069598296,0,0,0,0,0,0,0,0,0,0,-0.0138515039179055,-0.027802090769166,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0.00744822797671207,0,0,0,0,0,0,0.0194846044639789,0,0,0,0,0,0,0,0,0,0.132236946597357,0,0,0,0,0,0,0,0.170338816064915,0,0,0.0204336137140915,0,0,0,0,0,0,0,0,0,0,0,0,-0.0246209227230891,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255309801102373,0,0.134309084222227,0,0,0,0,0.0614432526298339,0.0224057261296636,0.0213251687681327,0,0,0,0,0,0,0,0.149700536640871,0,0,0.00255909313334714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0131476853364984,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.0363552481998419,0,0,0,0,0.0701827266498128,0.0607372828663539,0.0191935485983218,0,0,0,0,0,0,0,0.259000160462274,0,0,0,0,0.13464924596388,0,0.0101829183971497,0,0,0,0,0,0,0,0.0260858703695734,0,0,0,0,0,0,0,0,0,0,0,0.178613767130189,0,0,0,-0.00673622521619584,0,0,0,0,0,0
X600886.SH,0,0,0.173512537912593,0.0799689712840341,0,0,0.133504031109672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267834466846185,0,0,0,0,0,0,0,0,0,0.00228120062777981,0.0437353979586816,0,0,0.128583180555398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0484374963574247,0,0,0,0,0,0,0
X600188.SH,0.245047702687997,0,0,0,0,0,0.0944826852772631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0767499450564769,0,0.160434461298096,0,0.244924184397082,0,0,0,0,0,0.119302197261934,0,0,0,0,0,-0.0537831995915023,-0.00936918535765406,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0.211658469358737,0,0,0,0,0,0,0,0.036718681787648,0,0,0,0,0,0,0,0,0,0,0,0.0989702242736983,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.155421295078177,0,0,0,0,0,0,0,0,0,0,0,0,-0.0219008508387077,0,0,0,0,0,0
