,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X601898.SH,X600547.SH,X000792.SZ,X600886.SH,X601600.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600795.SH,X000877.SZ,X600027.SH,X601991.SH,X002271.SZ,X600362.SH,X600426.SH,X600803.SH,X000983.SZ,X601699.SH,X600176.SH,X600489.SH,X000807.SZ,X600995.SH,X000539.SZ,X000786.SZ,X600160.SH,X000408.SZ,X300037.SZ,X600219.SH,X002409.SZ,X600378.SH,X000629.SZ,X600688.SH,X600157.SH,X002080.SZ,X600021.SH,X600985.SH,X000932.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.725567887260138,0,0,0,0.173907329440072,0,0,0,0.00631957690360337,0,0,0,0,0,0,-0.11994366031584,0,0,0,0,0,0.00657396719049784,0,0,0,0,0,0,0,0,-0.0589739767429138,0.133175185199724,0,0,0,0,0,0.0413908287376561,0,0,0,0,0,0,0,0,0,0,0.206883971273324,0,0.0279816083702972,-0.0259466709569292,0.34471481570482,0,0,0,0,0
X600028.SH,0.724978694105071,0,0,0,0,-0.0879369741219611,0,0,0,-0.0689577837456782,0.0583482437225875,0.0382558393390931,0,0,0,0,0,0,0,0,0,0,0,0.0648243693378716,-0.0163025040507561,0,0,0,0,0,-0.0475597369960303,0,0,0,0,-0.054641638653553,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113526866828385,0,0.0139066960852565,0,0,0,0,0,0,0
X601088.SH,0.227292308864677,0,0,0,0,-0.229545132557407,0,0.0102329057012343,0,0.00981648388075443,0.297402134271477,0,0,0,0.146405116266992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104234539511718,0,0,-0.046163989449552,0,-0.014559926659574,0.0932557837462852,0,0,0,0,0,0,0,0,0,-0.0344720410817096,-0.017876708737791,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.167223545686331,0.0108991505322548,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.077667721271992,-1.38777878078145e-17,0,0,0,0,0,0.129876153849657,0,0,0,0,0,0.0406758030102348,0,0.0224644856845651,0,0,-0.061047485704741,0.0447242788691203,0,0.0130334812157303,0,-0.0148511117133101,0,0,0.0618056010319501,0,0,0,0,0,0,-0.03470754916745,0.079654285807531,0,0,0,0,0
X600011.SH,0,0,0,0,0,-0.0720986430306111,0,0,-0.288193781414953,0,-0.0669840922655452,0,0,0,0,0,0,0,0,0,0,0,0.140759589791289,0,0,0,0,0,-0.121043637839191,0,0,0,0,0,0,0,0,0,-0.0602243940192277,0,0,0,0,0,0,0.100951512755222,0.432006495255814,0,0,0,0,0,-0.0148830820616598,0,0,0,0,0,0
X600188.SH,0,-0.00413825886397919,0,0,0,0,0,0,0,0,0.375892040607751,0,0,0,0,0,0,0,0,0.0345833676791863,0,0,0,0,0,0.291202247040633,0,0.0853218255603472,0.0167879538777091,0,0,0,0.089902162430871,0,-0.0509958539050343,0,0,0,0.0117665291156162,0,0,0,0,0,0,-0.0828062112021603,0,0.182546188699407,-0.0071575664327406,0,0,-0.0926228002037165,0,0,0,0,-0.101549983840169,0,0
X600585.SH,0,0,0,0.130251804506976,-0.0451042355517806,-0.0428577098779982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0579187624589658,-0.0280611225242681,0,0.0256145284625323,0,0,0,0,0,0,0,0.0210884970915557,0,0.0158915273161185,0.233188291201351,0,0,0.032475193971897,0,0,0,0,0,0,0,0,0,0,0,0,-0.0556791192825322,0.0499210374964725,-0.193130933103889,0,0,0,0,0
X600019.SH,0,0.0885538231151647,0,0,0,0.155079529136193,0,0,0,0,0,0.0952698588858368,0,0,0.0470964268502335,0,0,0,0,0,0,0,0,0.0637154861728565,0,0.0754029858099254,0,0,0,0,0,0,0,0,0,0,0,0,-0.0611824477679847,0,0,0,0,0,0,0,0,0,0,-0.000882040305098364,0,0.041686627461869,0,0,0,0,0,0,0
X002460.SZ,-0.035540691609858,0,0,0,0,0,0,0,0,0.606329851096229,0,0,0,0,0,0,0,0,0,0,0,0.213472549535295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358195377607952,0,0,0.0297955258395791,0,0,0,0,0,0,0,0,-0.0203339511498859,0.0697874749984342,0,-0.0393469043712571,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.330053244168839,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.119874018124288,0,-0.125375662838577,0,0.0787412762880083,0.305330683566903,0,0,0,0,0.027157085100352,0,0.374031129580826,0,0,0,0.0677528709459666,0,0.0282430340269969,0,0,0.0839272321067013,0,0,0,0,-0.100974751799118,0,0,0,0,0,0,0,0
