,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002271.SZ,X002460.SZ,X000708.SZ,X600660.SH,X601898.SH,X600547.SH,X600362.SH,X000786.SZ,X600111.SH,X000301.SZ,X601600.SH,X600886.SH,X600010.SH,X600188.SH,X600176.SH,X600011.SH,X600426.SH,X002466.SZ,X000932.SZ,X600801.SH,X601991.SH,X600803.SH,X600352.SH,X600219.SH,X000898.SZ,X600795.SH,X000027.SZ,X600489.SH,X600157.SH,X600688.SH,X600486.SH,X002080.SZ,X600516.SH,X000723.SZ,X000807.SZ,X600027.SH,X600315.SH,X300037.SZ,X000825.SZ,X600299.SH,X000883.SZ,X601168.SH,X002353.SZ,X601992.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.308718696245982,0,0,0,0,-0.0576625897218746,0,0,0,0,0,0.0273361669918805,0.00136954787836423,0,0,0,0,0,0.00381859198375613,0,0,0.044594815811846,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.00831262977475218,0,0,0,-0.00169939104118516,0,0,0,0,0,0.0650082532804661,0,0,0,0,0,0,0,0.00868579804453472,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0815197746391965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109570359317194,0.0121255422753347,0,0,-0.0781292946731967,0,0,0.0274523702599299,0.137672359562174,0,0,0,0,0,0,0,0,0,0.107414465720752,0,0,0,0,0,0,0,0,0,0,0,-0.0184133798965073,0,0,0,0.00696989019132489,0,0
X601088.SH,0,0.0373184482158631,0,0,0,0,0,0.103660857982907,0,0,0,0,0,0,0.0227458143557404,0.011647724316112,0,0,0,0.060758621971973,0,0.115645419214537,0,0,0,0,0,-0.0379256332410196,0,0.0228785216066612,0,0,0.01633078744607,0,0,0,0,0,0,5.42101086242752e-20,0.133200565395796,0,0.0489227290263693,0,0,0,0,0,0,0,0,0.0162930386232498,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.187950458970082,0,0,0,0,0,0.26424025254386,0,0,0,0,-0.0206185250926948,0,0.0761677975796421,-0.0499430391750028,0.102617951453774,-6.93889390390723e-18,0,0,0,0,0,0.184037787815812,-0.0329573761620447,0,0,0,0,0,0.103940979493957,0,0,0,0,0,0.0671256078901424,0,0,0,0,0.0312209243025593,0,0,0,0,-0.028229883198299,0,0,0,8.67361737988404e-19,0,0
X600585.SH,0,0,0,0,0,0,0,0.00440490854852699,0.00217302227991095,0,0,0,0,0,0,0,0,0,-0.0314294994592103,0.109939191007727,0,0,0.0473822464961705,0,0.0628754104491721,0.151803024247752,0,0,0,0,0,0,0,-0.0166771123501303,0,0,0,0,0.0337762506142741,0,0,0,0.0300977532054652,0,0,0,0,0,0,0,-0.024368305731193,-0.0237850948974257,0,0,0,0,-0.0231760392424344,0,0
X600019.SH,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0830859422891911,0,0.0255128468964769,0,0,0.117338249695706,0.00755874566616758,0,0,0.120999248994168,0.328840788037378,0,0,0,0,0,0.0233941920788092,0,-0.00655970961547965,0,0,0,0,0,0,0,0.0362423555359319,0,0,0,0.274079689572226,0,0,0,0,0,0,0,-0.00964177679060722,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,-0.195451123608948,0,0,0,0.0899123525150537,-0.0392855382771563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710033449887469,-0.00805131695812987,0,0,-0.108571590812435,0,0,0.0921077552577052,0,0,0.0417408958880402,0,0,0,0.118471040668946,0,0,-0.0198738398611307,0,0,0,0,0,-0.0246682918399209,0,0,0,-0.0386314770996849,0,0
X002460.SZ,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.191883625387313,0,0,0.0393374036770814,0,0.145252990390064,0.00637469794145439,0,0,0,0,0,0,0,0.146337648026316,0.0696911503925691,0,0,0,0.131090655857527,0.186334508581053,0,0,0,0,0,0,0.439956469809565,0,0,0.0578642018920476,0,0,0,0,0,0,0,0,0,0,0,0,0.00990992942312575,0,0,0,-0.0169323768089642,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,-0.0213342486897811,0,0,-0.193684726698657,0.288106697525642,-0.0814285367026026,0,0,0,0,0,0.0166422184979875,0,0,0,-0.160803376659928,0,0,-0.0971662886902571,-0.360053383080691,0.376678830433429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410360837595259,-0.0693056159864924,0,0,0,0,0.183488973888308,-0.21840182855687,0,0,0,-0.0404866261988273,0,0
X600660.SH,0,0,0,0,0,0,0.202137337360195,0.113928645678844,0,0,0,0,0.0202065483851411,0,-0.0482828996886976,0.077779141581825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.277621820286809,0.0926504408203097,0,0,0,0,0,0.0417067545124735,2.16840434497101e-19,0,0,0,0,0,0,0,-0.00806331888071833,0,0,0,-0.026068538092478,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0736247023043805,0,0,-0.00232076050717423,0.0474936943768104,0,0,0.0363104512344576,0,0,0,0.0197726454653782,0,0.26437622012106,0,0,0,0,0,0,0,0.0443671474002772,0,0,0,0,0,0,0.0983283047194968,0,0,0,0.062820032263356,0.0174931646292837,0,0,0,0,0,-0.05673945072726,0.0782966188964805,0,0,0,0.00771879440518144,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,-0.0215182662672168,0,0,0,0,0.197760267397678,0,0,0,0.0410337415767255,0.0131530525096399,0,0,0,0,0,0,0.041584632821778,0,0,0,0,0,0.121923195133967,0.0620006066645239,0,0,0,0,0,0,0,0,0.0630341468439207,0,0.0766692347285692,0,0.0516072543056642,0,0,0,-0.0189677237952857,-8.67361737988404e-19,0,0,0,0,-0.000703010161992236,0,0
X600362.SH,0,0,0,0,0,0,0,0.0683028607944809,0,0.0478358674106767,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0200867175966968,0,0,0,0,0.0229218840536707,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.576189585021455,0.0616102753663624,0,0,-0.00880639383711744,2.16840434497101e-19,0,0,0,-0.0500825285531917,0,0
