,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600111.SH,X600362.SH,X600795.SH,X600886.SH,X600010.SH,X600188.SH,X600027.SH,X600688.SH,X600309.SH,X601992.SH,X600583.SH,X000792.SZ,X000883.SZ,X002353.SZ,X000898.SZ,X601158.SH,X000709.SZ,X000629.SZ,X600489.SH,X000539.SZ,X000831.SZ,X000825.SZ,X600315.SH,X601699.SH,X600660.SH,X600352.SH,X600808.SH,X000027.SZ,X002470.SZ,X000630.SZ,X600549.SH,X600307.SH,X600490.SH,X000959.SZ,X600578.SH,X000983.SZ,X000937.SZ,X600863.SH,X600516.SH,X000960.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.0374539895038517,0,0.137066775154314,0,0,0.0394361973409733,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0349544781374302,0,0,0,0.0513023132531798,0,0,0.0099527973766748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00245498102008138,-0.0093995181971422,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.076646206966134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099326097198638,0,0.142985795234236,0,0,0,0,0,0,0,0,0,0,0.0130409775770222,0,0,0,-0.0616479401349973,0,0,0,0,0,0,0,0,0.053406739118799,0.0227008069910217,0.11406588075568,0,0,-0.022755847958366,0,0,0,-0.0149308366348107,0,0
X601088.SH,0,0,0,0.103626175889393,0.0195858519015346,0.0531497949027283,0.0808857342408146,0,0.0353788709961516,0,0,0,0,0,0.197691663198593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0800459163453594,0,0,0,0.0224127703779033,-0.0604645556367448,0,0,0,0,0.0572391628261803,0,0,0,0,0,0,0,0,-0.00186449399123966,-0.0115336504662552,0,0,0,0,0,0
X600585.SH,0,0.145797235334418,0.012979080059968,0,0,0.116310767267812,0,0,0.0782505909683326,0,0,0,0,0.0968219094187802,0,0.0384710498524455,-0.046798943327363,0,0.000880115229909953,0,0,0,0.0310954067147271,0,0,0,0,0,0,0.0452796501983566,-0.0160614357235852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170502740386678,0,0,0,0,0,-0.0060986551702535,-6.7762635780344e-21,0,0,0,-0.0366718655086429,0,0
X600011.SH,0,0,0,0,0,0.220079689809385,0,0,0,0,0,0,0,0,0,0.328917170373834,0.203192614485022,0.0531931100636866,0,0,0,-0.0940692596507148,0,0,0,0,0,0,0,0.153076282861167,-0.0488649711121788,0,0,0,-0.0283293025374577,0,0,0,0,0,-0.012189987508773,-0.00117789375875144,0,0,0,0,0,0,0,0.135901118704876,0.0191462044068406,-0.0280405478367692,0,0,0,0,0,0
X600019.SH,0,0,0,0.0544749776684683,-8.67361737988404e-19,0,0.0948691977753997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11332668932297,0,0.132577192302804,0.189566587216144,0,0,0,-0.0872603626940863,0,0,0,0,0,0,-0.0464790561626755,0,0,0,0.0661629219003351,0.0425148565040965,0,0,0.125587908148602,0.172462917161685,0,0,0,-0.00750997286264019,0.00596546321689884,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.1050627220688,0.179987278448686,0,0,0,0,0.0293454270174031,0.0764327542751384,0,0,0,0.0127996713906492,0,0,0,0,0,0,0,-6.93889390390723e-18,0.183476578869282,0,0.11332880892819,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0084327940290613,-0.023599947753534,0,0,0,0,0,0
X601991.SH,0,0,0,0,-4.33680868994202e-19,0,0,0,0.0290173075844373,0,0,0,0,0,0,0.0927892525316575,0,0,0,0,0,0,0.0599132761795413,0,0,0,0.0989417037057763,0,0.0519042627238528,0,0,0,0.0580579400724719,0,0,0,0,0,0,0,0,0,0,0.172116111046791,0,0,0,0,0,0,0.019236155533544,-0.0437862010591089,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0.426550058244044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712916905749779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117441811407865,0,0.0205344718110094,0,0,0,0.18337249530068,0,-0.000964894301010361,-0.0115569966591687,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0.00228962253349584,0,0,0,0,0,0,0,0,0,0.0599553742563833,0,0,0,0,0,0,0,0.0551488051405197,0,0,0.0546897612136839,0.0656456423462161,0,0,0,0,-4.33680868994202e-19,0,0,0,0.225578216569428,0,0,0,0,0.0450722194405005,0,0,0,0.146498036280477,0,-0.0126242922836711,0.00644540991799789,0,0,0,0,0,0
