,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X601898.SH,X600547.SH,X000792.SZ,X601600.SH,X600886.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X002271.SZ,X000301.SZ,X000877.SZ,X600795.SH,X600027.SH,X600362.SH,X601991.SH,X600426.SH,X600803.SH,X000983.SZ,X600176.SH,X600489.SH,X601699.SH,X000807.SZ,X000786.SZ,X000408.SZ,X600160.SH,X600219.SH,X000539.SZ,X600995.SH,X300037.SZ,X000932.SZ,X600688.SH,X600612.SH,X000629.SZ,X002080.SZ,X002409.SZ,X000933.SZ,X000723.SZ,X600096.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.709714009302185,0,0,0.158871639743841,0,0,0,0,0,0,0,0,0,0,0,-0.0715226664868918,0,0,0,0.103285844898944,0,0,0.035337534661034,0,0,0,0,0,0,0,0,0.0763267636003749,0,-0.0573765619731276,0.0695064785588908,0,0,0,0,-0.180425223290555,0,0.125191910566307,0,0,0,0.0733723630468278,0,0,0,0,0.0307044934790025,0,0.369999296334176,-0.0395181541733591,0,0,0,0
X600028.SH,0.704936748939835,0,0,0,-0.0959845907236315,0.0043099707711641,0,0,0,-0.0688580258017999,0.0443715171589821,0.13510598044163,0,0,0,0,0,0,0,-0.0336180041108924,0,0,0,0,0,0.029917887661305,0,0,0,0,0,0,0,-0.0206454865565593,0,0,0,0,0,0,0,0,-0.0200414397595954,0,0,0.00465967327037544,0,0,0,0,0,0.0114533380307195,0,0,0,0,0,0,0
X601088.SH,0.0752110229715629,0.139477964874618,0,0,-0.147637980045094,0,0,0.0667268356312337,0,0,0.377956784919788,0,0,0,0,0,0,0,0,0,-0.0883559430307655,0,0,0,0,0.0580620361853009,0,0,0,0,0,0,0,0.209541281039734,0,0,0,0,0,0,0,0,0,0,0,-0.0145644148889842,0.231786837438661,0,0,0,0.0531629516686671,-0.0417518122218502,0,-0.00930026721743261,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.196312078950903,0,0,0,0,0,0,0,0,0,0,0,0,0.00853115347500021,0,0,-0.0379698914150021,0,0,0,0,0.139408173817925,0,0,0.120946894180311,0,0,0.0267673606425517,0,0,0.024802704004446,0,0,-0.108274590797667,0,0,0,0,0,0.0236689814475018,-0.00538816061076616,0.0810650683074167,0,0,0,0,0,-0.0117844118671911,0,0,0,0,0,0
X600188.SH,0.103008216971003,0,0,0,0,0,0,0,0,0,0.280441034952326,0,0,0,0,0,0,0,0.152760637423321,0,0,-0.0329725885889123,0,0,0,0,0,0,0.0911561244000225,0,0,0.176511711389778,0,0,0,0,0,-0.100435633008624,0,0.118305952625952,0,0,0,0,0,0,0.170539247888448,0,0,0,0,-0.0980835277749215,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.273888516478624,0,0,0,-0.0283710485209827,0,0,0.086251305856728,0,0,0.214833463955857,0,0,0,0,0,0,0,0.384049807128103,0.384944433283452,0,0.226281665595724,0,0,0,0,0.0988971773894542,0,0,0,0,0,0,-0.148581719764886,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0859140466158095,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.165138988962616,-0.0766623878686573,0,0,0.120502476887309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0923402689549143,0,-0.0704439575358521,0,0.0365166731335687,0,0.0532570081293759,0,0,0,0.120556082955442,-0.004760400617773,0,0.066511505841614,0,0,0,0,-0.0728130552769068,0.01575673275593,0,0,0,0,0,0
X600019.SH,0,0.0393964333011562,0,0,0.146751408995987,0,0,0,0,-0.0184439906191652,0,0.0630876865046919,0,0.0841467342081049,0,0,0,0,0,0,0,0,0,0,0,0.0398024811790353,0.0301077389966876,0,0,0,0,0,0,0,0,0,0,0,0,-0.0476901867589527,0,0.191060163988909,-0.025477556649765,0,0,0,0,0,0,0,0.0285459258978595,0.0519567739442101,0,0,0,0,0,0,0
X002460.SZ,-0.0154588822226325,0,0,0,0,0,0,0,0,0.593678104393097,0,-0.0584274750688494,0,0,0,0,0,0,0,0,0,0.184897564466521,0,0,0,0,0,0,0,0,-0.0357972938290595,0,0,0,0.107503605317917,0,0,0,0,0,0,0,-0.011300047233952,0,0,0,0,0,0,0,0.18227438897433,0.0269031144164416,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.312507961373717,0,0.00843548504171176,0,0,0,0,0,0,0,0,0.125195183586362,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.119338114794268,0,0,0,0.0805376180438948,0,0,0,0,0,0,0,0,0.0541944941589756,0.0590168468328663,0.0700075500059061,0.44875525221346,0,0,0,-0.0389863155350682,0,0,0,0,0,0,0
