,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X600362.SH,X600352.SH,X600188.SH,X600795.SH,X600801.SH,X600111.SH,X000723.SZ,X601992.SH,X600027.SH,X000898.SZ,X600489.SH,X002271.SZ,X600176.SH,X600516.SH,X002460.SZ,X000709.SZ,X000786.SZ,X002466.SZ,X600299.SH,X000629.SZ,X601158.SH,X600219.SH,X000883.SZ,X600808.SH,X000553.SZ,X000401.SZ,X600985.SH,X000630.SZ,X000027.SZ,X601699.SH,X600426.SH,X600583.SH,X000825.SZ,X600339.SH,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351401851004278,0,0,0,-1.73472347597681e-18,0,0.058808419635834,0.158138973762334,0,0,0,0.0251534031485976,0.0623311947767,0,0,0,0,0.0431731673516464,0,0,0,0,0,0,0.0342443536219263,0,0,0,0,0,0.0831251518447403,0,0.0237474701222609,0,0,0,0,0,0,0,0.0067837456270303,0,0
X600886.SH,0,0,0,0.137563496524141,0,0.0781162938082315,0,0,0,0,0,0,0,0,0,0,-0.169836027718409,0,0,0,-0.0184877495996095,0.0584402766469669,0,0,0,0.00579839321510691,0,0,0,0,0,0,0,-0.0120867344384745,0,0,0,0,0,0.177333645652335,0,0.0900466098985729,0,0,0,0,0,0,0,0,0,0,0.0204836063892781,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226393699375153,0,0,8.67361737988404e-19,0,0,0,0,0.00168357686719981,0.000187497688270483,0,0,0,0.0809572299602335,0,0,0,0,0.0999872223825836,0,0,0,0,0,0.153908308762269,0,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.329593090274748,0,0,0,0,0,0,0,0.000658645796137743,0,0,0.111624303153914,0.00978417881021543,0,0.013880996740623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472184645419448,0,0,0.00904387289672045,0,0,0,0,0,-0.0173425697811195,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0.047194599424926,0,0,0,0,0,0,0,0.49663305137533,0,0.520827817493728,0,0,0,-0.122078487858178,0.192983520401449,0,0,0,0,0,0,-0.234610324683688,0,0,0,0,0,0.301871296303716,0,0.069675902918298,0,0,-0.864181504442081,0.112625673806489,0,0,0,-0.139201459160826,0,-0.0189707915727908,0,0,0,0,0.0822467095847676,0,0
X600188.SH,0,0,0,0.0470081478542303,0,0.0130571648334051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0726787503455441,0,0,0,0,0,0.135792977348906,0.0105416725220215,0.0475275602686357,0,0,0,0.0699654627522832,0,0,0,0,0,0,0,0,0,0,0,0.176971419174427,0,0,0,0.0429252149007605,0,-0.00386221988232256,0,0,0,0,0.0179560664228012,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.030573677307347,0,0,0,0,0,0,0,0.0234770965048311,0,0,0,0,0.0253623039766798,0,0.181337447997945,0,0,0,0,0,0,0,0,0,0.100041509341681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.046977833610845,0,0,0,0.000138136462565471,0,0
X600801.SH,0,0,0,0.199809183444319,0,0,0,0,0,0.149917225425535,0,0,0,0,0,0,0.0868005510044519,0,0,0,0,0,0,0,0,0,0,0,0.187609883459483,0,0,0.0487534424467903,0,0,0,0,0,0,0,0,0.0811034035767905,0.309524710938584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298939012559658,0,0
X600111.SH,0,0,0,0,0,0,0,0.00869093443191858,1.14661648972954,0,0,0,0,0,0,0,0,0,0,-0.161918884219852,0,-0.078625253131811,0,0,0,0,0,1.38777878078145e-17,0,0.0209233716585359,0,0.196657659897994,0,0,0,0,0,0,0,0,0,0,0,0,0.0597508950457369,-8.67361737988404e-19,0,0,0,0,0,-0.0300803443168594,-0.146908111506191,0,0.285774731516406,0,-0.123108675093952,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.603946399640349,0.330107361225395,0,0,-0.242824225047924,0,0,0,0,0,0.0387147569443786,0.59798651718396,0.425535726325597,0,0,0,0,0.161361157721143,0,0,0,0,0,0,0,-0.0637256021482187,0,0,0,6.93889390390723e-18,0,0,0,0.200179100312235,0,0,0.204171599663569,0,0,0,-2.16840434497101e-19,0,0
