,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X300072.SZ,X600688.SH,X601898.SH,X601991.SH,X600795.SH,X600309.SH,X601600.SH,X600660.SH,X600886.SH,X600547.SH,X600362.SH,X600188.SH,X000709.SZ,X600027.SH,X600339.SH,X002466.SZ,X600157.SH,X600111.SH,X000898.SZ,X601158.SH,X000959.SZ,X600008.SH,X600489.SH,X600299.SH,X002460.SZ,X000883.SZ,X600352.SH,X600219.SH,X600583.SH,X000723.SZ,X600578.SH,X002271.SZ,X000630.SZ,X000408.SZ,X000539.SZ,X600176.SH,X600021.SH,X000027.SZ,X000792.SZ,X600160.SH,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.23272001400461,0.0780032770861178,0,0,0,0,0.0340662916704462,-0.0103695933564306,0,0,0,0,0,0.158601568393223,0,0.0995080970990878,0,0,0,0,0,-0.0202829303446873,0,0,0,0,0,0,0,0.0286674707536759,0,-0.0212016697169973,0,0,0,0.0206923954176181,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0123785353131491,0.00347409658023409,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0734127159434358,0,0.0339285331879496,0.107910155142199,0,0,0,0,0,0,0,0,0,0.00995741759192624,0.0777170025053975,0,0,-0.0521941997242307,0,0,0,0,0,0,-0.0047922873870702,0,0,-0.0440166548043941,0,0,0,0,0,0,0,0,0,0,0,0.0338689830561652,0,0,-0.0098411342449786,0,0,-0.00830782696836206,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,-0.00327085793344057,0,0.026590693424826,0,0,0,0,0,0,0,0,0,0,0,0,0.194049411650703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00748310259908506,0,0,0,0,0,-0.000708114239574435,-0.00715242099037005,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00126533580389583,0,0.137031860847316,0,0,0,0,0,0,0,0,0,0,0.558292702386809,0,-0.0493269218123326,0,0.018149081222235,0,0.00975649560669033,0,0,0,0,0,0.0440079280173179,0,0,0,-0.0342197753105605,0,0,0,0,0,0,0,-0.019086399700598,-0.0353689700959762,0,0,0,0,0,0
X600011.SH,0,0,0.0550246639022707,0,0,0,0,0,0,0,0,0.107840851367107,0,0,0,0,0,0.00543170793271628,0,0,0.0298257359671217,0.296707407459942,0,0,0,0,0,0,0,0.0922434898190924,0,0,0,0,0,0,0,0,0,-0.0606943420794624,0,0,0,0,0,0,0,0,0,0,0.0758338159940785,-0.0442694957202397,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,-0.022042111181588,0,0,0,0,0,0,0.245111152921357,0,0,0,-0.0501142307271649,0.0386804204789432,0,0,0,0,0,-0.0319862587642422,-0.0326973726035558,0,0.125327759178096,0,0,0,0,0,0,0.147589824780056,0,0,0,0,0,0,0,0,0,0,-0.0439293391361833,0,0,0,0,0,0,0
X600010.SH,0,0,0,0.140999135518778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344393765927387,0.0160726325754026,0,0,0.0985820779525621,0.000339490576908488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191304320582566,0.015161741836093,0,0,0,0,0,0
X601992.SH,0,0,0,-0.158961861089296,-0.0595598297237412,0,0,0,0,0,0,0,0,-0.0978575175597656,0.243766681966318,0,0,0,0,-0.0758233711193251,0.695913169902563,0,0,-0.210530355238918,0,0,0,0,0.141689032476017,0.338756769855902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17442321242494,0,0,0,0.0340020505194529,0,0,0,-0.158113970872437,0,0
X300072.SZ,0,0,0,0,-0.753422607879981,-0.139045472229126,0,0,0,0,0,0.0531626082973131,0,0.574205239390226,0,0,0,0,0,0,0,0,-0.114801265230079,0,0,0,0,0,0,0.102814730566971,0,0,-0.248748828591358,0,0,0,0,0,0,0.31863707055299,0,-0.0968758239739424,0.413187543888066,0,0,0,0,0,0,0,0.0769751665260053,0.0138008143597542,0,0,0,0,0,0
X600688.SH,0.200730552462496,0,0,0.0459115556905386,0,0,0,0,0,0,0.0363677172159133,-0.0835032357221486,0,0,0,0,0.0153606640766728,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465293546102289,0,-0.0524810751849504,0,0,0,0.10976860734747,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,-0.00163426326285856,-0.0159529912019766,0,0,0,0,0,0
X601898.SH,0,0,0.1800211167877,0,0,0,0,0,0,0,0,0,0,0.0650728254785879,0,0,0.0268913312222532,0,0.112382542598068,0.0833427266689888,-0.0309283030099956,0,0,0.109810065663978,0,0,0,0,0,0.0364489605892859,0,0,0,0,0,0,0.140024520504491,0,0.0618910968054531,-0.0160628214965376,0,0.0267511499095337,0,0,0,0,0,0,0,0,-0.0141580442717309,0.00846987800116654,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,-0.104181567068629,0,0,-0.201371483590735,0,0,0,0,0,0,-0.143101592464797,0,0,0,0,0,0.291209113116853,0,0,0,0,0,0,0,0.00742881460634514,0.308137013481532,0,0,0,0,0,0,0,0,0.306501764261713,0,0,0.138184170721048,0,0,0,0,0.140421904570054,0,0,0.130921176212593,-0.0715065471738224,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.0457229612523033,0,0,0,0.0605208004795564,0,0,0.0133854100629084,0,0,0,0,0,0.00475186120525142,0,0,0.0746869257132325,0.017778656310865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0404649533240552,0,0.030252297807476,0,0,-0.00910015149613431,0.0866381592831268,0,0,0,0,0,0,0,-0.00337833115765301,0.012376796574081,0,0,0,0,0,0
X600309.SH,0,0,0,-0.324471492817992,0,0,0,-0.0446188979607188,0,0,0,0,0,0,0,0,0.0504842142360355,0,0,0.244675396025583,0.185050393464483,0,-0.062413925840502,0,0,0,0,0,0,0,0,0,-0.160205259283434,0,0,0,0,0,0.000337051640000353,0.0151071151032027,0,0,0,0.336600293788204,0,0,0,0,0,0,0,0.0310484931851825,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,-3.46944695195361e-18,0,0.0681662432910742,0,0,0,0.0494252487284175,0,0,0,0,0,0,0.562032274346208,0,0,0.286169844874908,0.171089480002703,0.00495728301851477,0,0,0,0,0,-0.0098334993157174,0,0,-0.0409429584295575,0,0,0.0165683599427119,0,0,0,0,0,-0.0715198209614133,0,0,0,0,0,0,0,0,0,0.014037875122642,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.128218323084621,0,3.46944695195361e-18,0.0743193030299272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0753374364951957,0,0,0,-0.222331284708933,0,-0.00518436251206423,0.147038859614106,0,0,0,0,0,0,0,0,0.137500652781445,0,-0.206408404045198,0.0374203441405447,0,0,0,0,-0.0546623327699437,0.170582028974573,0,0.0427119291846313,0,0,0,0,-0.0312904760022927,0,0
X600886.SH,0,0,0,-0.0472172084937145,0.0451094572311376,0,0,0,0.110761209993689,0,0,0.000489501922152657,0,0,0,0,0,-0.138067613824366,0,0,0.0395912468795337,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0551995262148943,0,0,0,0,0,0,0,0,0.120635214216562,0,0,0.0212088673055406,0,0,0,0,0,-0.0579787697179818,0,0,0.0497282477175067,-0.0186561891343989,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.0792753964939275,0,0,0,0,0,0,0,0,-0.148972537293958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26892431054879,0,0.375794651497398,-0.0378920149926358,0,0,0,-0.669566579048585,0,0,0.080128814963702,0,0.125993482575924,0,0,0,0,0,0.0492873250601158,0,0,-0.0751892119747692,0.114958704356668,0,0,0,0,0,0
