,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600019.SH,X600585.SH,X600188.SH,X601898.SH,X600547.SH,X601600.SH,X002460.SZ,X600660.SH,X000792.SZ,X600886.SH,X002466.SZ,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X002271.SZ,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600803.SH,X600176.SH,X600027.SH,X601991.SH,X000807.SZ,X600489.SH,X000983.SZ,X601699.SH,X000786.SZ,X600160.SH,X000932.SZ,X000630.SZ,X002080.SZ,X000539.SZ,X000408.SZ,X600219.SH,X300037.SZ,X000629.SZ,X600688.SH,X000723.SZ,X600157.SH,X600995.SH,X000933.SZ,X600612.SH,X600378.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600378.SH,0,0,0,0,-0.499971323530826,0,0,0,0,0,0,0,0,0,0.0668428890724173,0,0,0,0,0,0,0,0,0,0,-0.294025726303762,0,0,0,-0.80495733897528,0.755688133560813,0,0,0,0.31148971338615,0,0,0,0,0,0,0,0,0,0.282988820890552,0,0.313057357293648,0.255006747169883,0,0,0,-0.233516472412283,-0.144917390724425,0,0,0,0,0,0
Change_TY3M,0,0.0644145316259496,0,0,0.155074568245445,0,0,0,0,0,0.570277682786158,0,0,0,0,0,0,0,0.0206230529236616,0,-0.0722776845366569,0,0,0,0,0.0444848543818252,0,0,-0.2233077198973,0,0,0,0,0,0,0,0,-0.321971169566775,0,0,0,0,0,0,0,0,0,0,-0.0338700321409364,0,0,0.142629575640068,-0.27596417747807,0,0.366716301702594,0,0,0,0
Slope,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.150986235530471,0,-0.0107092979062594,0,0,-0.0353838275890812,0,0,0,0,0,0,0,0,-0.140601667660417,0,0,0,0,0,0,0.0517954543080332,0,0,-0.146761494775389,0,0,0,0,0,0,0,0,0,0.218664266589378,0,0.469826216631067,0,1.0028262007297,0.359066583718664,0,0,0,2.33122757964489,0
TED,0,0.190330665999192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404877606977379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168952713566815,-0.209171130426217,0,0,0,0,-0.258874174360854,0.744049189524434,0,0,0,0,0,0,0
RealEstate_excess,-0.118715705938075,0,0,0,0,0,0,0.00609152473691736,0,0,0,0,0,0,0,0,0,0,0,0,-0.140483018714005,0.27111835876711,0.152914257122028,0,0,0,0,0,-0.153474433601315,0,0,0.173877142410215,-0.0743468221025867,0,-0.0951391532827695,0,0,0,0,0,0,0,0,0,0,0,0.0170039463053057,0,0,0.0130533741764198,0.0112764373913298,-0.025678188132685,-0.0523899056831416,0,0,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,-0.0103456092556581,0,0.203625751240308,0,0,0.166931838741985,0,0,0,0,0,-0.0362980288088808,0,0,0,0,0.000252598131421302,0,-0.132650227916831,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,-0.00946118308353781,0,0,-0.0437479095047925,0,0,-0.023700496921924,0,-0.0135839464201475,0.0394786547376827,0.0111621472125037,-0.0346076155071631,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0.000286257325634202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148057285153732,0,0,0,0.000483405663429009,0,0,0,0,0,0,0,0,0,0,-0.00113162259051189,0,0,0,0,0,-0.000864583912058775,0.00390623637370497,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,-0.000107299571543761,0,-0.00855949255033406,0,0,0.00352498738579716,0,0,0,0,0,0,0,0,0,-0.00392665313749049,0,0,0,0,0,0,0,0,0,0,0,0,0.0168298613258395,0,0.0025928821383392,0,0,-0.00789967107796902,0,0,0,0,0,0,-0.014604766468041,-0.00109511152433068,0,0,0,0,0,-0.0122780524063287,0.00581037895705429,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000892838782391916,0,0,0,0,0,-0.000626721573309411,0,0,0,0,0,0,0,0,0.00644985768646077,0,0,0,0,0,-0.0023556120965491,0,0,0.0321997231537779,-0.0375808910013255,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0.000204878212544343,0,0,0,-0.00227555476082962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00133935627681815,0,0.0030889867959529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00610916433355062,0,0,0,0.000165191121746761,0,0.0101799680016899,-0.00483501152414731,0,0,0,0,0,0
