,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X601600.SH,X600585.SH,X600547.SH,X600011.SH,X600886.SH,X000792.SZ,X600795.SH,X600362.SH,X600010.SH,X600111.SH,X002460.SZ,X600489.SH,X000708.SZ,X600803.SH,X002466.SZ,X000301.SZ,X600027.SH,X600160.SH,X600426.SH,X601991.SH,X000983.SZ,X000786.SZ,X000807.SZ,X601699.SH,X600219.SH,X000630.SZ,X600176.SH,X600985.SH,X000408.SZ,X601168.SH,X000933.SZ,X000877.SZ,X002128.SZ,X600096.SH,X002271.SZ,X002353.SZ,X000027.SZ,X600378.SH,X600995.SH,X600352.SH,X000883.SZ,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.495015054243057,0,0,0.25698096500585,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.137120508195502,0,0,0,-0.132117745824606,0,-0.0119287763125975,0,0,0,0,0,0,0.239339039377789,0.1581341980597,0,0,0,0,0,0,0,0,0,0.0983540433873544,0,-0.029908424593051,0,0,0,0,0,0,-0.0714485709027878,0,0,0,0,0,0
X600028.SH,0.486073870153221,0,0,0,0.259272819790035,0,0,0,0,0,0.0195156428452558,0,0,-0.0496648903947234,0.134821910137379,0,0,0,0,0,0,0.025120511015371,-0.072392366466964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.100158229641814,-0.00404480826753159,0.0720170395154473,0,0,0,0,0,0,0,0,0,0,0,0.0101641500316391,0.014572350263898,0,0,0,-0.049748896918042,0,0
X601088.SH,0.166767619769959,0,0,0,0.14416235186778,0,0,0,0,0,0,0,0,0,0.0657334702701607,0,0,0,-0.1445891320522,0,0,0,-0.0468578621685301,0,0,0,0.0355714496381424,0,0,0,0,0,0,0,0,0.163241140072134,0,0,0.0634972899785662,0,0,0,0,0,0,0,0,0,0,0,0,0.0103630882802522,-0.0374992509665197,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.0469572166293027,0,0.0561312039189433,0,0,-0.115057445435571,0,0,0,0,0,0,0,0.126731074942128,0,0,0,0.0291546967498789,0,0,0,0.419816648248795,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110278010494946,0,0,0.225303254351266,0.028815961472836,0,0,0,0.0334155867041814,4.33680868994202e-19,0,-0.132114570939337,-0.021644266740744,0,0,0,-0.167603827035321,0,0
X601898.SH,0,0.0765104811528025,0.706475363162115,0,0,0.100722936098427,0,0,0,0.0787653198978647,0,0,0,0,0,0,0,0,0,0.0604501126022792,0,0.073985585057259,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.0953188382570619,0,0,0,0,0,0,0.0786062807728139,0,0,0,0,0,0,0.0614387461062534,0.0154133283710838,0,0.0157237922815765,-0.0324201214125251,0,0,0,0,0,0
X600188.SH,0,0,0,0,0.0993016941443248,0,0,0,0.0073426442909787,0,0,0,0,-0.129296452910074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267468286008706,0,0,0,0.497151057516853,0.0677700492733003,0,-1.38777878078145e-17,0,0,-0.0356305136850022,0.0559849692833504,0,0.263094311817919,0,0,0,0,0,0,0.0749963813565491,0,0.0315467633417843,0,0,0.03430052714968,0,0
X600019.SH,0,0.33656329229551,0,0,0,0,0,0,0,0,0,0.172502298617517,0,0.115479233662789,0,0,0,0,0,0.126405904341168,0.115683833631468,0,0,0,0,0,0,0,0,0,0,-0.124738264892006,0.061794023256276,0,0,0,0,0,0,0,0,-0.0466627871773152,0,0,0,-0.0426663715832406,0,0,0,0.0519008223595636,-0.185778534065808,-0.0368225433774039,0,0,0,0,-0.101276036725859,0,0
X600660.SH,0,-0.109606318952204,0,0,0,0,2.16840434497101e-19,0,0.133009185831131,0,0,0,0,0,0,0,0,0,0,0,-0.19607119747933,0,0,0,0,0.160259696548801,0,0,0,0.228806471622698,0,0,0,0,0,0,0,-0.277103810610745,0,-0.39574321267067,0,0.191409058561505,0.0568518924750828,0,0,0,0,0,0,0.231353803099887,0,-0.0748062913900466,0,-0.0474068920805756,0,0,-0.0954333191540728,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0258743924559793,0,0,0,0,0,0,0,-0.0208742737713567,0,0,0,0,0,0,0,0.394470254628518,0,0,0,0,0,0.01936462237972,0.480375878836341,0,0,0.00236508540260259,0,-0.0439900344417481,0,0,0,0,0,0.291701271068853,0,0,-0.0742263570645281,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.0389795924646065,0,0,0,0,0,0,0,0,0,0.0955169258523058,0,0,0,0,0,0,0,0,0,0.103893566385001,0,0,0,0,0,0.076101337138311,0,0,0,0,0,0,0,0,0,0.143026370989413,0,0,0.0258856466079093,0,0,0,0,0,0,0,0,0.0995538785426468,0,0,0,0,0,0,0
