,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X600010.SH,X600111.SH,X000786.SZ,X601600.SH,X600176.SH,X600011.SH,X601898.SH,X600886.SH,X000301.SZ,X600426.SH,X002466.SZ,X600188.SH,X600352.SH,X600219.SH,X600801.SH,X000932.SZ,X601991.SH,X600803.SH,X002080.SZ,X600489.SH,X600795.SH,X000027.SZ,X600688.SH,X600299.SH,X600486.SH,X002353.SZ,X000898.SZ,X600516.SH,X601168.SH,X000807.SZ,X600027.SH,X000630.SZ,X600295.SH,X601992.SH,X600157.SH,X000723.SZ,X600315.SH,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.21923288816818,0,0,0,0.0209471238676102,0,0,0,-0.0222963697414313,0,0,0,0.0192072905020377,0,0.0297504641840735,0,0,0,0,0,0.010952590140966,0,0,0,0.00614857530919154,0,0,0,0,0,0,0,0,0,0,0,0.0598148378557614,0,0,0.0622854323818443,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,-0.00262034739844104,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.058868127933231,0,0,0,0,0,0,0,0,0.0191080719052644,0,0,0,0,0,0.0479907241698103,0.0260000610113982,0,0,0.0540625242239951,0,0,0,0,0,0,0,0,0,0,0,0.0112545764499844,0,0,0,0,0,0.0550025686623191,-4.33680868994202e-19,0,0,0,0,0,0,0,-0.0276738859119525,0,0,0,0.0287923215782716,0,0
X601088.SH,0,0,0,0,0,0,0.0594060444310544,0,0,0,0,0,-0.0856938050395476,0,0,0,0,0,0.100164173261121,0,0,0,0.0173809868644451,0.232010855147748,0,0.218259701096382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0629843128039085,0,0.0674376223237269,-0.0336055043594845,0,0,0,0.00276851085900781,0,0
X600309.SH,0,0,0,0,0,0.00728585243696,0,0.246966020987141,0,0,0,0.0898689986277211,0,0.0211054743604186,0,0,0,0,0,0,0.107117219347473,0.131612660793293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0931857882441372,0,0,0,0,0,0,0,0,0,0,0.146046146917397,0.183312636026935,0,0,0,-0.0126182974045264,0,0,0,0.198893244777753,0,0
X600585.SH,0,0,0,0.0539202146345545,0,0,0,0,0.0221746593970964,0,0,0.0362916415639578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249829820235917,0,0,0,0,-0.00299704931616431,0,0,0,0,0,0,0,0,0.0842939692220555,0,0,0,-0.0550713484908195,0,0,0,0.00111967237214115,-0.119076386602875,-0.0253109057910541,-0.00527542327353105,0,0,0,0,0.0116349760732115,0,0
X600019.SH,0,0,0,0,0,0,0,-0.00494039214357579,0,0,0,0.002807819271121,0,0.015273363388339,0,0.065049827161487,0,0,0,0,0.22494530515694,0,0,0,0,0.0537743461431508,0,0.341386838842452,0,0,0,0,0,0,0,0,0,0,0.228043775124684,0,0,0,0,0.0859656227319075,0.158627925186276,0,0,0,0,0,0,-0.0189085485109736,-0.000321174355493564,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260923405922687,-0.581795644537128,0,-0.202742492553331,0,0,0,0,0,0,0,-0.129003399417606,0,0,0,0,0,0,-0.0217256300821593,0,-6.93889390390723e-18,0,0.266433310771894,0.28825951376566,0.236203754912128,0,0,0.0465973415298025,-0.158409284260481,0,0,-0.0640134449256695,0,0,0,0,-0.0402795740829353,0,0,-0.0364129826635885,0,0,0,0,0,0
X002460.SZ,0,0,0,0,-0.263858311063538,0,0,0,0.417647891260142,0,0,0,0,0.0210841565815146,0.112157123677495,0,0.224006160798536,0,0,0,0.0887211721714928,0,0.0985178620026721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478479802284625,0,0,0,0.455876745285316,-0.0898406219601904,0,0,0,0,0,0.0736075878632529,0,0.0503199348744454,0,-0.0569801717662771,0.0691971358526255,0,0,0,-0.146727072514708,0,0
X600660.SH,0,0,0,0,0,0,0,0.157830750163531,0,0.0982009386793065,0,0,0.0616028307081426,-0.0139509324289653,0,0,0,0,0,0,0.10432001361397,0,0,0,0,0.0710952938601392,0,0,0,0.106573329829639,0,-0.24878248136499,0,0,0,0,0.0851368077109737,0,0,0,0,0,0,0,0,0,0,-0.0294712251172211,0,0.162744089076676,0,0,-0.0293934297252201,0,0,0,0,0,0
X002271.SZ,0,0,0,0.169053629195693,0,-0.256786926794471,0,0,0.193936695642949,0,0,0,0,0,0,0,0.0799845053417937,0,0,0,0,0,0.0209649313442837,0,0,0.0849392198028048,0,0,0,0,0,-0.0628236601286936,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0384382048874301,0,0,0,0,0,0
