,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600660.SH,X601898.SH,X600188.SH,X600688.SH,X601991.SH,X002466.SZ,X601600.SH,X600362.SH,X600795.SH,X600886.SH,X600547.SH,X600516.SH,X300072.SZ,X002460.SZ,X600111.SH,X000553.SZ,X000898.SZ,X600027.SH,X600352.SH,X601992.SH,X600176.SH,X000825.SZ,X600299.SH,X000709.SZ,X000786.SZ,X000792.SZ,X000408.SZ,X600426.SH,X600808.SH,X000883.SZ,X600315.SH,X601699.SH,X601158.SH,X000830.SZ,X600219.SH,X002110.SZ,X000932.SZ,X600339.SH,X600489.SH,X002271.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.289147106905738,0,0,0,0,0,0,0,0,0.0236410333590702,0,0,0,0.0941111252890881,0,0,0,0.00617292926257752,0.0736170865312409,0,0,0.0434280125945512,0,0,0,0.0128384424505279,0,0,0,0.0736148175671511,0,0,0.0351218336760999,0,0,0,0,0.0222562505907005,0.072827411488772,0,0,0,0,0,0.0249296713165665,0,0,0,0,0.0126080122192777,0,0,0,0,0,0,0
X600028.SH,0.0617590716967992,0,0.341764121383837,0,0,0,0,0,-0.0976034790092921,0,0,0,0,-0.0746272038456443,0,0,0,0,-0.0846379889798341,0,0,0,0,-0.143922160853676,0,0,0.0298424935684805,0,-0.0315483573728077,0,-0.00437396838169617,0,0,0.120018132166646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003332345537271,0.0152226591660919,0,-0.13301868682903,0,0,0,0
X601088.SH,0,0.2572716030122,0,0.0926627266957003,0,0,0,0,0,0,0.38527365777132,0.187174751700295,0,0.0528351032160586,0,0,0,0,0,0.000885463219688061,0,0,0,0,0,0,0,0,0,0,0.0342001652954466,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0112524254441376,0,0,0,0,0,0,0,0,0.00150743467886911,-0.0222666250915567,0,0,0,0,0,0
X600585.SH,0,0,0.112264442605038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00397419741595365,0,0,0,0,0,0,0.15493699511256,0,-0.0405121391643022,0,0,0,0,0,0,0.371473917251487,0,0,0.138123831276556,0,0,0.104430264905764,0,0,-0.0396847027307919,0.0351460484099487,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0403259506356217,0,0,0,0,0.303562890143239,0,0,0,0.277878667452196,0,0,0,0,-0.0486096857190916,0,0,0,-0.134723538831347,0,0,0,0,0.119957288411552,0,0,0,0,0,-0.0962320250891124,0,0.16779301200149,0,0,0,0,0,0,0,0,-0.0109763213663307,0,0,0,0,-0.00110151130871089,0.025449306902847,0,0,0,0,0,0
X600309.SH,0,0.0418518554574806,0,0.0767435921036028,0.0414440556696723,0,0,0,0,0,0,0,0,-0.204601532950342,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,-0.0635652341052637,0.194468768338659,0,0,0,0,0,0,0,0,0,0,0,0,-0.1038000273353,0,0,0,0.0326565603007584,0.0782973224370302,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.110496169055025,0,0,0,0,0,0,0.00356585677882426,0,0,0,0,0.20677925243908,0,0,0,0,0.233393591181161,0,0,-0.0302735496022592,0,0,0,0,0,0,0,0.0213607177551005,0,0,0,0.00104815747502026,0,0,0,0,0.0176213770135274,-0.0528660177564928,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.113389242169399,0,0.231192893837692,0,0,0,0,0,0,0,0,0,0,0,0.0207855268067964,0,0,0,0,0,0,0.214005205934783,0,0,0,0,0,0,0,0,0.0179020147545358,0,0.287091155684398,0,0.00170968981307453,0,0,0,0,0,0,0.24265470635616,0,0,0,0,0.0467317342787213,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0102065998755645,0,0,0,0,0,0,-0.296540507748103,-0.0151849906170468,0,0,0.0129345200071454,0,0,0,0,0,0.131440715924518,0,0,-0.350226832460841,0,0,0,0,0,0,0,0,0,0,0,0,0.0672582976797182,0,0,0,0,0,0,-0.00736027835726958,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,4.71619626813205e-05,0,0,0,0,0,0,0,0,0.0439062096568677,0,5.42101086242752e-20,0.0225819258415001,0,0,0,0,0.195209554259408,0.0840443227359038,0,0,0.0237134857742387,0,0,0,0,0,0,0,0.191395394784925,0,0.0823411334051646,0,0,0,0,0,0,0,0,-2.62115619604633e-05,0,0,0,0,0,0,0
X600188.SH,0,0,0.519522586818204,-0.0838359117548799,0.113723449298815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0445554582636293,0,0.0153093628646016,0,0,0,-0.122441551841,0,0,0.312567338593635,0,0,0,0,0,0,0,0,0,0,0.513518022307783,0,0,0,0.0824521515741996,0,0.0784863279298294,0,-0.0613383737068951,0,0,-0.025632326598059,0,0,0,0,0,0,0
X600688.SH,0.0738759854056999,0.110160536999338,0,0,0,0,0,0.055323355096127,0,0,0,0,0,0.123243907568446,0.00802202276362275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309849969859881,0,0.125789089508696,0,0,0,0.041900497358742,0,-0.0269965024083316,0,0,0.000124274167236794,5.42101086242752e-20,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.0874116126890234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785708941931596,0,0,0,0.0267673088459103,0,0,0.102851509905744,0,0,0,0,0,0,0,0,0,0,0,0,0.0681787956615726,0,0,0.0782591224137467,0.0694223705428924,0,0,0,0,0.0343862827930569,-0.0194671357633346,0,0,0,0,0,0
