,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600795.SH,X600426.SH,X600362.SH,X000877.SZ,X002271.SZ,X601699.SH,X600803.SH,X600489.SH,X600027.SH,X000983.SZ,X600176.SH,X601991.SH,X000807.SZ,X000786.SZ,X600160.SH,X000630.SZ,X000932.SZ,X600219.SH,X000408.SZ,X600985.SH,X000933.SZ,X300037.SZ,X000629.SZ,X600688.SH,X600612.SH,X600096.SH,X000723.SZ,X600801.SH,X600157.SH,X002080.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.995612829158698,0,0,0,0,0,0,0,0,0,0,0,0.0512769814355129,0,0,0,0,0,0,0,0,0,0,-0.224631800367359,0,-0.0603051493381923,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015743350123739,0,0,0,0.0553643579688176,0,0,-0.10565120037451,0.119800541369783,0,0.0243183675333643,0.0017110879930114,0,0,0,0,0,0,0
X600028.SH,0.516170748468705,0,0,0,0,0.0397873452540365,0,0,0,0,0,0,0,0,-0.0686390688895671,0,0,0,0.0303935881590129,0,0,0,0,0,0.0114018215987962,0,0.0556148026189918,0.0598326006200093,0,0,0,0,0,0.0968542392932424,0.0266260490013221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00248256234541108,0,0,0,0,0,0,0
X601088.SH,0,0.230291332385572,0,0,0.133167865391404,0,0,0,0.113606163840161,0,0.125970754393673,0,0,0,0,0.019117038484173,0,0,0,0,0,0.0421284169454548,0,0,0,0,0,0,0.00238678954170533,0,0.031241709262381,0,0.0270894743088146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422438714706383,0,0.0143903202244955,0,0,0,0,-0.0109981710630462,0,0
X600309.SH,0,0,0,0,0.0348849531832142,0,0,0,0,0,0.126586172617661,0,0,0,0.127843690379213,0,0.030205215091206,0,0,0,0,0,0.11433939975177,0,0.11634649333337,0,0,0.0125810461577469,0.00315779412744234,0,0,0,0,0,0,0,0,0,-0.0960211756283333,0,0,0,0,0,0,0,0,0,0,0,-0.0633690517709589,0.0398731422323198,-0.0343208361299549,0,0,0,-0.161279011250749,0,0
X600188.SH,0,0,0,0,0,0.126546161235319,0,0,0.139936013764895,0,0,0,0,0,0,0,0,0,0,0,0,0.0606129727248472,0,0,0,0,0.0696662758903322,0,0,0.329354031971943,0,0,0,0,0,0,0,0,0,0,0.0680556299470804,-0.0130690581985254,0,0,-0.0368407933647445,0,0,0,0,-0.195947430986746,0,0.039156348289878,-0.0746243310442226,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.111010380364882,0,0,0,0,0,0,0,0,0,0,0.117184635048736,0,0,0.271176992996492,0,0,0,0,0.0438743840088107,0,0,0,0,0,0,0,0,0,0.323788627063644,-0.0160774993701172,0,0,0,0.257917160197509,0,0,-0.163167592486253,0,0,0,0,0,0.176863622604339,0,0,-0.0427509515318987,0,0.0352824986283421,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0740645536735134,0,0,0,0,0,0,0,-0.169652060938849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108968169414265,0,0,0,0,0,0,-0.0143604624358758,0,0,0,0,0,0,-0.0132110060449424,0.574968781955486,0,0,0,0.00333791624013646,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.130930650444046,0,0,0,0,0,0,0,0,0,0,0.280000120778883,0,0,0,0,0,-0.0634806382500025,0,0,0,0,0,0,0.54094583565083,0,0.0568439376121603,0,0,0,0,0,0,0,0,-0.0156529792902463,0,0.134702823228595,-0.087205855904574,0,0,-0.0589273628891381,0,0,0,0,0,-0.0153214346840505,-8.67361737988404e-19,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.129080555152592,0,0,0,0,0,0,0,0,0,0.0597827153335085,0,0,0,0,0,0,0,0,0.00600200501808472,0,0.342416955919102,0.150161881883865,0.0348622579172366,0,0.019857103813757,0,0,0,0,0,0,0,0,0.131074422911509,0.0654630007361077,0,-0.130394382021237,0,0,0,0,0,0,0,0,0,-0.00170818328141333,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.0297412215565092,0,0,-0.136806785202037,0,0,-0.164817383523091,0,0,0,0,-0.131165753264223,0,0,0,0,0,0,0,0,0,0,0.155041408108951,0.542843919275401,0.197799341841388,0.0623935655917867,0,0,0,0.0405857990464891,0,0,0,0,0,0,0.0618305659333077,0.000482132532948643,0,0,-0.028455617890818,0,0,-0.0716031903056743,0,0,0,0,-0.00834717853608368,0,0,0,0,0,0
