,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600111.SH,X600188.SH,X600157.SH,X600362.SH,X600623.SH,X600886.SH,X002466.SZ,X600547.SH,X601992.SH,X600660.SH,X600299.SH,X600489.SH,X000792.SZ,X600309.SH,X601158.SH,X600583.SH,X000883.SZ,X300072.SZ,X000709.SZ,X600352.SH,X000898.SZ,X000539.SZ,X000723.SZ,X600549.SH,X002075.SZ,X000027.SZ,X000630.SZ,X002460.SZ,X002407.SZ,X002470.SZ,X000983.SZ,X000012.SZ,X600021.SH,X600098.SH,X600176.SH,X000060.SZ,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600583.SH,0,0,0,0,0,0,0,0.0375706431067767,0,0,0,0,0,0.0081978403216497,0.0768130014769553,0,0.0216556296446866,0,0,0,0,0,0,0.0245949902947524,0.0197373284413901,0,0.392900598063611,0,0,0,0,0,0,0,0,0,0,0,0.0467357920327829,0,0,-0.0123776662120769,0,0,0.125034209768909,0,0,0,0.0647778419718013,0,0,-0.00166516685475831,0,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0.0102814115704926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036295469914186,0,0.0118516381250582,0,0,0.0642570052509055,0,0,0,0,0,0,0.0859023827477588,0,0,0,0,0,0,0,0,0.264925294702905,0.0757780814029822,0,0.00197508858425522,0,0.00166339904396032,0.0159669579508998,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.177720772687002,0,0,0,0.222019951388229,0,0.0192345025978082,0,0.0935737455775034,0.0772513650078661,0,0,0.0242716771457842,0,0,0.0556774533330355,0.359329643385726,0,0,0,0,0,0.0155802279137582,0,0.028000464724906,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.199778067706988,0,0,0,0,0,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0.143938609201963,0,0,0,0,0,0,0.131151009837613,0.0860094025358789,0,0,0.0434901186874254,0,0,0,0,0,0,0,0,0,0,0,0,0.0157737302366435,0,0,0.115266758358972,0,-8.67361737988404e-19,0.00591548108334903,0.0557706291892319,0,0,0,0,0,0,0,0,0,0,0.000718651932767731,0.127785000645407,0,0,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0.0288810159861105,0,0.100015286173688,0,0,0,0,0,0.0542602370676974,0,0,0,0.152371166360473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0404652805394358,0,0.0520954647660399,0,0,0.0733101521247257,0,0,0.0394443650088095,0,0.0955580997321223,0,0,0.172343600000827,0,0,0,-0.0292680230125758,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0.0275097840466922,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249075223059952,0,0,0,0,0,0.0932587816167003,0,0,0,0,0,0,0.12090614712117,0,0,0.137243329659071,0,3.46944695195361e-18,0,0,0,0,0,0.0408828358225303,0,0,0,0,0.190913378597463,0,0,0,0.00922654276435534,0,0,0,0,0,0
X000539.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000935288825301949,0,0,0,0,0,0,0,0,0,0.134425614415614,0,0.0475447891574508,0,0,0,0,0,0,0,0.0161501661112348,0,0.0556118229958721,0,0,0,6.93889390390723e-18,0,0,0,0,0.199924994714156,0.0820032864391858,0.0909090892485622,0,0,0,0,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00595844020942327,0,0.0265450411419415,0,0,0,0,0,0.334143275878848,0,0,0,0,0,0,0,0.0658146797020219,0,0,0,0.0952123895613775,0,0,0,0,0,0.0757944606796182,0,0,0,0,0.0144741978245181,0,0,-0.10605172159616,0.149153484588052,0,0,0,0,0,0
X600549.SH,0,-0.173985851072586,0,0,0,0,-0.165591492744795,0,0,0,0,0,0,0.278472694521754,0.343221306781044,0,0,0.0532008750815039,0,0,0,0,0,0,0,0,0,0,0,0,0.0936297591090317,0,0,0,0,0,0,0,0,0,0,-0.0177212213048859,0,0,0,0,0,0,0.341705019444248,0,0,0,0.00628558695536638,0,0.145310000620362,0,0,0,0
X002075.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261478593603534,0.0175824002211422,0,0,0,0,0,0.406213084443494,0,0,0,0,0,0,0,0,0,0,0,0,0.286380063031996,0.225535369408798,0,0,0.208619043531722,0.170691964008146,0,0,-0.15167291238405,0,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0.0338133651786159,0,0,0,0,0.13218424569851,0,0,0,0.00174016299682402,0,-1.73472347597681e-18,0.141368560876228,0,0,0.00917009081950796,0,-3.46944695195361e-18,0,0.125179476166294,0,0.00662312288452466,0,0,0,0,0,0,0,0,0,0.0722969025085101,0,0,0,0.0188855690835744,0,0.0397358814501914,0.0810205503116354,0,0.137559226957868,0,0.0376326965567389,0,0,0,0,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357187352169898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313260045845943,0,0,0.0328126345373426,0,0.0545132129545755,0,0,0,0,0,0,0,0,0,0,0.0199411388432708,0,0,-0.0113305311520627,0.0845419608303355,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043790149326505,0,-0.014098315873805,0,0,0,0.521438136145777,0,0,0,0,0.0734951999568268,0,0,0,0,0,0,0,0.0496526589362221,0,0,0,0,0.0221312808568269,0,0,0,0.44833777896877,0,0,0,0,0,0,0,-0.0788902636740472,0,0.0528345393183482,0,0,0,0,0,0,0
X002407.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.161566789396845,0,0,0,0,0.539811794258608,0,0,0,0.00117115962006125,0,0,0,0,0,0,0,0,-0.0440107927044918,0,0,0,0,0,0,0,0.350022330544469,0,0,0,0,0,0.306670932344645,0,0,0,0,0,0.16915675533678,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,-0.0656799962491029,0,0,0,0,0,0,0,0,0.0390938822909487,0,-0.00360692202514627,0,0,0,0,0,0.0448857471491143,0,0,0,0,0,0,0,0,0,0,0,0,0.100625742021131,0.0402368630126958,0,0,4.33680868994202e-19,0,0,0,0.199738178134833,0,0,0.191417573992042,0,0,0,0.0330475315519247,0.0348770250276544,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0918360770801668,0,0.0661788888077363,0.151911808078305,0,0,0,0,0,0,0.283561671573698,0,0,0,0.0728198181943457,0,0,0,0,0,0.437090075699801,0.0659520639987167,0,0,0,0.086685647321874,0,0,0,0,0,0,0,0,0,0,0,0,0.00636186398797806,0,0,0,0,0,0,0,0,0
X000012.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0655863921028089,0.100253078585836,0.0941577972990779,0,0,0,0,0,0,0,0,0,0.255441997492905,0,0,0,0,0,0,0,0,0,0.187044797147701,0,0,0.0188912115641334,0.0586546375184126,0,0,0,0,0,0.169489138481987,0,0,0,0,-0.00810216341341401,0,0,0,0,0,0
