,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600011.SH,X002460.SZ,X600019.SH,X002466.SZ,X601898.SH,X600547.SH,X000792.SZ,X601600.SH,X600886.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X002271.SZ,X000877.SZ,X600795.SH,X600362.SH,X600426.SH,X600027.SH,X601991.SH,X000983.SZ,X600803.SH,X600176.SH,X600489.SH,X601699.SH,X000807.SZ,X000786.SZ,X300037.SZ,X000539.SZ,X600160.SH,X000408.SZ,X600219.SH,X600995.SH,X000932.SZ,X002080.SZ,X002409.SZ,X000629.SZ,X600688.SH,X600612.SH,X600157.SH,X600096.SH,X600378.SH,X600021.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.641677836700091,0,0,0.286888140309903,0,0,0,0,0,0,0,0,0,0,0,-0.139157439849361,0,0,0,0,0,0,0,-0.145534864779459,0.0913344806627736,0.0582664964648154,0,0,0,0,0,0.288645064787589,0,0.0850153087756625,0,0,0,0,0,-0.166957052211482,0,0,0,0,0.127291414429641,0,0,0,0,0,0.0186041703667879,0,0,0,0,0,0,0
X600028.SH,0.707661714853935,0,0,0,-0.0947859181724312,0,0,0,0,-0.0630650214768012,0.0436263231661836,0.122728884504285,0,0,0,0,0,0,0,0,-0.0385066960430685,0,0,0,0,0,0.036587482848363,0,0,0,0,0,0,-0.0225595514547287,0,0.00742688339672705,0,0,0,0,0,0,0.0075427888328507,0,0,-0.0190445057172598,0,0,0,0,0,0.0134068070354832,-0.00165818374538773,0,0,0,0,0,0
X601088.SH,0,0.226696437111413,0,0,-0.060125704086931,0,0,0,0,0,0.415444565668459,0,0,0.189314931315327,0,0,0,0,0,-0.0867889453104165,0,0,0,0,0,0,0.103840748459154,0,0,0,0,0,0,0.19670954136676,0,0,0,0,0,0,0,0,-0.0115114571738141,0,0,0,0,0,0,0,0,-0.00470355430187553,-0.00498626657406379,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,-0.213269667550419,0,0,0,0,0,0,0,0,0,0,0,0.00937639132151974,0,0,0,0,0,0.150982717786131,-0.00865955886604152,0,0,0.0253769207152508,0.124934664281162,0,0,0.0716420311353112,0,0,0,0,0,0,0,0,0,-0.0091369419409633,0,0,0,0,0,0,0,0,0.0147384091387112,-0.031876465185125,0.0233775165566435,0,0,0,0,0
X600188.SH,0.0172843953060261,0,0,0,0,0,0,0,0.13986009793053,0,0.442290624332538,0,0,0,0,0,0,0,0.0605060264298652,0,0,0,0,0,0,0,0,0.00359713269300697,0,0,-0.0925662614719013,0.185792498698635,0.213986631920779,0,0.069073154451068,-0.0796304635224645,0.0744669316287216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0584326282541851,-0.0236490946580524,0,0,0,0,0,0
X600585.SH,0,0,0,0.0292245024680687,-0.106351423108621,0,0,0,0.0446326260373845,0,0,0,0,0,0,0,0,0,0,0,0.0739118957565875,0.00347044844933506,0,0,0.0217672857013285,0,0,0,0,0,0,0,0,0,0.0391995627756468,0,0,0.0368667168200479,0,0,0,0,0,0.0250833962725311,0,0,0,0,0,0,0,-0.0648964941953237,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.115148086713515,0,0,0,0,0,-0.0619692080971112,0.140347808878375,0,0,0.55949085616079,0,0,0,0,0,0,0,0.135528552046271,0,0,0.496136437256958,0,0,0,0,0,0,0,-0.215499105909916,0,-0.132771585430463,0,-0.171790106210796,0,0,-0.0782406516929994,0.0511269832745277,0,0,0,0,0,0,0,0.16627432096128,0,0,-0.123878548178269,0,0,0,0,0,0
X002460.SZ,-0.00457495120735358,0,0,0,0,0,0,0,0,0.535619944443992,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.233971080858656,0,0,0,0,0,0,0,0,-0.0583878904767198,0,0,0,0,0,0,0,0,0,0,0,0,0.0523364126206684,0,-0.0159565861340198,0,0,0,0,0.120044074214152,0.00233013030693687,2.16840434497101e-19,0,0,0,0,0,0
X600019.SH,0,0.0599297722625935,0,0,0.121123483274865,0,0,0,0,0,0,0.102172988241005,0,0.194249635865212,0,0,0,0,0,0,0,0,0,0,0.00529834394604741,0,0,0,0,0,0,0,0,0,-0.0692734268481069,0,0,0,0,0,0.058752877513274,0,0,0,0,-0.0749657591474201,0,-0.0546616245243071,0,-0.0261971113268704,0.0242448751658359,0.00941235642346983,0.0696414756513786,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.268304242190204,0,0,0.277765714889909,0,0,0,0,0,0,0,0,0,0,0,0,0.0737311010576582,0,0,0,0,0,0,0,0,0,0,0.260035205698629,0,0,0,0,0,0,0,0,0,0.0667522179215816,0.0480979383379118,0.206051338235929,0,0,0,0.0987470317817729,0,0,0,0.0258384724210583,0,0,0,0,0,0,0
