,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002460.SZ,X002466.SZ,X600585.SH,X600188.SH,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X600111.SH,X002271.SZ,X600660.SH,X600010.SH,X000877.SZ,X000301.SZ,X000708.SZ,X600886.SH,X600547.SH,X601600.SH,X600795.SH,X600176.SH,X600096.SH,X600426.SH,X600362.SH,X000408.SZ,X000786.SZ,X000983.SZ,X300073.SZ,X600803.SH,X000723.SZ,X601991.SH,X600141.SH,X000629.SZ,X002080.SZ,X600027.SH,X002192.SZ,X601699.SH,X600219.SH,X300037.SZ,X002407.SZ,X600801.SH,X600486.SH,X002497.SZ,X600157.SH,X002353.SZ,X600378.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.0758845946358315,0,0,0.0357855522743146,0,0,0,0,0,0,0,0,0,0,0.0563318263286676,0,0,0.149012019203663,0,0,0,-0.0975065452129832,0.180285613596651,0,0,0,0,0,0.0771335667514605,0,0,0,0,0,0,0,0,0.0562247655761132,0.0117047217104015,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.101596635949519,-0.0399468541655052,0,0,0.199672004328135,0,0,0.122646557512859,0,0,0,-0.0909860214085922,0,0,-0.00168573465026119,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,-0.016135226675992,0,0,0,0.111892662892999,0,0,0,0,0.0420334155708967,0,0,0.0416492932857676,0,0,0,-0.0139037531641318,0,0,0,0,0,0,0
X600028.SH,0,0.049910271699858,0,0.0210896537517441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137438132859163,0.0530430839210384,0,0,0.0154523952034172,0,0,0,0,0,0,0,0,0,0.0112280603621202,0,0,0,0.00340603822258638,0,0,0,0,0.00655528671336597,0,0.0730132044493364,0.0321215551663327,0,0,0,-0.0128906639133488,0,0,0,0,-0.0158348210172094,0,0
X600309.SH,0,0,0,0,0,0,0,0.011808142299922,0,0,0.07683537523236,0,0,0,0,0,0.209304436821773,-0.00727816214519889,0.0529814718328934,0,0,0,0,0,0.000936859594379676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0739084543252706,0.0265898752540863,0,0,0,0,0,0,0,0.0887795813876786,0,0,0,0,0,0,0,0,-0.0315845543009094,0,0
X002460.SZ,0,0,0,0,0,0.191913186929708,0,0.0151316631813219,0,0,0,0,0.134212761975567,0,0,0.139388357207147,0,0,0,0,0,0.055524654995766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0512142159350216,0,0.0215075165033011,0,0,0,0,0,0.280483385984967,0,0,-0.0434541668332086,0,0,0.0268065987731208,-0.061057972360254,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.48606892793084,0,0,0,0,0,0,0,0,0,0,0.0430136748090611,0,0,0,0,0,0.086835105310417,0,0,0.069243332978732,0,0,0,0,0,0,0,0.0347972319725415,0,0,0,0,0,0.0650433993266204,0,0,0,0,0,0,0.282850716862235,0,0,0,0,0,0.00167319354921351,0,0,0,0,0.0424294680918752,0,0
X600585.SH,0,0,0,0.0418698359227506,0,0,0,0,-0.0538294245360347,0,0,0,0,0.169413356294872,0,0,0,0,0,0,0.0747712541333982,0,0,0,0.0161719995712038,0,0,0,0,-0.0178322725203221,0,0,0.0273672497903261,0.0020405234526793,0,0,0,0,-0.00543740653065234,0,0,0,0,0.41811267523934,0,0,0,0,0,0,0,-0.00426285223980027,0,0,0,0,0,0,0
X600188.SH,0,0.306792823592472,0,0,0,0,0,0,0,0,0.0180748778118071,-0.224104853571514,0,0,0,0,0,0,0,0,0,0,0,0,0.0875981504248029,0,0,0,0.00218414867959368,0,0,0,0,0,0,0,0,0,0,0.414420588927249,0,0,0,0.136923093944543,0,0,0,0.00620242147099548,0,0,0,0.0657963648145034,-0.104979808987163,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.141533035388131,0,0,0.148927317652624,0,0,0,0,0,0,-0.016593793696625,0,0,0,0,0,0,0,0,0,0,0,0,0.411914498537234,0.0638870280499716,-0.0339883901028897,0,0,0,0,0.055466348678975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0116808640389866,0,0
X600019.SH,0,0,0,0,0,0,0,0.0752890437474724,0,0,0,0,0,0.0417636599338939,0,0,0,0,0,0,0,0.0823855704884373,0,0,0,0,0,0,0.0286665617551824,0,0,0,0.0440557403055939,0,0,0.0603760757542,0,0,0,0,0,0,0,0,-0.00845832392797938,-1.0842021724855e-19,0.0344694750166021,0,0,0.179707372675828,0,0.00267420377418517,0,0,0,0,0,0,0
