,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X000792.SZ,X600019.SH,X600111.SH,X002466.SZ,X002271.SZ,X600660.SH,X000301.SZ,X000708.SZ,X600010.SH,X601600.SH,X601898.SH,X600188.SH,X600362.SH,X600547.SH,X600426.SH,X600219.SH,X600176.SH,X600886.SH,X600011.SH,X000786.SZ,X000723.SZ,X000825.SZ,X000408.SZ,X000932.SZ,X000959.SZ,X600803.SH,X601991.SH,X600399.SH,X000807.SZ,X002080.SZ,X300037.SZ,X000898.SZ,X600795.SH,X000831.SZ,X601699.SH,X600352.SH,X002409.SZ,X600549.SH,X600489.SH,X600486.SH,X600808.SH,X002407.SZ,X000027.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,-0.0303634326774883,0.0417680761413295,0,0,0,0,0,0,0,0.0519139305451708,0,0,0.0308207145550864,0,0,0,0,0,0.0802273881439059,0,0,0,0.0627956339567627,-0.0532252515755433,0,0,0,0,0,0,0,0,0.0241884449964797,0,0,0,0,0,0,0,0.0465506665854473,0,0,-0.000766599527137282,-0.0237313290426716,0,0,0,0,0,0
X600028.SH,0.186419698810664,0,0,0,-0.055519288157439,0,0,0,0,0,0,0,0.0640862411506408,0.0501574833541595,0,0,0,0.0135699953555958,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00777707213532447,0,-0.0285377889605531,0.0546777657253377,0,0,0,0,0,0.0105037707195687,0,-0.00415239507183175,0,0,0,0,0,0,0,0,-0.0165598170368191,0.051800662151164,0,0,0,0,0,0
X601088.SH,0.0208782311275248,0,0,0,-0.0284928659211176,0.0674385753028455,0,0,0,0,0,0,0,0,0,0.0602150935086729,0.0582764212532721,0.185781252013437,0,0,0.0210786119856689,0,0.0096959202473454,0.0421198617998125,0,0.108322667560769,0.0387914344118489,0,0,0,0,0,0,0,0,0,-0.0651702578802562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.102574924836436,0,0.0992232467063745,0,0.0591687615909825,0,0,0,-0.00984411170082027,0,0,0,0.159766900803457,0,0,0,0,0.0268556658141534,0,0,0,0,0,0,0,-0.0888299816103284,0,0,0.0136795518809137,0,0,0,0,0,0.0404350083064966,0,0,0.00081254343240319,0,0,0.0426358249878194,0,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.306585355427731,0,0,0.0984005833339619,-0.115449157882795,0,0,0,0,0,0,0,0,0,0,0,0.121428894849582,0,0,0,0,0,0,0,0,0.161727062080543,0,0,0,0,0.048380547560471,0.0431230655100769,0,0.146358624128709,0,0,0,0,0.255739691640826,0,-0.222463674805465,0,0.0179805016057964,-0.0200191615872098,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,-0.0525365697344261,0,0,0.0693490181177971,0,0.0881918157658132,0,0,0,0,0,0,0,0.123963881320673,0,0,0.190085862507129,0,0,0.00787672488097415,0,0,0,0,-0.0302369110064343,0,0,0.0427317648771695,-0.0635740166256501,0,0,0,0,-0.058406531521004,0,0,0,0,0,0,0,0,-0.014907886350672,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0529947508302161,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,-0.0385127180920071,0.0942479470524092,0.0341372983430122,0,0,0,0,0,-0.0901405561767309,0.37344252041345,0,0,-7.17289088632191e-06,0,-0.0187104460759188,0,0,0,0.0403498123885606,0.0316819148760178,0,0,0,-0.00467035835377139,0,0,0,0,-0.193506601631116,0,0
X600111.SH,0,0,0,0,0,0,-0.00641175883725067,0,0,0,0,0,0,-0.0353539986602943,0.209338709291686,0,0,-0.0258669153815016,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307755883380074,0.0549989471788077,0,0.118528534185044,0,0,0.141195411215498,0,0,8.67361737988404e-19,0.408525157596614,0,0,0,0.0201918560935888,0.252311098693004,0,0,0,0.0847770825328776,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.0178204710493029,0,0,0,0.382163552919532,0,0,0,0,-0.136971757314183,0.35760969595913,0.351933688244203,0,-0.124799549257432,0,0,0,0,0,0,0,0,0.0203864698083283,0,0.181178191065709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,-0.0573766648231124,0,0,0,0,0,0,0
