,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600019.SH,X600111.SH,X002466.SZ,X600010.SH,X000877.SZ,X002271.SZ,X600660.SH,X600011.SH,X000708.SZ,X600188.SH,X601600.SH,X000301.SZ,X600547.SH,X601898.SH,X600362.SH,X600886.SH,X600176.SH,X000723.SZ,X600426.SH,X000786.SZ,X600219.SH,X600803.SH,X002080.SZ,X601991.SH,X000408.SZ,X600795.SH,X600688.SH,X600027.SH,X300037.SZ,X000807.SZ,X300073.SZ,X600801.SH,X000825.SZ,X600352.SH,X002353.SZ,X002326.SZ,X600489.SH,X000630.SZ,X000959.SZ,X600141.SH,X600516.SH,X000960.SZ,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0357215167938285,0,0,0,0.059756839713368,0,0,0,0,0,0.0216208279972598,0,0.075365871987669,0,0,0,0,0,0.0529834378114879,0,0,0,0,0,0,0,0,0.162185433719558,0.108412693236377,0,0,0,0,0,0,0,0,0,0,0,0,0.0942740253753852,0.00463917988080038,0,0,-0.00574390425213167,0,0,0,0,-0.0782405350269856,0,0
X600028.SH,0.036856869281547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0753175130611437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149867712952604,0.0271827948548252,0,0,0,0,0,0,0,0,0,0,0,0,0.00230701199843363,0.0302885038943087,0,0,-0.00820412339476875,0.0205319427502531,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0161458383779009,0,0,0,0,0,0.0657531633152966,0,0.227483055043051,0,-0.174874517071412,0,0,0,0,0,0.117479402779226,0,0,0,0,0,-0.0545860639623177,0,0,0.187353283207989,0,0,0,0,0,0,0,0.129760011804727,0,0,0,0.098611244023206,0,0,0,0,0,-0.0107786240511548,0,0,0,0,-0.0115133351903409,0,0
X600309.SH,0,0,0,0,0,0.0593519156828341,0,0,0,-0.115097488223025,0,-0.0761430999522024,0.12827821931853,0.102148441468944,0,0,-1.73472347597681e-18,0,0,0,0,0,-0.0409799695614231,0,0,0,0,0,0,0.0839114882830668,0,0.0847943000400378,0,0,0,0,0,0,0,0,0,0,0,0,0.108714820704627,0.0881495958340304,-0.0281175542118492,-0.069660137844266,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.0948117483939179,0,0.200927682305279,0,0,0.0149194354236943,0,0.00832958613761997,0,0,0,0,0,0,0.261222395387402,0,0,0.0245614192149015,0,0,-0.0801376297960984,0,0,0,0,0,0,0,0.0321446863764458,0.266057188975461,0,0,0,-0.125585892090515,0,0,0,0,0,0,0,0,-0.0104007616946354,0.0134186975175735,0,0,0,-0.0159264494312749,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.454461782937682,0,0,0,0.194584944528139,-0.0553100768341173,0,0,0,0,0,0,0,0,0.150719712994455,-0.0699931786740568,0,0,0,0,0.0421656478693967,0,0,0,0,0,0,0,0.0441424115350013,0,0,0,-0.162648257486747,0,0,0,0,0.243936251939896,0,0,0,0,-0.0117202905958485,0,0,0,0,-0.0291082850591857,0,0
X000792.SZ,0,0,0,0,0,0,0,-0.230960693550057,0.258561193700916,0.289597634383933,0.0331596071281327,0,0,0,0,0,0.0796182709119538,0,0.219484156591235,0,0,0,0,-0.00524576045469901,0.0106945924592375,0,-0.207362698254581,0,0,0.0602326516456219,0,0.207655997633292,0,0,0,0,0,0,0,0,0,0,-0.134213824848733,0,0,0,0,0,0.00824509299981541,0,0,-0.0604823973616976,0.0944888102289829,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0153584683411159,0,0,0.0490028016264427,0,0.0501178470223943,0,0,0,0,0,0,0.0668739264190438,0,0,0,0,0,0.0136966309796227,0,0,0,0,0,0,0.0969110178263949,0,0.0473468756507368,0.0267375359080961,0,0,0,0,0,0.074339521086283,0,0,0,0,0,-0.000596867038822938,0.0251415927737216,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.49461437511969,0.0580206033066514,0,0.0870639134634003,0,0,0,0,0.0763135971022724,0.117355004663294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614357720853734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0787747108856327,0,0
X002466.SZ,0,0,0,0,0,0.414532557916276,0.233887942007043,0,0,0,0,0,0,0,0,0,0.014139732259064,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117568754993324,0.281092801835452,0,0,0,0,0,0.202937227273367,0,0,0,0,0,0,0.0172205786160607,0,0,0,0.0504253161105868,0,0,0.0438591489431502,0,0,0,0,-0.0383834606167916,0,0
X600010.SH,0,0,0,0,0,0,0.0657123215092607,0,0.26354143597993,8.67361737988404e-19,0,0,0,0,0,0,0.167744859590458,0,0.0287729932453139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230477587047164,0,0.177621808391737,0,0,0,0,0,0,0.194328814230233,0,0.0196881375045191,0,0,0,0.0145436325560841,0,0,0,0,0.0745438040115953,0,0
X000877.SZ,0,0,0,0,0,0,-0.00315631360810433,0,0,0,0.0433999540267551,0,0.0349664806574177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248651649106511,0,0,1.73472347597681e-18,0,0,0,0,0,0,2.16840434497101e-19,0,0.266464720905584,0,0,0,0.00200749852396453,0,0,0,0.0928406354792844,0,0,0,0,-0.0602374559522523,0,0,0,0,0.056618564549252,0,0
X002271.SZ,0,0,0,0,0,-0.00432436737044259,0,0,0,0,0,0.11832819438797,0,0.207509267207309,0,0,0,0.0551376404412757,0,0,0,0,0,0,-0.0569894335399318,0,0.785726392095356,0,0,0,0,0,0,0,-0.0713659833198918,0,0,-0.0816632854855541,0,0,0,0,0.0173865216281071,0,0,0,0,0,0,0,0,0,-0.0260450302818161,0,0,0,0,0,0
X600660.SH,0,0,0,0.174779598485256,0,0,0,0,0,-0.129612324429817,0,-0.117375868769188,0.0505075333129827,0,0,0,0,0,0,0,0,0,0,0,0.0487747578453934,0,0,0,0,0.0140077969574624,0,0,0,0,0,0,-0.019294651088136,0.0620373211834166,0,-0.0065283956806889,0,0,0,0,0,0,-0.0403831831163802,-0.0189499648726646,0,0,0,0.0173463989449185,0.0285001800587477,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.149398878051992,0,0.0307149078218522,0,0,0,0,0.144120054020418,0,0,0,0,0.365696805459852,0,0,0,0,0,0,0,0,0,0,0,0.0242119743912301,0.00995154260715204,0,0.128389557149139,0,0.0309431067927335,0,0,0,0,0.00592805780204425,0,0
