,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600660.SH,X600886.SH,X601600.SH,X600547.SH,X000792.SZ,X600795.SH,X002466.SZ,X601699.SH,X002460.SZ,X000708.SZ,X000301.SZ,X600010.SH,X600362.SH,X600111.SH,X000983.SZ,X600027.SH,X000877.SZ,X600803.SH,X600426.SH,X600160.SH,X600489.SH,X000786.SZ,X601991.SH,X600985.SH,X000408.SZ,X002271.SZ,X000933.SZ,X000630.SZ,X000807.SZ,X600176.SH,X000932.SZ,X601168.SH,X002128.SZ,X600348.SH,X600612.SH,X600219.SH,X600096.SH,X601666.SH,X300037.SZ,X600995.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.306872625786665,0,0.267638389736409,0,-4.33680868994202e-19,0,0.155840916180785,0,0,0,0.0571719257274752,0,-0.295765036814114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133457705311259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106893128268602,0.106028081760842,0.0902168413937627,0,0,0,0
X601088.SH,0,0,0,0,0.119479165738612,0.131557728052682,0,0.0325786250713771,0,0,0,0,0,0,0,0,0,-0.0578187602601821,0,0.0589264593148642,0,0,0,-6.93889390390723e-18,0.0399454334644461,0,0,0,-0.00416877642293656,-0.14315243827469,0,0,0.0740401124909376,0,0,0,0,0,-0.00428285395662895,0,0.0756182736876659,0,0,0,0,0,0.225221995817814,0,0,0,0,-0.00814687135496607,0.00446381408743358,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0864125011428645,0,0,0,-0.1135310580221,0.0490644573312425,0,0.191735681166038,0,0,-0.036350093497319,-0.0711655128070711,0,0,0,0,0,0,0,0.0676581898969406,0,-0.0602992664022444,0.0212611821467123,0,0,0,0,0,-0.159317619721071,0,0,0,0,0,0.369403438043089,0.0903632024726988,0,0,0,0,0,0,0,0,0,0,-0.0173419674519987,0.013316753720318,0,0,0,0,0,0
X600309.SH,0.243575250572415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782366428614517,0,0.0208460489785296,0,0.0777455431159765,0,0,0.0850137540207215,0,0,0,0,0.223278867308965,0.140964540512191,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.048484146328014,0,0,0,0,0,0,-0.0109249334254505,0,0,0,0,0,0
X600188.SH,0,0.0366056152347066,0,0,0,0.175393773692328,0,0,0,0,0,0,0,0,0,0,0,-0.0624083794866282,0,0,0,0,0,0.193791648954054,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124795788346283,0.0810950451041824,0.264237133105308,0,0,0,0,0,0,0,0,0.00394940700246132,0,0,0,0,0,0,0
X601898.SH,0,0.0685536851745817,0.119435744755909,0,0.306180170917929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113155002148218,0.349680569744945,0,0,0,-0.0176513521893286,0,0.0873225438872967,0,0,0,0,0,0,0,0,0,0.0342184991085921,0,0,0,0,-0.197473991034627,0,0,0,0,0,0,-0.0179549957458639,0.0260154718754814,0,0,0,0,0
X600019.SH,0,0,0,0,0.113430683907492,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.104185645572991,0.0273575720084225,0.0695161780599954,0,0,0,0,0,0.0895002562549352,0,0,0,0,0,0,0,0,0,-0.0814838359803336,0,0,0,0,0,0.13694314386359,0,0,0,0,0,0,0,0,0,0,0.00824020611648462,0.0120497509245773,0,0,0,0,0,0
X600011.SH,0.0654215778352508,0,0,0,0,0.15452979295905,0,0,0,0,0,0,0,0,0.0116361102181346,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.302631657970797,0,0,0,0,0,0,0.192532039124082,0,0,-0.0293923252869096,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048924039984177,0,0,0,0,0,0,0,0,0,0
X600585.SH,0.101720513712091,0,0,0.0186488849171567,0,0,0,0,0,0,0,0.298359094001333,0,0,0,0,-0.0439757090760909,0,0,0.00624034223985223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0946664018531718,0.017315048305502,0.0147126351168791,0,0,0,0,0,0,0,0,0,-0.0347546649075456,0,0,0,0,5.42101086242752e-20,0.00457368673673601,-0.116002403960573,0,0,0,0,0
X600660.SH,0,0,0,0,0,-0.123693016273357,0,0,0,0,0,0,0.0920791051669825,0,0,-0.0321690511092529,0,0,0,0,0,0,0,0.0313283047289804,0.051442933296487,0,0,0,0.0261269118118698,0,0,0,0,0,-0.178619441890489,0,0.00622087191422031,0,0,0,0,0,0,0,0,0,0,0.117556126461558,0.0466787015759,0,0,0.0203892246804387,0,0.139426780363802,0.214261001064688,0,0,0,0
X600886.SH,0,0,0,0,0.100058515559694,0.0511023603384916,0,0,0,0,0,0,0,0,0.268061323399227,-0.0279332727913819,0,-0.00393079702796743,0,0,0,0,0,0,0,0,0,0,0,0,-0.0481161500159846,0,0.0317163974411513,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.110901019996241,0,0,0,0,0,0,0,0.117130821935216,-0.0262272989622955,0.0260304859038953,0,0,0,0,0,0
