,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X000708.SZ,X600547.SH,X600660.SH,X002460.SZ,X002271.SZ,X600011.SH,X000786.SZ,X600886.SH,X600176.SH,X600362.SH,X600426.SH,X601600.SH,X601898.SH,X600010.SH,X600801.SH,X600188.SH,X600352.SH,X000301.SZ,X600489.SH,X600111.SH,X600795.SH,X601991.SH,X600688.SH,X600803.SH,X002075.SZ,X600299.SH,X600486.SH,X600027.SH,X000932.SZ,X600219.SH,X601992.SH,X300037.SZ,X002080.SZ,X002353.SZ,X002466.SZ,X601168.SH,X002409.SZ,X000630.SZ,X000898.SZ,X000883.SZ,X000027.SZ,X000807.SZ,X600315.SH,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.00672659494408252,0,0,0,0,0,0.00920087763622452,0.0259347851931285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036069548633539,0,0,0.00102629854943514,0,0.00301763856268876,0.0102696274547506,0,0.0867039317247957,0,0,0,0.0530229118361771,0,0,0,0,-0.0187497566902011,0,0,0,-0.00929076502254271,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0.00287685884234929,0,0,0,0.0336003552490476,0,0,0,0,0,0,0,0.0228361896511718,0.00245484980452738,0,0,0,0,0.0199421586259866,0,0,0,0,0,0.0382045016487817,0,0,0.0347425013858562,0,0,0.0180974196400783,0,0,0,0,0,0.0580687750059982,-0.02914979804224,0,0,-0.00134177372265532,0,0,0,0,-0.00962831387828403,0,0
X601088.SH,0,0,0,0,0,0,-0.0131901445073762,0,0,0.103407235474973,0,0,0,0,-0.00396982621231438,0,0,0,0,0,0,0.288842432690499,0,0.0206075894445972,0,0,0,0.0204323231209274,0,0,0,-0.0422980920441126,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0134907770180691,0,0,0,0,0,0,0,0,-0.00909279912305314,0,0
X600585.SH,0,0,0,0,0,0,0,0.0837133976496981,0,0.0992740946755043,0,-0.0381668105401439,0,0,0,0,0.0449950746109251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585436903537658,0,0,0,0,0,0,0,0,0.038587157493663,0,0,0.0147138528769157,0.0055902249677853,0,0,0,0.0106865384873856,0,0
X600309.SH,0,0,0,0,0,0,0.0697471354002459,0.0140280925290301,0,0,0,0,0,0,0,0,0.320668880836387,0,0,0,0,0,0,0,0.133830890566626,0,0,0,0,-0.160509251752258,0.16467348263618,0,0.109417798626742,0,0,0,0,0.177499930420997,0.0778064907170922,0.316907419216977,0,0,0,0,0,0,0,0,0,0,0,0.0115333413700329,0,0,0,0,0.00839411114742937,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0395777060269084,0,0.118502712189332,0,0,0,0,0,0,0,0,0,0.0288810690110033,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.00109263800196191,0.235229988169724,0,0,0,0.0050310404219737,0.0157514016718581,0,0,0.0503826860466531,0.0362299202747521,0,0,0,0.0115923368933353,0,0
X000708.SZ,0,0,0,0,0.0434744228809566,0,0,0,0,0,0,0.0435378562053299,0.03367190519621,0,0,0,0,0,0,0,0.0843662087454718,0,0,0,0,0,0,0,0,0.100841032175083,-0.0620757453137561,0,0,0,0.1211320156271,0,0,-0.096928620038411,0,0,0.190699682328664,0,0,0,0,0,0,0,0.0358612848623355,0,0,0,0,0,0,0,0.0535496862251813,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0.0760060318548554,0,0,0,0,0,0,0.0386153679271509,0,0,0,0,0,0,0,0.632861070435265,0.0742527562858716,0,0,0,0,0,0,0,0,0,0.0568957739269031,0,0.0324992276551585,0,0,0.0301327987388458,0,0,0,0,0,0,0,0.053152895999559,0,0,-0.00859424811087707,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,-0.0919553835861135,-0.0109128368491824,0,0,0,-0.0626465479843625,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.136663816784536,0,0,0,0,0,0,0.20671175469012,0,0,0,-0.0797233248224564,0,0,0,0.254032677903378,0,0,-0.0258332866101465,0,0,0,0,0,0,0,0,0,0,0,0.0662480801287407,0,0,0,0.00946799459486855,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.0395472345436009,0,0.0851666153583859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494130413621213,0,0,0,0,0,0,0,0.26914673342411,0,0.103704937845403,0.322745067043599,0.121918200632094,0,0,0,0,0,0,0.0222098247817362,0,0,0,0,0,0,0,-0.066035685484434,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0.00868441280585139,0,0,-0.0567594046800331,0,0.177300750905459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10404495670333,-0.105324876707068,0,0,0,0,0,0,0.164523039197683,0,0,0,0,0.125147736218294,0,0,0,0,0,0,0,0,0,0.105271984066631,0,0,0,0.0589178468589179,0,0
