,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600011.SH,X600309.SH,X601898.SH,X002466.SZ,X600688.SH,X600660.SH,X600795.SH,X002460.SZ,X300072.SZ,X601992.SH,X600362.SH,X600188.SH,X601991.SH,X600547.SH,X600111.SH,X600516.SH,X600886.SH,X000898.SZ,X000709.SZ,X600157.SH,X000792.SZ,X600027.SH,X000786.SZ,X000408.SZ,X600176.SH,X600339.SH,X000553.SZ,X600219.SH,X000959.SZ,X600489.SH,X000723.SZ,X002271.SZ,X600352.SH,X601158.SH,X600808.SH,X000883.SZ,X000807.SZ,X002092.SZ,X000630.SZ,X000983.SZ,X600299.SH,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0342859380813057,0,0,-0.049095200537382,0,0,0.15040545672789,0.0884536607395471,0,0,0,-0.0168943790038879,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0554373393882125,0,0,0.0036076778491078,0,0,0,0,0.00394350276029444,0.142486041620319,0,-0.0330855691135386,0,0,0,0,0,0,0,0,-0.0183909895513465,0.022160244859053,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0468780961793401,0.00203467920390013,0,0,0,0,0,0,0,0,0.000386939961927619,-0.0288210328176667,0,0,0.0280050903482206,0,0,0.000734713596621177,-0.00665334767107934,0,0,0,0,0,0,0,0,0,0,0.0229515558425656,0,0,0,-0.0109766453134002,0.0604501465111567,0.0176435736796201,0,-0.0138581523291059,0,0,0,0,0,0,0,0,-1.0842021724855e-19,-0.000349521874105538,0,0,0,0,0,0
X601088.SH,0,0,0,0.0499423628713117,0,0.00618083395163123,0,0,-0.0608094827853357,0,0,0,0,0.930937302867665,-0.00121671103521215,0,0,0,0,0,0,0.0291351964383327,0,0,0,0,0,-0.0686354279763493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899113030073025,0,0.0579056676985816,0,0,0,0.0598065378857908,-0.046205319955719,0,0,0,0,0,0
X600019.SH,0,0,0.0120207428539163,0,0,0,0,0,0.0733790497455344,0.0662547684094011,-0.0616697918726168,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273595769729662,0,0,0,0,0,-0.0657692344439583,0,0,0,0,0,0,0,0,0,0,0.230947114869361,0,0,0,0,0.084967044981568,0,0,-0.147302504812686,-0.0340145601668482,-0.00139335199162829,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0554591492127405,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0894977354550001,0,0,0,0,-0.101025650903482,0,0.0975868164263808,0.0140819439184756,0,0,0.0300380537968135,0,0,0,0,0,0,0,-0.00623284911715455,0,0.122338153076044,0,0,0,0,0,-0.088070683079705,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0.179798744442986,0,0,0.400256949131594,0,0.0594434713153132,0,0.0469715544623045,0,0,0,0,0.0221892881854385,0,0,0,0,0,0,0,0,0.0749060120357161,0,0,0,0,0.0568690078821487,-0.115340363119723,0,-0.0820990578760279,0,0,0,0,0,0,0,0,0,0,0.0513132591256638,0,0,0,0,0.186069261787888,0,-0.010549910973934,-0.00521694601192482,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0264496688204843,0,0,0.0844679665629827,0,0,0,0,0,0,0,0,0.199010663689064,0.0224256000857947,0,0,0,0,0,0,0.201399619508906,0,0,0,0,0,0,0,0.076733914966626,0,0,0,0,0,0,0,0.135078282681954,0,0,0.0392419065786521,0,0.133680785863192,0,0.0155059365026038,0,-0.0123250397597444,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,-0.0109042842441318,0,0,0,0,0,-0.019801329007875,0,0,-6.93889390390723e-18,0.155196280601635,0.072293481933548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0807596182659765,-0.062067377123207,0,0.0310663137862555,0,0.00286151098187044,0,0,0,0,0,0,0,0,0.1042423090581,0,0,-0.0312637460072225,0.0233440642123547,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.483585176448877,0,0,0,0,0,0.13208502826404,0,-0.0582465822100471,0,0,0,0,0,0.185522800619631,0,0.0423694128583064,0,0,0,0,0,0,-0.171922576156356,0,0,0,0,0,0,0,0,-0.402981273978661,0,0,-0.0210442708752764,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0.0269665726700334,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.00344472509239741,0,0,-0.000499218787127995,0,0,0,0,0,0,0,0.0176684140327228,0.0598543595178649,0.443411687332587,0,0,0,-0.00367784225999147,0,0.154660813988887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069912035926537,0.0194725874213608,0,0,0,0,-0.00187222140088932,0,0,0,0,0,0
X002466.SZ,0,0,0,0,-0.0586352226897637,0,0,0,0,0,0,0,0,0,0.546381403590379,0,0,0,0,0,0,0,0.0188685803999609,0,0,0,0,0,0,0.0394820133279047,0.0780647384836425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086088312363236,0,-0.00654939575020495,-0.0116642550782582,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0.148616693848241,0,0,0,0,0,0,0,0,0,0,0,-0.12655475696009,0,0,-0.0748044870313335,0,0.0523364098482938,0,-0.0465956465450194,-0.190907032765208,0,0,0,0,0,0,0,-0.00823572091741813,0,0,0.0282424391672733,0,0.0680259627606936,0,0,0,0.228275387875399,1.73472347597681e-18,0,-0.0394679074522261,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.0914345127150762,0,0,0.015042882190075,0,0,0,0,0,0,0.119348121460963,0,0,0,0,0,0,0.0481445261877665,0,-0.0237445437745239,0,0,0,0,0.0109083103132418,0,0.01839836262448,0,0.100352793202349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0699997632310814,0.0689943132804021,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,-0.0657878114790853,0,0,0,-0.0171976211128176,0,0,-0.374654519703288,0,0.062761465229483,0,0,-0.00227902456414542,0,0.0867256795970703,0,0,0,0,0.00970857825559041,0,0,0,0,0,0,0,0.104271800281176,0,0,0,0.119337469523646,0,0.0925857832763896,0,0,0,0,0,0,-0.0161208768017491,-0.0115836688682101,0,0,0,0,0,0
