,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X002460.SZ,X600660.SH,X000708.SZ,X002271.SZ,X600011.SH,X000786.SZ,X600886.SH,X600176.SH,X600362.SH,X601600.SH,X601898.SH,X600426.SH,X600010.SH,X600801.SH,X600352.SH,X600188.SH,X600489.SH,X000301.SZ,X600111.SH,X601991.SH,X600795.SH,X600803.SH,X600688.SH,X002075.SZ,X600299.SH,X300037.SZ,X000932.SZ,X600486.SH,X600027.SH,X600219.SH,X002466.SZ,X601992.SH,X002080.SZ,X002353.SZ,X601168.SH,X000898.SZ,X000630.SZ,X002409.SZ,X000723.SZ,X000878.SZ,X600315.SH,X600529.SH,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,-0.00508749731813171,0,0,0,0,0.0823706384186561,0,0,0.128456250882625,0,0,0,0,0,0,0,0,0,0.00962358023230887,0,0,0,0,0,0,0,0,0,0.0633222484677375,0,0,0.0202747934755165,0,0.0152553361683314,0,0,0,0,0,0,-0.0104225736129386,0,0,0,-0.0114477525544678,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647334051301338,0,0,0,0,0,0,0,0,0.0244376471395254,0,0,0,0.00747714537308934,0,0,0,0,0,0,0,0,0.014985592505806,0,0.0285921850913131,0,0.0105811076555748,0,0,0,0,0.0240958574905245,0,-0.0160791698513606,0,0,-0.00572255635932429,0,0,0,0,-0.0126489402746677,0,0
X601088.SH,0,0,0,0,0,0,0,0.101576414984092,-0.00514803152193554,-5.42101086242752e-20,0,0,0.0186420831637778,0,0,0,0,0,0,0,0,0.0239012885459147,0.302492576899456,0,0.00654220851318041,0,0.0468086214317762,0,0,0,0,-0.0588040710093327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,-0.00946359667722067,0,0,-9.74894431163596e-05,0,0,0,0,-0.0104369812998571,0,0
X600585.SH,0,0,0,0,0.0647921835857345,0,0.153597477398878,0.0576447566512543,0,0,0,-0.0297345491868968,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.00564868767274977,0,0,0,0,0,0,0,0,0,0.0126842846892788,0,0,0,0,0,0,-0.0671027680604526,0.0206204532865093,0,0,0,0,0,0.0888707516838354,0,0,0,0.0155023706244089,0,0,0,0,0.0141880062370432,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341716560070462,0,0,0,0,0.265631898620991,0,0,0,0,0,0,0,0,0.159347161640799,0,0,0,0,0,0,0.0023765367614164,0.308325287845878,0,0,0,0,0,0,0,-0.293145929961859,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0104247071633317,0.224077360944367,0,0,-0.0226299048157924,0,0,0,0,0,0.0406643886773232,0.0142299271789298,0,0,0,0,0,0,-0.00428366416324974,0,0,0,0,0,0,0,0,0,0.127964551209748,0,0.0175339631573773,0,0,0.0577274292983344,0,0,0,0.0507521051453715,0.0459695208116073,0,0,0,0.0244523127061562,0,0
X600547.SH,0,0,0,0,0,0,0,0.133578640242666,0,0,0,0,0,0,0,0,0,0,0.0584896476762835,0,0,0,0,0.574141168909188,0,0.0303793640470961,0,0,0,0,0,0,0.0115634367906849,0,0,0,0.0549825579207131,0.0294731529184416,0,0,0,0,0,0,0,0,0,0.0197491583591105,0,0,0,-0.0117615825106663,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.0577471397185262,0,0,0.0281588017298858,0,0.102264033325865,0,0,0,0,0,0,0,0,0,0,0,0,0.048110148633721,0,0.0915962477129302,0,0,0,0,0,0,0.274772673723103,0,0,0,0,0.296912329735445,0,0,0,0.162058069605524,0,0,0,0,0.020788492939626,0,0,0,0,0,0,0,0,0,-0.0382177360003147,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,-0.0571575246834619,0,0.0251336080618441,0,0,0,-0.121125092790394,0,0,0,0.11959201319187,0.0337310518570507,0,0.0981608728371083,0,0,0,0,0,0,0.0468540341191008,0,0.31454856162004,0,0,-0.0572533139045929,0,-0.0554480876328968,0,0,0,0,0,0,0,0,0.0553695179085546,0,0,0,0,0,0.0467121616368252,0,0,0,0.0135334050833927,0,0
X000708.SZ,0,0,0,0,0.0470823978732941,0,0,0,0.0339468934135731,0,0,0,0.0474339444131146,0,0,0,0,0,0,0,0.106911977392675,0,0,0,0,0,0,0,0.096420220862706,0,-0.0680497634758474,0,0,0.0856488465360851,0,0,0,0,0,0,0.0104776915898257,8.67361737988404e-19,0,0,0,0,0,0.025899536104109,0,0.111370472216873,0,0,-0.0423682606512181,0,0,0,0.0395546483616958,0,0
