,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X600188.SH,X601898.SH,X600688.SH,X600362.SH,X600660.SH,X600795.SH,X002466.SZ,X300072.SZ,X601992.SH,X000898.SZ,X601991.SH,X600547.SH,X600516.SH,X600886.SH,X600111.SH,X600176.SH,X600157.SH,X000709.SZ,X000786.SZ,X002460.SZ,X600352.SH,X601699.SH,X000825.SZ,X600027.SH,X000553.SZ,X002271.SZ,X600808.SH,X000983.SZ,X600299.SH,X000792.SZ,X600489.SH,X000959.SZ,X601158.SH,X000830.SZ,X600219.SH,X000408.SZ,X002110.SZ,X000883.SZ,X600583.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.435676063667668,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0.168490944188453,0,0.0057324512895001,0,0,0,0,0,0.0600047360866022,0,0,0,0,0,-0.0271084745453512,0.0955014132944623,0,0,0,0,0,0,0,0,0,0,-0.0108708611106655,0,0,0,0,0.0728298522634055,0,0,0,-0.00298174723415231,0,0,0,0,0,0
X600028.SH,0.596578642589274,0,0.155149910569257,0.00270815566443109,0,0,0,0,0,0,0,0,0,0,0,0,-0.0350284100036553,0,0,0.167038483179609,0,0,0,0,0,0,0,0,0,0.0271673530087509,0,0,0,0,-0.171497116119928,0,0,0,0,0,0,-0.0318325564552625,0,0,0,0,0.148991507433272,0,0,0,-0.0122141550172947,0,0,0,0,0,0
X601088.SH,0,0,0,0.205472411645016,0.180595655522207,0,0,0,0,0,0,0,0,0,0,0,-0.0104548074708704,0,0,0.132947342674703,0,0,0,0,0,0,0,0,0,0.210402239650142,0,0,0,0,0,0,0,-0.0481147473350823,0,0,0,0.0695276977113072,0,0,0,0,0,0,0,-0.0207376691512284,0.0377207800960003,0,0,0,0,0,0
X600019.SH,0,0,0.276616879802082,0,0.105510337883865,0,0,0,0.0991741093828123,0,0,0.0402276338594834,0,0,0,0,0,0.448329397321999,0,0,0,0,0,0,0,0,0,-0.22173805462096,0,0,0,0,0,0.0205285776561089,0.0497971411236902,0,0,0,0,0,0,0,0,0,0.0413105205324341,0,0,0,0,0,0.00762858561512059,0,0,0,0,0,0
X600585.SH,0,0,0,0.00257844240438565,0,0,0,0,0.402731435889948,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0529367741827832,0,0,0.184303475043219,0,0,0,0,0,0,0,0,0,0,-0.18408175286276,0,0,0,-0.0306210224870261,0,0,-4.33680868994202e-19,0,0,0,0,0,0.00426548295125844,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00922763414584987,0,0,0,0,0,0,0,0,0,0.00303037430714635,0,0,0,0,0.162216069658677,0,0.108820624873863,0.248607014303676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272320946222919,-0.0105833962459566,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.0504503097776687,0,0,0,0,0,-0.0767300534602009,0,0,0,0,0,0,0,0,0,0,0,0.021435435055627,0,0,0,0.182667005877061,0,0,0,0.0605335756011273,0,0,-0.0204856953179797,0,0,0,0.00194388594670692,0,0,0,0.0244577940437429,0,0,-0.124646660117932,0,0,0,0,-0.0489028121123009,0.0708879571661049,0,0,0,0,0,0
X600011.SH,0,0,0,-0.0604277303222746,0,0,0,0,0,0,0,-0.025269848287051,0,0,0,0,0,0,0.225262807116616,0,0.0262588401025626,0,0,-0.0458146882584492,0,0,0,-0.0156197507951029,0,-0.018259542730195,0,0,0.19058550992235,0,-0.0799295823586066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00374848643184303,-0.0108878110631843,0,0,0,0,0,0
X600188.SH,0,0,0,0.0402953672639679,0.193333473035341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361863116688372,0,0,0.138720056522347,0.102580416975909,0,0.420120225071774,0,0,0,0,0,0,0,0,0,0,0,0.056757255074828,0,0,0,0,0,0,0,0.0151673957585991,-0.0361294022772093,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.0473588994499293,0,0,0.0793938671870187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194680304603679,0,0,0,0,0,0,0,0.100712856298488,0,0,0,0,0,0,0.00476663948651001,0,0.0353157186954434,0,0,0.0116230836187053,-0.0306317787051866,0,0,0,0,0,0
X600688.SH,0,0.353322206161767,0,0,0,0,0,0,0,0,0,-0.0568442925319213,0,0,0,0,-0.069628015963936,0,0,0,0,0,0,0,0,0,0.0152624680881747,0,0,0.0914615834697155,0,0,0,0,0,0,0,0,0,0,0,0.0225079077099992,0,0,0,0,0.123241761536134,0,0,-0.0297699240606678,0.0156238406136833,0,0,0,0,0,0
X600362.SH,0,0,0.00269535802888328,0.415299141355252,0.0168754652204841,0,0,0,0.0362107525487281,0,0,0,0,0,0,0,0,0,0,0,0.126603042199104,0,0,0,0,0,0,0,0,0,0.0895254890195066,0,0.0069984927330765,0,0,0,1.73472347597681e-18,0.0620981908100254,0,0,0,0,0,0,0,0,0,0.595386353665844,0,0,-0.0462332731565474,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,-0.0326548299145755,-0.132007787327947,0,0,0,0,-0.0564525595728928,0,0,0,0.0827734320812502,0,0,0.150185374241053,0,0,0,0,0,0,0,0,0.0663332164048454,0.386433929754134,0,0,0.0498327832914343,0,0,0,0,0,0,0,0.000561124828662716,0,0,0,0,0.00381369955102936,-0.0275461604328014,-0.0824897181043245,0,0,0,0,0
