,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601600.SH,X600886.SH,X601898.SH,X600660.SH,X601991.SH,X600362.SH,X600795.SH,X600688.SH,X600188.SH,X600352.SH,X600111.SH,X600801.SH,X600027.SH,X000723.SZ,X600489.SH,X601992.SH,X002271.SZ,X000898.SZ,X600176.SH,X600516.SH,X000786.SZ,X002460.SZ,X000709.SZ,X600612.SH,X002466.SZ,X600299.SH,X000629.SZ,X000883.SZ,X601158.SH,X600426.SH,X002353.SZ,X600219.SH,X601699.SH,X000630.SZ,X600583.SH,X600021.SH,X000553.SZ,X600985.SH,X600578.SH,X000825.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0665545500595839,0,0.102499420194365,-0.0110903929604621,0,0,0,0,0,0,0,0,0,0.0182757016061537,0,0,0,0.0365293095178944,0.0225842735786708,0.060808838327858,0,0,0,0.0467075633897083,0,0,0,0.0586658790859915,0,0,0,-0.0530058529223549,0,0,0,-0.0111388512616546,0.0180115111594517,0,0,0,0.00668778204444362,0,0
X600028.SH,0,0,0,0,0,0,0,-0.0297249413797414,0,0,0,0,0,0,0,0,0,0.154085529806766,0.00605769146451161,-0.00637497601100729,-0.00158802138999117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131378220351678,0,0,0,0.0271006793614655,0.0873205705056552,0,0,0,0,0,0.037844182410227,0,0,0,0,0,-0.0246374165572993,0.011345841241976,0,0,0,0,0,0
X601088.SH,0,0,0,0.00441487755294362,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148986874404001,0.0313863164035332,0,0.0321553860020335,0,0.0229419559980171,0,0,0,0,0,0,0,0,0,0,0,0.0858647694638476,0.11351699972684,0,0,0,-0.102803861553968,0,0,0,0,0,0.091534236504951,0,0,0,0,0,-0.00667416683814081,0.0430810575099544,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0271491448565582,0,0.0297220243899217,0,0,0,0,0,0,0,0,0,0,0,0.0304795043578116,-0.0148233035722199,0.409648968343222,0,0.0153562709190505,0,0,0.315917482662211,0,0,0,0,0,0,0,0,-0.012164293696231,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0177127304014938,0,0,0,0,0,-0.00178482781912883,0,0,0,0.0207099520825553,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0293330783965522,0,0,0,0,0,0,0,0,0,0.291439828337636,0,0,0,0.0113384859351759,0,0,0,0.116689102154051,0,0,0,0,0,0,0,0,0,0.0546389150809473,0,0,-0.0608189598655349,0,0,0,-0.128976492186297,0,0.1662563587857,0,0,0,0,0,0,0.0290826110922585,0,0,0,0.0204358215209999,0,0
X600019.SH,0,0,0,0,0,0,0,-0.00465920337602136,0.0506671472565454,0.0616555898591274,0,0,0,0,0,0,0,0,0.100572261914085,0,0,0,0,0,0,0.120336485740711,0,0,0,0,0.0431784622155245,0,0,0,0,0,0,0,0,-0.0442587601313785,0,0,0,0,0,0,0,0,0,0,0,0,0.018523913563697,0,0,0,0.0242165403025842,0,0
X600547.SH,0,0,0,0,0,0,0,0.276184651260874,0,0,0.117207374132801,0,-0.248030189459125,0,0,0,0,0,0,0,-0.163204208160539,0,0.0157359828174588,0.831089332802629,0,0,0,0,0,0,0,0,0,-0.143464584187644,0,0,0.0125674664461438,0,0,0,0,0,0,0,-0.238156469369871,0.0730944450228629,0,0,0,0,0.0827056908311467,-0.0384717745820392,0.00966101277230886,0,0,0,-0.0279404785893955,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.101283360173638,0,0.0795501785925985,0,0,0,0,0,0,0,0,0,0.00323663436538399,0.628878567132593,0.0627077271899926,0,0,-0.05126268761198,0,0,0,0,0,0,0,0,0.0556369573543985,0,0,0,0,0,0,0,0,0,0,-0.121128081499849,0,0,0,0,0,-0.0119149305775148,-0.00262018441401395,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.00573287092769375,0,0,0,0,0,0,0.315417504585685,0,0,0,0,0.0348966272667961,0,0,0.110571808050867,0,0,0,0,0,0.0844972634966819,0,0.0184350874211147,0,0,0,0.188418754077363,0,0,0,0,0,0,0,0,0,0,0,0.121269790871169,0,0,0,0,0,-0.0484567358614068,0,0,0,0.108508617155533,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.262316999002253,0,0,0,0,0,0.185501581088052,0,0,0,0.0303153702093356,0,0.026627663300824,0,0.0135078785171226,-0.0443301985658152,0,0,0,0,6.93889390390723e-18,0,0.0571732914156973,0,0,0,0.111313438323346,0,0,0,0.184517109999809,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0228158053347574,0,0,0,0.0910512823913392,0,0
X600886.SH,0,0,0,0.203938075454757,0,0,0.029140425632534,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107689933398088,0,0,0.0868917883015183,0,0,0,0,0,-0.144596741707683,0.190192972655353,0,0,0,0.0869640921361329,0,0,0,0,0,0.0287516492008065,0,0,0,0,0,0.0875134714653255,0.00098715141962294,0,0,0,0,0,-0.0181967394775414,0.156656395710112,0,0,-0.0228193520885879,0,0
