,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600886.SH,X601600.SH,X600547.SH,X600585.SH,X600660.SH,X600795.SH,X000792.SZ,X600362.SH,X600027.SH,X000708.SZ,X600489.SH,X601699.SH,X600111.SH,X600010.SH,X600803.SH,X002460.SZ,X000983.SZ,X600160.SH,X600426.SH,X601991.SH,X000301.SZ,X002466.SZ,X000786.SZ,X000807.SZ,X000933.SZ,X002128.SZ,X600985.SH,X000630.SZ,X000877.SZ,X600176.SH,X600219.SH,X601168.SH,X600348.SH,X000408.SZ,X000883.SZ,X002353.SZ,X600096.SH,X600612.SH,X002271.SZ,X000027.SZ,X600995.SH,X601001.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.274901222452183,0,0,0,0.015132915442003,0,0,0.20403102537327,0,0,0,0,-0.155880729506294,0,0,0,0,0,0,0,0,0,0,0,-0.100674516083134,0,0,0,-0.0945271437714254,0,0.0885249655861421,0,0,0,0,-0.0218520145738096,0,0,0,0,0,0,0,0,0,0,0,0.0853557159727477,0,0,0.000319817922381456,0,0,0,0,0,0
X601088.SH,0.043844166070617,0,0.0812242906955516,0,0.138942883072331,0,0,0,0,0.137360188658226,0,0,0,0,0,0,0,0,0,0.119711520840575,0,0,0,0,0.0629967985415135,0,0,0,0,0,0,0,0,0,0,0,0,-0.017878144565415,0,0,0,0,0,0,0.00219551016126288,0,0,0,0,0.0694923706981344,0,0,0,0,0,0,0.053131180737536,0,0
X600028.SH,0.467467281927039,0,0,0,0,0,0,0,0,0.0434663986573736,0,0,0.0516642215986074,0,0,0,0,0,0,0,0,0,0,-0.0895698026424468,0,0,0,0,0,0,0,0.0441527028981776,0,0,-0.00266834390977745,0,0,0,0,0,0,0,0,0,0.0513786869636237,0,-0.0633627237961783,0.0351012792332143,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245218471144426,0,0.0880561230112448,0,0,0.101508478908155,0,0,0,-0.0140974427837038,0,0.0235511978898982,0,0,0,1.0842021724855e-19,0.00359021157503156,0,0,0,0,0,0.0954851425811938,0,0,0,0.00990163874300259,0,-0.134166684086934,0,0,0,0,0,0,0,0,-0.00300601486125238,0,0,0,0.0509471750388353,0,0
X600188.SH,0,0.0612731971209063,0,0,0,0.0051966873678682,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293053645231657,0,0,0,0,0,-0.0740551580878151,0,0,0,0,-0.0990850302754746,0,0,0.132522893991224,0.095413176104107,0,0,0,0,0,0.0197537691333483,0,-0.0230211156340715,0,0,0,-0.1370360615362,0,0,0,0,-0.121395163215003,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.116148167411348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259832300498744,0,0,0,0,0,0.00917041134274814,0,0,0,0.192616718068923,0,0,0,0,0.296334484415007,0,0.157125423028036,0,0,0,0,0.084275092814042,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195647938476812,0,0,0.380788852064248,0,-0.0364463149138836,-0.0663073927050155,0,0,0.0294616380903483,0,0,0,0,0.16805860417737,0,0,0,0,0,0.0592012108824006,0,0,0,0,0,0,0,0,0.0895859809008839,0,0,0,0,0,0,0,0,0.00337771381159602,0.0547341293017564,0,0,0,-0.0619034201418896,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.00992899524145801,0,0,0.0897919000239766,0,0,0.0661068258055671,0.113463626838212,0,0.0913606034651925,0,0,0,0,0,0.0292317419905153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590543707813891,0,0,0,0,0.121862470087943,-0.025768251304112,0,0.0558224576955243,0,0,0,-0.0259947268860808,0,0
X600886.SH,0,0,0,0,0,0,0,0.065664382238341,0,0,0,0,0,0.171098945230381,0,0,0,0,0,0,0,0.0045821904398186,-0.0376230771814424,0,0,0,0,0,0,0,-0.0881859349930112,0,-0.0567640308664583,0,0.0782800949204991,0.0385217241037333,0,0,0,0,0,0,0.105225227238874,0,0,0,-0.0779896995573846,0,0,0,-0.171901489432133,0,-0.00882093569720322,0,0,0,0,0,0
X601600.SH,8.67361737988404e-19,0,0,0,0,0,0.0480463885252869,0,0,0,-0.0270128069579659,0,0,0,0,0,0,0.0309711678876189,0,0,0,0,0.112136688231789,-0.0202479771846925,0,0.145607420803603,0,0,0,0,0,0.12639095295301,0.302857019517526,0,0.164111227277183,0,0,0,0,0.158117864533959,0,0,0,0,0,0.0909940053104371,0,0,0,0,0,0,0,0,0,0,0,0,0
