,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X600309.SH,X601898.SH,X601600.SH,X600688.SH,X600362.SH,X600795.SH,X600188.SH,X601992.SH,X002466.SZ,X601991.SH,X600660.SH,X600547.SH,X600886.SH,X300072.SZ,X600111.SH,X600516.SH,X000709.SZ,X600157.SH,X600027.SH,X002460.SZ,X000898.SZ,X600339.SH,X000959.SZ,X600489.SH,X002092.SZ,X600808.SH,X600352.SH,X601158.SH,X000630.SZ,X600219.SH,X000883.SZ,X002271.SZ,X000983.SZ,X600176.SH,X000792.SZ,X000723.SZ,X600299.SH,X600578.SH,X600549.SH,X000408.SZ,X000060.SZ,X600008.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0809197881283792,0,0,0,0,0,0,0.0604328368249884,0,-0.0429650708335698,0,0.00819973999985692,0,8.67361737988404e-19,0,0,0.0160037175421392,0,0,0,0,0,-0.0428882315150872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183579300426176,0,-0.0500902203913325,0,-0.0117776817831584,-0.0123474827339343,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.275365580345479,0,0,0.037206637355571,0,0,0,0,0,0.00865055886497425,-0.0695906143467736,0,0,0,-0.0812317129018925,0,0,0,-0.0178268913367534,0,0,-0.118680373036917,0,0,-0.01311948318461,0,-0.0290966837140964,0,0,0,0,0,0,0,0,0,0,0,0,-0.00704041549614572,0,0,0,0,0,0,0,0,-0.0894125276129911,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0.0243454337705865,0,0,0,0,0,0,0.0294211358050904,0,0,0,0.00580650246130797,0,0,0,0.0111182419144979,0,0.00530484005298974,0,0,0,0.0068283047975899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0156414746567768,0,-0.00872397778183541,-0.00793474093717397,0,0,0,0.0410867658196162,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.252853866583299,0,0,0.00122023882586459,0,0,0,0,0,0,0,0,0,0,-0.0162279666971585,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.356565814691185,0,0,0,0,0,0.0229296498402035,0,0,0,0,0,0,0,0,0,0,0,-0.0137384136863168,0.0180784423013384,0,0,0,0,0,0
X600585.SH,0,0,0,0.178093518989823,0,0,0,0.394537479517533,0,0,0,0,0,0,0,0,-0.0821970830524574,0.181841407840618,0,0,0,0,-0.00491104006774601,0,0,0,0,0,0,0,0,0,0.172984710293111,0,0,0,0,0,0,0,0,0,0,0,0,-0.0121895373188735,0,0,0,0,0.0173761876029609,-0.0167711799939713,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.142321264753858,0,0,0,0,0,0,0,-0.0470891827817544,0,0,0.024935118336096,0.0118708799325763,0,0.124496317311547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00795995700515092,0,0,0,0,0,0,0,0.0695272686120771,0.0354487656480568,0,-0.0109673367190244,0.00509084645915085,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.176654734080924,0,0,0,0,0,0,0.0550654707243517,0,0,0,0,0.452741411107604,0,0.0412086745042625,0,-0.0713322296958187,0,0,0.0595879529556462,0,0.0389430167373748,0.0282080234251198,0,0.120588003960289,0,0,0,-0.105733912783582,0,0,0,0,0,0,0,0.170513299636132,-0.00208815371892265,-0.0594665263941096,0,0.195629851019829,0,-0.14336267892417,0,-0.0542049446037107,0,0.0216717777922836,-0.0318634430833638,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25818956899242,0.0291733345496196,0,0,0.244110347229424,0,0,0.203006904200862,-0.111072619241104,0.105320749897467,0,0,0,-0.0291683323586678,0,0,0,0,0,0.00816745396399757,0,0,0,0,0,0.260936899797036,0.073885979552693,0,0,0,0,0,0,0,0,0,0,-0.000857790686948548,-0.0811949985750534,0,0,0,0,0,0
X601898.SH,0,0,0,0.0296603469376482,0,0,0,0,0,0,0,0,0,0.0866941848636576,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403178500762426,0,0,0,0,0.0873640876542119,0,0,0,0,0,0,0.0900807412347019,0,0,0,0,0.107664563307786,0,0,0,0,0,0.0017914731445268,-0.000590293871589149,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0333680830454379,0,-0.00391744398622784,0,0.105601571881014,0.0820696381438313,0,0.281583040192107,-0.0205198455616685,0,0.0942509412324455,0.0540923291296178,0,0,0,0,0,0,0,0,0,0.239255168959021,0,0,0,0,0,0,0.056116109486577,0,0,0,-0.00658673187328652,-0.0329386909944617,0,0,0,0,0,0
