,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600886.SH,X600111.SH,X000708.SZ,X600010.SH,X000301.SZ,X600426.SH,X600795.SH,X600362.SH,X002271.SZ,X000877.SZ,X601699.SH,X600489.SH,X600803.SH,X600027.SH,X000983.SZ,X000807.SZ,X601991.SH,X600176.SH,X000786.SZ,X000932.SZ,X600160.SH,X000630.SZ,X000933.SZ,X600219.SH,X600985.SH,X000408.SZ,X300037.SZ,X600612.SH,X600688.SH,X000629.SZ,X600801.SH,X600157.SH,X000959.SZ,X600096.SH,X002128.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.917554747859422,0.15536802289713,0,0,0,0,-0.0138530248151906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.170531963066396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114679995435514,0,0,-0.152374434420248,0.119668952503198,0,0,0,0.0160706315688345,0.00672062291603361,0,0,0,0,0,0,0
X600028.SH,0.504595797674255,0,0,0,0,0.0802380749228548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10352839717024,0,0,0,0.0345564437327762,0,0,0,0,0,0,0,0,0,0,0.0716784879762586,0,0,0,-0.0634030084273093,0,-0.131443022157107,0,0,0.00867390215145714,-0.00935057444699502,0,0,0,0,0,0
X601088.SH,0.0826376357832403,0.0472851673877421,0,0,0.0875575633132967,0,0,0,0.246247083402775,0.0384014251103444,0,0,-0.0185191644892524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00830587190531581,0.0348599374465687,0,0,0,0.153899130201476,0,0,-0.0810858052952319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00442604792842619,-0.000694614067664297,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.195485082021074,0,0,0.0256206195330943,0,0,0.0843240199516471,0,0.0107785733379302,0,0,0,0,0.0272090155490913,0,0,0,0.0130055057673754,0.00867878503548981,0,0,0,0,0,0.0574272726811835,0,0,0,0,0,-0.0868044756288594,0,0,0,0,0,0,0,0.175494525411412,0,-0.0310051793093091,0.0192616769933419,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0390522818081588,0,0,0.252469595962767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721786587233872,0,0.409813309312226,0,0,0,0,0,0,0,0.0766007591999042,0,0,0,-0.127023065062932,-0.00893782502944461,0,0,0,0,0,0,0,0,0.0194716430241966,-0.0528374509828413,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0311493891132695,0,0,0,0,0,0,0,0,0,0,0.0744325522863794,0,0.345494599711526,0,0,0,0,0,0,0.00469864989525596,0,0,0,0,0,0,0,0,0.204598643154242,0.00615609282899633,0,0,0,0,0,0.232859803340778,-0.196652462948474,0,0,0,0.173932622881919,0,0,0,0,-0.0742776092617746,0,0.0153945754326845,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0293643783486434,0,0,0,0,0.00885749347714825,0,-0.0933099304906333,0,0,0,0,0,0,0,0,0,0,0,0.00341001021782401,0,0,0,2.16840434497101e-19,0,0,0,0,0.0839232862484588,0,0,0,0,0,-0.0910609852945324,0,-0.0745801357188351,0,0,0,0.644672274475998,0,0,0,0,0,-0.00538052689081794,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.161669868382058,0,0,0,0,0,0,0,0,0,0,0.204774001839463,0,0,0,0,-0.179573538645347,0,0,0,0,0,0,0,0.58861824931188,0,0,0,0.0428157698541062,0,0,0.126497468403642,0,0,0,0,0,0.130899479513067,0,0,-0.0232834144698593,-1.73472347597681e-18,0,0,1.38777878078145e-17,0,0,-0.010142144505681,-0.00176226895904042,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.185594826493203,0,0,0,0,0,0,0,0,0.102218335088929,0,0,0,0,0,0,0,0,0,0,0,0.32686993108433,0.0317311636369528,0.125973417586282,0,0.0428642254668642,0,0,0,0,0,0,0,0,0,0.0792250890285143,0.0721700414126819,-0.105558213200674,0,0,0,0,0,0,0,0,0,0.00050445556064172,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,-0.0487365702921944,-0.0749243430840508,0,0,-0.131298148751694,0,0,0,0,-0.0372141430967442,0,0,0,0,0,0,0,0,0,0,0.537762780038996,0.217093602551992,0,0.0558373089719597,0,0,0,0,0,0,0,0,0,0,-0.0720681438017333,0,0,0,0,0,0,0,0,0,0,-0.00123140476562178,-0.0105804112106475,0,0,0,0,0,0
