,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X600886.SH,X601600.SH,X600795.SH,X600362.SH,X600188.SH,X600027.SH,X601992.SH,X002466.SZ,X000898.SZ,X600176.SH,X600111.SH,X600516.SH,X002460.SZ,X000709.SZ,X600352.SH,X600299.SH,X600489.SH,X000629.SZ,X600808.SH,X601158.SH,X600219.SH,X000786.SZ,X600801.SH,X000825.SZ,X300072.SZ,X000883.SZ,X600583.SH,X000553.SZ,X000539.SZ,X000408.SZ,X002271.SZ,X000301.SZ,X000792.SZ,X002110.SZ,X600339.SH,X601699.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.13053163708845,0,0,0,0,-0.0339081041607936,0,0,0.237490795902133,0,0,0,0,0,0,0,0,0,0,0,0,-0.0479581205310047,0,0,0,0,0,0,0,-0.00369278457923092,0.0188025679065559,0,0,0,0.0431988294271941,0,-0.0623230419514759,0,0,-1.38777878078145e-17,0,0,0,0.241172122496095,0,0,0.255530945695953,0,0,0,-0.0228877104562889,0.0792946180016062,0,0,0,0,0,0
X600028.SH,0.632343859727989,0,0,0,0,0,-0.0199988254550162,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0700932575881238,0,0,0,0,0,0.0516569213609244,0,0,0,0,0,0,0.0485447633871321,0,0,0,0,0,0.23646746955221,0,0,0,0.038502162196367,0,0,0,-0.022240070147851,0.0796589883325592,0,0,0,0,0,0
X601088.SH,0.0441682755860769,0,0,0.206713307245098,0,-0.103262288643804,0,0,0,0,0,0,0,0,0,0,0,0.12201927184704,0,0.0322287838271997,0,0.0327322647900954,0,0,0,0,0,0,-0.176249121473407,0,0.0426037545670822,0,0,0,0,0,0,-0.0155679646579095,0,0,0,0,0,0,0,0,0.26196250120077,0,0,0,0,0.00116519374127039,-0.0846406690736756,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.182510397334129,0,0,0,0,0,0,0,0.120994689594761,0,0,0,0,0,-0.0398731735655404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48328866715654,0,0,0,0,0,0,0,0,0,0.223194098075948,0,0,0,0,0,0.00918860560260354,-0.00157775614923234,0,0,0,0,0,0
X600019.SH,0,1.38777878078145e-17,0,0,0,0,0.0457177699266198,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502994435686212,0.587444698446446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0798101247189086,0,0,0.0619029879796333,0,0,0,0,-0.0045313479787216,0.0246485637321064,0,0,0,0.0354058743421972,0,0
X600011.SH,0,0,0,0.0622268130261172,0,0,0.0627534046844983,0,0,0,0,0,0.00936905558693645,0,0,0,0,0,0.648488646769412,0,0,0,0,0,0,0,0,0,0,-0.223923978770718,0,0,0,0,0.125895178254313,0,0,0,0,0,0,0,0,0,0,0.0375501330647258,0,-0.0356944352447631,0,0,0,-0.0067248339818618,0.0317398501959803,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,-0.340128239099774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167010267049289,0,0,0,0,0.379074504972948,0,0,0,0,0,0,0,0.747293114214378,0,0,0,0.229997817714011,-0.0807291343892597,0,0,-0.653890520139004,-0.0562414897163537,0.133649745115876,0,0.372711318969442,0,-0.0785720936650205,0,0
X600010.SH,0,0,0,0,0,0.00799135384656929,0,0,0,0,0,0,0,0,0,0,0,0.0216424588429298,0,0.141977440697442,0,0,0,0.148480784559077,0,0,0,0,0,0,0.113701504216402,0,0,0.269223009032411,0,0.131484817555049,0,-0.0769535715106972,0,0,0,0,0,0,0.00417742554323899,0,0,-3.46944695195361e-18,0,0,0,-0.0116401931498638,-0.0159503079162828,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078932888954862,0,0,0,0.0137512787231213,0,0,0,0,0.440654689181856,0,0,0,0,0,0,0.267623221983922,0,0,0,0,0,0,0,0,0,0.00622504744109505,0,0,0,0,0.014257730256249,0.0081629464295886,0,0,0,0,0,0
X601898.SH,0.322315153452418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112411108626409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697392667157123,0,0.309324287506067,0,0,0,0,-0.00985934924574334,0,0,0,0,0,0,0
