,X601857.SH,X600028.SH,X600585.SH,X601088.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002271.SZ,X600011.SH,X002460.SZ,X600660.SH,X600886.SH,X600801.SH,X601600.SH,X600362.SH,X601898.SH,X600010.SH,X600489.SH,X000786.SZ,X600352.SH,X600111.SH,X600176.SH,X600188.SH,X600529.SH,X601991.SH,X600299.SH,X600795.SH,X600688.SH,X600426.SH,X002466.SZ,X600027.SH,X002080.SZ,X601992.SH,X600612.SH,X600315.SH,X002409.SZ,X002353.SZ,X600486.SH,X600219.SH,X000301.SZ,X000932.SZ,X600126.SH,X000027.SZ,X000723.SZ,X600516.SH,X601158.SH,X000401.SZ,X000898.SZ,X000878.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.0218008222873319,0,0,0,0.106200993393936,0,0,0,0,0,0,-0.00939326411692254,0.0286408571282895,0.0840362627509197,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664151996856293,0,0,0,0,0,0,0.0202705407756681,0,0,0,0,0.0321189981358089,0,0,-0.0017487657442851,0,0,0,0.0814751953897519,0,0
X600028.SH,0,0,0,0,0.0551967357567208,0,0,0,0,0,0.00781880842618993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126608017575314,0.0101511507108478,0,0,0,0,0,0,0.111347760680372,0,0,0,0,0,0.0274186709488911,0,0.0261587111076666,0,0,0,0.103640451608929,0,-0.00331989363437264,0.00577738359779759,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205189187725487,0,0,0,0,0,0.11940689716408,0,0,0,0.210451093174401,0,0,0,0,0,0,0.0247945963988771,0,0.0690286513132364,0,0,0,0,0,0,0,0,0,0,0,0.0606894498714303,0,0,0,0,0.0491299436142987,-0.0153595573067055,-0.011780383785993,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,-1.73472347597681e-18,0.111103796790101,0,0,0,0,0,0.095337722555089,0,0,0,0,0,0,0,0,0,0,0.069618624320697,0.0746595278290129,-0.0352937272272306,0,0,0,0,0,-0.0118111010484401,0,0,0,0,0,0,0.00927104797570855,0,0,0,0,0.0168737946955771,0,0,0,0,0,0,0.0352808227074984,0,0.00745683396625904,0.00767532481890275,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0993680552332415,0,0.0560682998418204,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0661570365570057,0,0,0,0,0,0,0,0,0,0.204626934277629,0,0,0,0,0,0,0.00974424458507487,0,0,0,0,0,-0.0570447037084912,0,0,-0.0634210406067096,0,0.199980981521162,0,0.0832047385762396,0,0.0100631489562889,-0.0139765290951242,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0.0302214185132335,0.0596350863840911,0,0,0,0,0,0,0,0,0,0.727494760425956,0,0,0,0,0,0.0199406807598091,0,0.152188707417852,0,0,0,0.0208410015515837,0.0591898068125583,0,0,0,0,0,-0.127164006660601,0,0,0,0,-0.0288674027342724,0,0,0,0,0.0271965866056351,0,0,-0.0562218944777679,-0.00419704589285278,-0.0181588598590399,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171791844446097,0,0,0,0,0,0,0,0.0155179959961476,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00803787369703027,0.0586404961835377,0,0,0,0,0,0,0.0582843239779759,0,0,0,0,0.0973655329236931,0,6.18456907813761e-05,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,-0.124449628498441,0,0,0,-0.00462981570936575,0,0,0,0,0,0.533410190692916,0,0,0,0,0,0,0,0,0,-0.0609949299151782,0,0,0,0,0,-0.00497014678701631,0,-0.0585587935114017,0,0,0,-0.0244565363699535,0.0144663359248191,0,0,0,0,0.0920858949213218,0,0,0,0,0,0,0.0613239083157963,0,-0.0147343440362659,0,0,0,0,0,0,0
X002271.SZ,0,0,0.163574373191378,0,0,-0.0722237487011243,0,0,0,0,0,0,0,0.11425199638913,0,0,0,0,0,0,0,0,0,0,0.0327681217432373,0,0,0,0,0,0.0649271975848275,0,0,0,-0.0603183913449407,0.123159760562041,0.0637757055574614,0,0.395278831384111,0.111422347370607,0,0,0.0214859706220798,0,0,0.0324830861148384,0,0,0,0,0,-0.0152456935462817,-0.0294544585687755,0,0,0,0,0,0
X600011.SH,0,0,0.188591751449168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789775714789032,0,0,0,0,0,0,0,0,0,0,0,0.12394349663195,0.0941594094418319,0,0,0,0.067552136081536,0,0,0,0,0,-0.082122291715658,0,0,0,0,0,0,0,0,0.00701608728321132,-0.000614234809254314,0,0,0,0,0,0
