,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X601898.SH,X600011.SH,X600547.SH,X600660.SH,X601600.SH,X600886.SH,X000792.SZ,X002466.SZ,X002460.SZ,X000708.SZ,X600111.SH,X600010.SH,X600795.SH,X000301.SZ,X601699.SH,X600426.SH,X600362.SH,X000877.SZ,X002271.SZ,X000983.SZ,X600027.SH,X600489.SH,X600803.SH,X601991.SH,X600176.SH,X000807.SZ,X600160.SH,X000786.SZ,X000932.SZ,X600985.SH,X000630.SZ,X000408.SZ,X000933.SZ,X600219.SH,X600612.SH,X002128.SZ,X000629.SZ,X600157.SH,X300037.SZ,X600688.SH,X000723.SZ,X600995.SH,X600348.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.708319460904254,0.00238063461904995,0,0,0,-0.0975527665215856,0,0,0,0,0,0,0,0,0.174389257746208,0,0,0,0,0,0,0,0,0,-0.235105488845166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00238134733917987,0.0192273742760747,0,0,0,0.0926226875369738,0,0
X600028.SH,0.492759835740825,0,0.0401967045328471,0,0,0.0843139202668495,0,0,0,0,0.0720540767365734,0,0.00562244721054636,0,-0.0214167999203188,0,0,0,0,0.100280056916256,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0382686583526056,0,0,0,0,0.103059146348757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00145655689683232,0,0,0,0.0418245375415507,0,0
X601088.SH,0.0737025229054118,0.153518607727236,0,0,0.0301997865199541,0,0,0.185166241334584,0,0,0,0,0,0,-0.00576308473031643,-0.0232292404401268,0,0,-0.0458496125688187,0.0492816577554759,0,0,0,0,0,0,0.0297019206818738,0,0,0,0,0.116526302263543,0,0,0,0,0.0609145892994284,0,0,0.0131881889872965,0,0,0,0,0,-0.14356739581557,0,0,0,0,0,0.00972381180928795,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0965655206112533,0,0,0,0,0,0,0,0,0,0,0.124976114975047,0,0.0506603544452258,0,0,0,0,0.0806787081963125,0,0,0,0,0,0,0.0200460716202589,0,0,0.0211076309685863,0,0,0.289120530611101,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708515014674303,-0.0746731926000283,0,0,0,-0.0915927945581277,0,0
X600188.SH,0,0,0,0,0,0.0722094816024454,0,0.197390396683406,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471036807331058,0,0,0,-0.0266252267875705,0.482745130539556,0,0,0,0,-0.145382063659979,0,-0.0104905482431267,0,0,0.0811420524199211,0,0,0.134074805486447,0,-0.0184980536419927,0,0,0,-0.0407155494164821,0,0,0,0,0,-0.00919442774834067,8.67361737988404e-19,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.242160773547363,0,0,0,0,0,0,0,0,0,0,0,0,-0.204714073411302,0,0,0,0,0,0,0.0177470600742695,0,0,0,0,0,0,0,0,-0.0386297585716838,0.172090596102255,0.000134899859192177,0,0,0.614069220299933,0,0.2796013636071,0,0,0,0,-0.136320020870637,0.133370629458341,0,0,0,-0.0126899035881532,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.052076715641202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335413317247333,0,0.13999993515082,0.207953059609278,0.00648297909651933,-0.187177293072184,0,0,0,0,0.108567044169516,0,0,0,0,0,0,0.0825617760947702,0,0,0,0,0,-0.119152580778043,0,0,0,0,0,-0.0235016109606057,0.0276986650034773,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.31463880037812,0,0,0,0,0,0,0.0454508500238816,0,0,0.142008391193637,0,0,0,0,0,0,0.184516017633236,0,0,0,0,0,-0.00763495407396424,0,0.16158792035696,0,0,0,0,0,0,0,0,0,0.0011538569535995,0,0,0,0,0,-0.0696043126583494,0,0,0,0,0,-0.00659320107730443,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0492607212258564,0,0,0,0,0,0,0,0.121356060449997,0,0,0,0,0,0,0,0,0,0,0,-0.192011112741591,-0.00232831567177143,0,0.367769378382487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151184235048994,0,0,0,0,0,-0.0165814654399534,-0.00813836444487465,0,0,0,0,0,0
X600547.SH,0.0161766491648028,0,0,0,0,0,0,0,0,0,0,-0.0575996179072985,0,0,0,0,0,0,0,0,0,0,-0.153136818816758,0,0,0,0,0,0.436941627687993,0,0,0,0,0,0.026634998524347,0,0,0,-0.0647753849032596,0,0,0.0026893401547014,0,0,0,0,0,0,0,0,0,0.0348230957422185,-0.0503471109268426,0,0,0,0.0673369704934631,0,0
