,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601898.SH,X300072.SZ,X601600.SH,X600688.SH,X600547.SH,X600795.SH,X601991.SH,X600309.SH,X600362.SH,X600660.SH,X600188.SH,X601992.SH,X600886.SH,X600027.SH,X600157.SH,X002466.SZ,X600111.SH,X000709.SZ,X000898.SZ,X000959.SZ,X600489.SH,X600339.SH,X600299.SH,X601158.SH,X000792.SZ,X600583.SH,X000408.SZ,X000630.SZ,X002460.SZ,X000883.SZ,X000983.SZ,X600219.SH,X600352.SH,X000539.SZ,X000825.SZ,X000027.SZ,X002092.SZ,X000723.SZ,X600578.SH,X601699.SH,X600021.SH,X600176.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.223069623044002,0,0.0474483706913466,0,0,-0.00411592343968595,0,0,0.0483748130121758,0,0,0,-0.0322139801059686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533436565521771,0,0,-0.0631612388890966,0,0,0,0,0,0,0,0,0,0,0,0.108562206972088,0,0,-0.00941178155004008,-0.000327688220518641,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0420199329886136,0,0,0,0.0728576913940106,0,0.222318167080472,0,0,0,0,0.106935849694883,0,0,0.0432457840058611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355537062307143,0,0,0,0,0,-0.0382196475361261,0,0,0.0457874913484388,0,0,0.0226786811492044,0.000714175043871397,0,-0.00241051965173335,0.0101937025887791,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0355885254272871,0,0.0693326415213625,0,0,0,0,0,0.0321226560358889,0,0.0305664504629713,0,0.031610449921227,0,0.0866801546382175,0,0,0,0,1.73472347597681e-18,0.183795377004551,-0.0622010147218018,0,0,0,0,0,0,0,0.0409418205174636,0,0,0.0197816674561172,0,0,0,0,0,0,0,0,0,0,0,0,-0.00677496734485468,-0.00463520213883315,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.206261726501696,0,0,0,0,-6.93889390390723e-18,0,0,0,-0.164794177498802,0,0,0,0,0,0,0,0,0,0.302711238029481,0,0,0,0,-0.115039021137586,0,0,0,0,0,0,0,0,0,0,0,0,-0.0899392501358235,-0.0280266420863297,0,0,0,0,0.0629447253110765,0,-0.020678935342328,0.423750618418028,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.320667217244882,0,0,0,-0.0115199929852192,0,0,0,0,0.209553949971838,0,0,0,0.0960862326892743,0,0,0,-0.0832054992654465,0,0,0,0,0,0,-0.0703624638588666,0,0,0,0,0,0,0,0,0,0,-0.161023472019675,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0.074053595102295,0,0,0,0,0,0,0,0,-0.283222474145107,0,0,0.0838722979612316,0.0269236490353176,0,0,0,0,0.141541950768976,0,0,0,0,0.0115725863525341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510516974907061,0,0,0,0,0,0.0510526942200062,-0.0227195536149783,0,0,0,0.0225248412397309,0,0
X600010.SH,0,0,0,0,0,0,0,0,-0.0189540294968403,0.0956614777928726,0,0,0,0,0,0,0.243357314415815,0,0,0,0,0,0,0,0,0.186895699459642,0,0,0.00739287838710645,0,0,0,0,0,0,0,0,0.0764737938792274,0,0,0,-8.67361737988404e-19,0,0,0.00614349646490948,0,0,0,0,0,0,-0.0080356636157619,0,0,0,0,0,0
X601898.SH,0,0,0.0638553366998168,0,0,0,0,0,0,0,0,0,0,0,0,0.051599426520751,0,0.0289093100671741,0,0,0,0,0,0,0,0,0,0,0.0648336168033808,0,0,0,0.336825430734617,0,0.00670308930793828,0,0,0.181853917683887,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0.052298888553684,0,-0.00226306169323007,-0.00166942190024616,0,0,0,0,0,0
X300072.SZ,0,0.00550051884857788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242159726120342,0,0,0,0,0,0,0,0.247775307944657,-0.0407710786959458,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0731121015571708,0,0,0,0,0,0.0676189645241434,0,0,0.0872313713255368,-0.0118845326518153,0,0,0,0,0,0
X601600.SH,0,-0.0411234831764034,0,0,0.0231434077337783,0,0,0,0,0,0,0,0,0,0,0.158547903180254,0,0.13633277578371,0,0,0,0,0.118493302897082,0,0,0,0,0,-0.0138531636096467,0,0,0,0,0,0,-0.0621031329804221,0,0,0.39104136208114,0,0,-0.0748843618328676,0,0,-0.00294122824476242,0,0,0,0.0620596947030738,0,0.00952125424323761,-0.008736242873561,0,0,0,0,0,0
