,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600188.SH,X600111.SH,X600019.SH,X002466.SZ,X600011.SH,X000877.SZ,X600010.SH,X002271.SZ,X601600.SH,X600660.SH,X000708.SZ,X000301.SZ,X601898.SH,X600547.SH,X600886.SH,X600426.SH,X600362.SH,X600176.SH,X000408.SZ,X000723.SZ,X600219.SH,X601991.SH,X000786.SZ,X600096.SH,X600795.SH,X601699.SH,X000807.SZ,X002080.SZ,X000983.SZ,X002353.SZ,X600803.SH,X300073.SZ,X600141.SH,X600801.SH,X000825.SZ,X600489.SH,X600688.SH,X600157.SH,X600486.SH,X000630.SZ,X002497.SZ,X000932.SZ,X600027.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.201489909415112,0,0,0,0,0,0,0,-0.0172604950227848,0,0,0,0,0,0.0696672122808645,0,0,0.0216013317664983,0,0,0,0,0,-0.0182570893171144,0,0,0,0,0,0,0,0.0421986105953156,0,0,0,0,0,0,0.295326944632746,0.0207151912851257,0.0180633245910156,0.110327968537398,0,0,0,0,0,0,0,0,-0.0214617781016377,0.176571593191365,0,0,0,0,0
X600028.SH,0.0936745979703739,0,0,0,0,0,-0.0232745354932822,0.0147852873093192,-0.00258026787041607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525505864960888,0,0,0,0,0.100041086556985,0,0,0.103270173337643,0,0,0.0442825767277628,0,0,0,0,-0.00840622150102402,4.33680868994202e-19,0,0,0,0.0141805968312444,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119627649817421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278867890836236,0,0,0.389137257466814,0.13362357038367,0,0,0,0,0,0,0,0,0,-0.0250869046134185,-0.171510592386421,0,0,0,-0.0150298725751796,0.0213216442735681,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.0196019815219373,0,0,0,0,0,0,0.0129540265427596,0,0.0611390423343304,0.0893337265327899,0.242182849739834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105737461534992,0,0,0,0,0,0,0.0599739911161343,0,0.0303972530631337,0,0,0,0.0342096821176676,0,0,0.00201505717710268,0,0,0,0.0102551582478265,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111283623716986,0,0,0,0,0,0,0,0,0,0,0.46132573991294,0.00411894374567718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00624225883399508,0,0
X002460.SZ,0,0,0,0,0,0,0,0.0888365556126897,0,0,0.486969477998748,0,0,0,0,0,0,0,0,0,0.0674856403412877,0,0,0,0,0,-0.158542901407196,0,0,0,0,0,0,0,0.0626645474699655,0,0,0,0.298601538286069,0.0369854777884754,0,0,0,0,0,0,0.0657780319851809,0.101781799268056,0,0,0.0324678392173604,-0.0126786567199042,-0.0266159006096485,0,0,0,-0.0316076459521507,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.359302384121464,0,0.189563503004943,0,0,0,0,0,0,0,0,-0.0496075314756591,0,0,-0.0339400723226096,0,0,0,0.346294793074216,0.112671058640548,0.0102401377669021,0,0.0871465824573045,0,0,0,0,0,0,0,0,0,0,-0.256459646953055,0,0,0,0,0,0,0,0.0588366629655517,0,0.0187530110079961,0,0,0,0,0,0,0
X600188.SH,0,0,0.100674255340648,0,0,0.0984138106295308,0,0,0,0,0,0.128576886818807,0,0,0,0,0,0.0512377936014047,0,0.0291109902018613,0,0,0,0,0,0,0,0,0,0,0,0,0.193193380901216,0.0172912990059644,0,0.358884347516629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0617017072871236,0.115970740711324,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.16645037264984,0.00966357681168409,0,0,0,0.0144396126282539,0,0,0.0393046831682865,0,0,0,0,0.0416795557250385,0,0,0,0,0,0,0,0,0,0,0.00958171505417969,0.033731797587091,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230434250936167,0,0,0,0.0106348890592775,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,-0.0171779937216967,0.0225534083258887,0,0,0,0.135256953500005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471700145714021,0,0,0,0,0,0,0,0,0,0.143906932808235,0,0,0,0,0,0,0,0.328447870162755,0.0596456941580416,0,-0.00282954706806707,-0.000250679843327117,0,0,0,0,0,0
