,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600352.SH,X600547.SH,X600660.SH,X601991.SH,X000723.SZ,X600886.SH,X600688.SH,X600188.SH,X600362.SH,X600795.SH,X600516.SH,X601992.SH,X600027.SH,X600801.SH,X000898.SZ,X600111.SH,X600176.SH,X600299.SH,X002466.SZ,X002460.SZ,X000709.SZ,X000990.SZ,X000786.SZ,X600219.SH,X000629.SZ,X000553.SZ,X002110.SZ,X600808.SH,X002271.SZ,X000825.SZ,X000883.SZ,X601158.SH,X600489.SH,X600583.SH,X600985.SH,X600157.SH,X000630.SZ,X600339.SH,X000301.SZ,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600176.SH,0,0,0,0,0,0.0210038659451181,0,0,0,0,0,0,0,0,0.0653166945294658,0,0,0,0,0,0.078998880780264,0,0,0,0,0,0,0,0,0.0699441543010239,0,-0.036034614530705,0.232908119445135,0,0,0.0932159675236855,0.116321298470206,0,0,0,0,0,0,0,-0.0533550022577426,0,0,0,0,0.0449292968798667,-0.00760138936584908,-0.00042019441290158,0.00197631707558866,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0.0167232295340941,0,0,0,0.0247177489465909,0.244950432119415,0,0,0.00724727065025614,0,0,0,0,0,0,0,0,0,0,0,0.174192716801388,0,0,0,0,0.0730317384759374,0.113826320459456,0,0,0,0,0,0,0,0,0,0,0,-0.00282513730935443,0.0443930783933102,0.114035541112291,0,0.0499552910556597,0,0,0,-0.0457234372234537,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,-0.0943472990708919,0,0,0.170044987450323,0,0.0338383133091788,0,0,0,0.0745397560042624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613772231098411,0,-0.0163354062806932,0,0,0,0,0,0,0.0593692796013811,0,0,0,0,0,0,0,0,0,0,0,-0.0388421188665198,0.00351388769229189,0,0,0,0,-0.00418468883177909,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303463960680704,0,0,0,0,0,0,0.0913334533537186,0,0.791306268781776,0,0,-0.018863026661531,0.00831464857450178,0,0.272084435658898,0,0,0,0,0,0,0,0.106042342448459,0,0,0,0,0,0,0,0,0.0354794479274217,-1.73472347597681e-18,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172091058202027,0,0,0,0.280986675146234,0,0.102671345429121,0,0,0.00228283736242588,0,0.0250452596329905,0,0,0,0,0,0,0,0,0.0415164224191219,0,0.00323215385437772,0,0,0,0,0,0,0,0,0.0178387389352432,0,0,0,0,0,-0.0428307136765937,-0.00987320955931982,0,0,0,0,0,0
X000990.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00337183879814557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380992731417489,0,0,0,0,0,0,0.307422836357837,0,0.182082502582092,0,0,0,0,0,0,-0.171452460928515,0,0.394915071704967,0,0,-0.0753605549192091,0.0485457216891607,0.0702628643946347,0,0,0,-0.270267732455666,0,0
X000786.SZ,0,0,0,0,0,0.19728736128809,0,0,0,0,0.0505874621813664,0,0.194206046794264,0,0.0545674086988078,0,0,0,0,0,0,0,0,0,0,0,0.0461097580325392,-1.73472347597681e-18,0.259684614658901,0,0,-0.0878470893147157,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0,0,0,0,0.0717920312816506,0,0.0887281517256874,0,0,-0.00788203524947245,0,0,-0.251512695135733,0,-0.0361347031701732,0,0
X600219.SH,0,0,0,0,0,0,0.03731796706334,0.17536689899244,0.246784074310265,0,0,0,0,0,0.0150533121731802,0,0,0,0.196831371430417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111941746124361,0,0,0,0,0,0,0,0,0,0.0206175638152633,0.0383246130835574,0,0,0,0,0,-0.00694411113190326,0,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233359713222108,0.0994299759129478,0,0,0,0,0,0,0,0,0.0887726250144813,0,0,0,0,0,0,0,0,0,0.376405782465458,0,0,0.221194145039948,0,0,0.0747100094445364,0,0,0,0.0465404500340603,0,0.0338358820442492,-0.00506844979671408,0,0,0,0.00823214196393746,0,0
X000553.SZ,0,0,0,0,0,0,0,0,0,0,0.153542094330376,0.00311287362627604,0,0,-0.0138953525525782,0,0,0,0,0,0.144300644125152,0,0,0,0,0,0,0.117599263500086,0,0,0,0.0498630604986711,0,0,0,0,0,0,0,0,0,0,0,0,0.272909072726288,0,0,0,0.0309144157793556,0.152653627880447,0,0.00446277286659583,0,0,0,0,-0.0317532908454085,0,0
