,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X300072.SZ,X600688.SH,X601991.SH,X600795.SH,X600309.SH,X601600.SH,X600660.SH,X600547.SH,X600362.SH,X600886.SH,X600188.SH,X600339.SH,X000709.SZ,X600027.SH,X600157.SH,X002466.SZ,X600111.SH,X600008.SH,X000898.SZ,X000959.SZ,X601158.SH,X600489.SH,X600299.SH,X600583.SH,X002460.SZ,X600352.SH,X000408.SZ,X000883.SZ,X600219.SH,X600578.SH,X000539.SZ,X000630.SZ,X000027.SZ,X000723.SZ,X600021.SH,X600176.SH,X002271.SZ,X000792.SZ,X600160.SH,X000786.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.269944093610822,0.0622516937216881,0,0.0153962888036096,0,0,0.0393616738138034,0,0,0,0,0,0,0.142525099631747,0,0,0,0.0510766191506625,0,-0.0104775668150745,0,0,0,0,0,0,0,0,0,0,0,0.0192728506401457,-0.0248862407127301,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.0153218018814827,0.00569196469738071,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0441069052069188,0,0.0260606275999061,0,0.0676480648601023,0,0,0,0.0459371500555229,0,0,0,0.0860425347493133,0,0,-0.0878775993137204,0,0,0,0,0,-0.00262577109601338,0.0355775699796443,0,0,0,0,0.0751070795578624,-0.0810549715383081,0.0408904369357362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,-0.0102239574628142,0,0,0,-0.0144298640255965,0,0.00962876025882513,0,0,0,0,0,0.0197061907096493,0,0,0,0,0,0,0,0.181932929077283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492226352608221,0,0,0,0,0.00516698088642086,0,0,-0.00598279714377179,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0134536415887125,0,0.0180529133388215,0,-0.123548622687151,0,0.0677827961420934,0,0,0,0,0,0,0,0,0,0,-0.00375603094970239,0.549217350623654,-0.0320612759058029,0,0,0,0,0.0354225124898282,0,0,0,0,0.0636985521334714,0,0,0,0,0,0,0,0,0,0.00184513960126239,0,0,-0.0368591742499246,0,0,0,0,0,0
X600011.SH,0,0,0.141665732127776,0.0307606736040184,0,0,0,0,0,0,0,0.0994330924953752,0,0,0,0,-0.00617742538689218,0,0,0,0.0171316673206273,0,0.492469471993406,0,0.00503220752011803,0,0.0648350020941147,0.0532525615853881,0,0,0,0,0,0,0,0,0,0,0.0252873951210892,0,0,0,0,0,0,-0.203143676776053,0,0,0.0488530690883414,0,0.0814692215302345,-0.0447656332092959,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0112117018236446,0,0,0,-0.0173643089072849,0,0,0,0,0,0.292778819460843,0,0,-0.0121621304268637,0,-0.0665191415754587,0,0.158080490506485,0,-0.0163088010212177,0,0,0,-0.0540272215509475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164500376265738,0,0,0,0,-0.0176303223700082,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.0421794332465869,0,0,0,0,0.119116179002592,0,0,0,0,0,0.0361671824918996,0,0,0,0,0,0.112945020115918,0.159742020405589,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.0669941929697721,0,0,0.174028714965177,0.102418371960378,0,0,0,0,0,0,0,0,0.00174060077814628,0,0,0,0,0,0
X601992.SH,0,0,0,-0.0191300192302182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591311900626463,0.469115048021232,0,0,-0.0924935691237109,0,0.298803809920385,0.0931497531189553,0.439047033757276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139569055124515,0.13738882430183,0,0.058985197926404,-0.0252064350369609,0,0,0,0,0,0
X601898.SH,0,0,0.18575481829736,0,0,0,0,0,0,0,0,0,0,0.040474735949772,0,0,0.0734866770821044,0.0997478308101965,0,0.113431226232014,0.0554995313510319,0,0,0,0.123419791543678,0,0.027797080190813,0,0,0,0,0,0.206743737252751,0,0,0,0,0,0.0186622682142855,0,0,0,0,0,0,0,0,0,-0.0295056945241429,0,-0.00299050219293835,0.00611782518381246,0,0,0,0,0,0
X300072.SZ,0,0,0,0,-0.659120172994024,0,0,0,0,0,0,0,0,0.586796002633865,0,0,0,0,0,0,0,0,0,0,0,0,0.173774431547512,0,0,0,0,0,0,-0.321880036747758,0,0,0,0,0,0.20352176625985,0,0,0,0,0,0.129819990347465,0,0,0,0,0.084762754511099,0.032588955036583,0,0,0,0,0,0
