,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X600111.SH,X601600.SH,X600362.SH,X600886.SH,X600795.SH,X600010.SH,X600188.SH,X600688.SH,X600309.SH,X600583.SH,X600027.SH,X002353.SZ,X000792.SZ,X601992.SH,X601158.SH,X000898.SZ,X000883.SZ,X600315.SH,X600490.SH,X600489.SH,X000709.SZ,X600547.SH,X000629.SZ,X000831.SZ,X600352.SH,X000539.SZ,X000825.SZ,X600660.SH,X601699.SH,X000630.SZ,X600549.SH,X000983.SZ,X600307.SH,X000937.SZ,X000027.SZ,X600578.SH,X000960.SZ,X002470.SZ,X000959.SZ,X600863.SH,X600516.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.00608291156440127,0,0.107935725405529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264381199005115,0,0.00372334523845275,0.0393353450565189,0,0,0,0,0,0,0.0416502409074642,0,0,0,0,0,-0.00756666738631409,0,0,0.00499454662238333,0,0.0556592250048258,0,0,-0.00505549595849294,0,0,0,0,0,0
X600028.SH,0,0,0,0.0840439033027142,0,0,0,0,0,0,0,0.0105693081100437,0,0,0,0.00650701756290496,0,0,0,0.00124410705875943,0.0720367711255318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143246574493811,0,0,0.1924164685248,0.00136948333432736,0,0,0,0.0649135913714061,0.0271571921005226,0,-0.00848808259558244,0.0147563574408844,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0673160837314402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41416584772363e-05,0,0,0.252438560410099,0,0.0886628458786966,0,0.0623982048577101,-0.0291228841160999,0,0,0,0,0.00334438323709166,0,-0.000700738104878019,-4.33680868994202e-19,0,0,0,0,0,0
X600585.SH,0,0.128309150608048,0.175479395678403,0,0,0,0.17004873138843,0,0,0.0151618704097336,0,0,0,0,0,0,0,0,0.0846745479006339,0,0.234694137876383,0,0,0,0,0,0,0.0540616174498609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213962459987941,0,0,0,0,0,0,0,-0.014143316348428,0,-0.00369363276051789,-0.00720074310863414,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0826583022133131,0,0,0,0,0,0,0,0,0.0894649834098267,-0.0662980531119192,0,0.090253310064896,0,0,0,0.039669486117381,-0.0487566166986118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0941869772591932,0,0,0.0767920914498202,0,0.0174517351528409,-0.00873691689862404,0,0,0.0354676551498288,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0485609377508217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238309059272266,0,0,0,0,0.0567549365817089,0.00852541933718814,0,0,0,0,0.144740481297162,0,0,0,0.107553006303924,0.000395528229676201,0,0,0,-0.138147295529932,0.130453189917108,0.268904118653384,0,0,0,-0.0258154470663378,0.0336040207778198,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.10281642964907,0,0,0,0,0,0,0,0.0277544049024287,0,0,0,0,0,0,0,0.144925762416706,0,0,0,0,0,0,0,0,0.0804523119122128,0.175110333234278,0,0,0,0,0,0,0,0,0,0.0956656760705964,0,0,0,0,0,0,0,0.0120116921306116,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,-0.00309418225581348,0,0,0,0,0,0.0545125417784896,0,0,0,0,0,0,0.0100319575696037,0,0,0,0,0,0.142689501926486,0,0,0,0.0331373455716216,0,0,0,0,0,-0.0149813452706396,0,0,0.116725785971988,0.0236283558954341,0,0,0,0,0.01815929438577,0,-0.000761244496895976,4.33680868994202e-19,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405280154421307,0,0,0,0,0,0,0.0328698087460905,0,0,0,0,0,0,0,0,0.0196787651411866,0,0,0,0.0382566430949515,0,0.0749096916876837,0.0406010299272307,0.245998758393111,0,0.0852477376118138,0,0,0,0.0683743135870004,0,0.00394076070132868,0.00442285544595417,0,0,0,-0.00610202850575306,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513301819213412,0,0,0,0,0,0.00358157436739579,0,0,0.0672877439571705,0,0,0,0,0,0,0,0.0943616467921731,0,0,0,0,0,0,0,0.310872903182958,0,0.152025674267995,0,0.219251998347403,0,-0.116460907250742,0,0,0,0,0,0,-0.0414320603721408,0,0,0,0,0,0,0
