,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600886.SH,X600019.SH,X601898.SH,X600585.SH,X600795.SH,X601600.SH,X601991.SH,X600688.SH,X000709.SZ,X600027.SH,X600157.SH,X002075.SZ,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X000898.SZ,X600021.SH,X601158.SH,X000027.SZ,X000539.SZ,X600022.SH,X600309.SH,X601992.SH,X600352.SH,X000883.SZ,X000629.SZ,X000878.SZ,X601918.SH,X600307.SH,X600160.SH,X600547.SH,X600098.SH,X600489.SH,X000792.SZ,X600660.SH,X600808.SH,X000060.SZ,X600863.SH,X002470.SZ,X600578.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.873764001060989,0.0307248915490147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026360976073128,-0.0479453856011831,0,-0.0333447958854405,0,0.0408468776629471,0,0.0030562678684406,0,0,0,0,0,0,0.00495059444882613,0,0,0,0,0.0393360937054566,-0.0580679219945276,0,0.0416792410292218,0,0,0,0
X600028.SH,0.360484210225988,0,0,0,0.0513134508377035,0,0.0878763778262261,0.0513601451799893,0,0,0,0,0,0,0,0,0,0,0,0,0.150621280702,0,0,0,0,0,0,0,0,0,0,0,0,0.0395859910769977,0,0,0,0,0,0,0.0510852756695967,0,0,0,0,0,0,0.0232664470339921,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.217325986459413,0,0,0.142071543661811,0.195181011705181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933821611189664,0,0,-0.00763155543130219,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028063389142245,0.109902484004579,0.14747402334673,0,0,0,0.0170372044748331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656681048724925,0,0,0.150095130949538,0.192289957780703,0,0,0,0,0,-0.00414628070745729,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.212889696998493,0,0,0,0,0,0,0.0577759315979112,0,0,0,0,0,0,0.0297525118643436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00500827541699981,0,0,0,0.429026038523836,0,0,0,0,0,0,0,0,0
X600886.SH,0,0,0,0.052418772552764,0,0,0,0,0,0,0,0,0,0.390841826869844,0,0,0.0420559800209278,0,0,0,0,0,0,0,0.00904687029802098,0.00441660429263997,0,0,0,0,0,0,0,0,-0.0388902821508657,0,0,0,0,0,0,0,0,0,0.0018998358609247,0,0,-0.0688832355961022,0.0213021134284705,0,0,0,0,0,0
X600019.SH,0,0.0163573332745063,0.141077087976598,0,0.142254129706977,0,0,0,0,0,0,0,0,0,0.311367997039283,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0523455452959116,6.7762635780344e-21,0,0,0.0103317281484987,0,0,0,0,0,0,0,0,0,0,-0.00375457731208197,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160397480870821,0.105507173352693,0,0,0,0,0,0,0,0,0,0,0,0,0.230525423685563,0,0,0,0,0,0,0,0,0.133421481538933,0.0189934612043982,0,0,0,0.0399465084283349,0,0,0,0,0,0,0
X600585.SH,0,0.0158309405025104,0.109702790831109,0,0.121962747834693,0,0,0,0,0,0,0,0,0,0,0,0,0.053700687233113,0,0,0,0.148883720913712,0,0,0.073831405434965,0,0,0,0,0,0,0,0,0,0.0154381928391467,0,0,0,0,0,0.163794288287544,0,0,0,0,0,0,0,-0.00355374954328806,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0.0418604472741136,0,0,0.185819532359152,0,0,0,0.0902711707780814,0,0,0,0,0,0,0,0.099942645873221,0,0,0,0.0534039533210225,0,0.0960490695625185,0,0,0,0,0.00722749124124014,0,0.0088248740759787,0.0229365248369706,0,0,0,0,0,0,0.0915650986451512,0,0.113961804276073,0,-0.003224931508705,0,0,0,0,0,0,0
